parameters,dT_targets,likelihood,remaining_carbon_budget,future_warming
magicc_hdtbasis1.24_zecsd0.0,1.1,0.1,-464.52373795852606,-0.1399999999999999
magicc_hdtbasis1.24_zecsd0.0,1.1,0.17,-489.76632893635394,-0.1399999999999999
magicc_hdtbasis1.24_zecsd0.0,1.1,0.33,-539.3298357085482,-0.1399999999999999
magicc_hdtbasis1.24_zecsd0.0,1.1,0.5,-596.6180275317215,-0.1399999999999999
magicc_hdtbasis1.24_zecsd0.0,1.1,0.67,-677.0267075767189,-0.1399999999999999
magicc_hdtbasis1.24_zecsd0.0,1.1,0.83,-824.5160439477158,-0.1399999999999999
magicc_hdtbasis1.24_zecsd0.0,1.1,0.9,-975.967838460673,-0.1399999999999999
magicc_hdtbasis1.24_zecsd0.0,1.2000000000000002,0.1,-345.64228349819035,-0.0399999999999998
magicc_hdtbasis1.24_zecsd0.0,1.2000000000000002,0.17,-358.6068125733258,-0.0399999999999998
magicc_hdtbasis1.24_zecsd0.0,1.2000000000000002,0.33,-384.2476911605322,-0.0399999999999998
magicc_hdtbasis1.24_zecsd0.0,1.2000000000000002,0.5,-414.0856034051135,-0.0399999999999998
magicc_hdtbasis1.24_zecsd0.0,1.2000000000000002,0.67,-456.044411434667,-0.0399999999999998
magicc_hdtbasis1.24_zecsd0.0,1.2000000000000002,0.83,-533.097030677776,-0.0399999999999998
magicc_hdtbasis1.24_zecsd0.0,1.2000000000000002,0.9,-612.2629225789155,-0.0399999999999998
magicc_hdtbasis1.24_zecsd0.0,1.3000000000000005,0.1,-222.38235407876476,0.0600000000000002
magicc_hdtbasis1.24_zecsd0.0,1.3000000000000005,0.17,-224.9031484492728,0.0600000000000002
magicc_hdtbasis1.24_zecsd0.0,1.3000000000000005,0.33,-229.03948864890432,0.0600000000000002
magicc_hdtbasis1.24_zecsd0.0,1.3000000000000005,0.5,-232.912243121626,0.0600000000000002
magicc_hdtbasis1.24_zecsd0.0,1.3000000000000005,0.67,-237.36726703053975,0.0600000000000002
magicc_hdtbasis1.24_zecsd0.0,1.3000000000000005,0.83,-244.2211547238444,0.0600000000000002
magicc_hdtbasis1.24_zecsd0.0,1.3000000000000005,0.9,-250.70656067462104,0.0600000000000002
magicc_hdtbasis1.24_zecsd0.0,1.4000000000000004,0.1,115.8636980156502,0.1600000000000003
magicc_hdtbasis1.24_zecsd0.0,1.4000000000000004,0.17,50.57899962310493,0.1600000000000003
magicc_hdtbasis1.24_zecsd0.0,1.4000000000000004,0.33,-13.235638941191343,0.1600000000000003
magicc_hdtbasis1.24_zecsd0.0,1.4000000000000004,0.5,-48.350024116738496,0.1600000000000003
magicc_hdtbasis1.24_zecsd0.0,1.4000000000000004,0.67,-74.02611795985527,0.1600000000000003
magicc_hdtbasis1.24_zecsd0.0,1.4000000000000004,0.83,-97.2110533434292,0.1600000000000003
magicc_hdtbasis1.24_zecsd0.0,1.4000000000000004,0.9,-109.67176737015193,0.1600000000000003
magicc_hdtbasis1.24_zecsd0.0,1.5000000000000004,0.1,479.5089179363531,0.2600000000000004
magicc_hdtbasis1.24_zecsd0.0,1.5000000000000004,0.17,342.0571315724219,0.2600000000000004
magicc_hdtbasis1.24_zecsd0.0,1.5000000000000004,0.33,207.69563198254957,0.2600000000000004
magicc_hdtbasis1.24_zecsd0.0,1.5000000000000004,0.5,134.22273736520202,0.2600000000000004
magicc_hdtbasis1.24_zecsd0.0,1.5000000000000004,0.67,81.08330361044624,0.2600000000000004
magicc_hdtbasis1.24_zecsd0.0,1.5000000000000004,0.83,34.045692640886465,0.2600000000000004
magicc_hdtbasis1.24_zecsd0.0,1.5000000000000004,0.9,9.24848739178382,0.2600000000000004
magicc_hdtbasis1.24_zecsd0.0,1.6000000000000003,0.1,843.3687912283642,0.3600000000000005
magicc_hdtbasis1.24_zecsd0.0,1.6000000000000003,0.17,633.4973381902839,0.3600000000000005
magicc_hdtbasis1.24_zecsd0.0,1.6000000000000003,0.33,428.79841061583306,0.3600000000000005
magicc_hdtbasis1.24_zecsd0.0,1.6000000000000003,0.5,316.72519905079935,0.3600000000000005
magicc_hdtbasis1.24_zecsd0.0,1.6000000000000003,0.67,236.14226498168628,0.3600000000000005
magicc_hdtbasis1.24_zecsd0.0,1.6000000000000003,0.83,165.0352884867469,0.3600000000000005
magicc_hdtbasis1.24_zecsd0.0,1.6000000000000003,0.9,127.92634377260924,0.3600000000000005
magicc_hdtbasis1.24_zecsd0.0,1.7000000000000006,0.1,1207.2740859431783,0.4600000000000006
magicc_hdtbasis1.24_zecsd0.0,1.7000000000000006,0.17,925.0123191427458,0.4600000000000006
magicc_hdtbasis1.24_zecsd0.0,1.7000000000000006,0.33,649.9138553037345,0.4600000000000006
magicc_hdtbasis1.24_zecsd0.0,1.7000000000000006,0.5,499.40467557643024,0.4600000000000006
magicc_hdtbasis1.24_zecsd0.0,1.7000000000000006,0.67,391.22243890851576,0.4600000000000006
magicc_hdtbasis1.24_zecsd0.0,1.7000000000000006,0.83,296.1739997739159,0.4600000000000006
magicc_hdtbasis1.24_zecsd0.0,1.7000000000000006,0.9,246.5506772308005,0.4600000000000006
magicc_hdtbasis1.24_zecsd0.0,1.8000000000000007,0.1,1570.6741169386448,0.5600000000000007
magicc_hdtbasis1.24_zecsd0.0,1.8000000000000007,0.17,1216.4650560070006,0.5600000000000007
magicc_hdtbasis1.24_zecsd0.0,1.8000000000000007,0.33,871.1565319316071,0.5600000000000007
magicc_hdtbasis1.24_zecsd0.0,1.8000000000000007,0.5,682.0725652014971,0.5600000000000007
magicc_hdtbasis1.24_zecsd0.0,1.8000000000000007,0.67,546.3628540517963,0.5600000000000007
magicc_hdtbasis1.24_zecsd0.0,1.8000000000000007,0.83,427.2212947033855,0.5600000000000007
magicc_hdtbasis1.24_zecsd0.0,1.8000000000000007,0.9,365.1838477082612,0.5600000000000007
magicc_hdtbasis1.24_zecsd0.0,1.9000000000000008,0.1,1935.1286291251631,0.6600000000000008
magicc_hdtbasis1.24_zecsd0.0,1.9000000000000008,0.17,1508.008741480452,0.6600000000000008
magicc_hdtbasis1.24_zecsd0.0,1.9000000000000008,0.33,1092.0384879378466,0.6600000000000008
magicc_hdtbasis1.24_zecsd0.0,1.9000000000000008,0.5,864.7752290585123,0.6600000000000008
magicc_hdtbasis1.24_zecsd0.0,1.9000000000000008,0.67,701.3892127430864,0.6600000000000008
magicc_hdtbasis1.24_zecsd0.0,1.9000000000000008,0.83,558.1342144613482,0.6600000000000008
magicc_hdtbasis1.24_zecsd0.0,1.9000000000000008,0.9,483.7717038575401,0.6600000000000008
magicc_hdtbasis1.24_zecsd0.0,2.000000000000001,0.1,2298.436397682496,0.7600000000000009
magicc_hdtbasis1.24_zecsd0.0,2.000000000000001,0.17,1799.5693493058122,0.7600000000000009
magicc_hdtbasis1.24_zecsd0.0,2.000000000000001,0.33,1313.2169035035483,0.7600000000000009
magicc_hdtbasis1.24_zecsd0.0,2.000000000000001,0.5,1047.304737874908,0.7600000000000009
magicc_hdtbasis1.24_zecsd0.0,2.000000000000001,0.67,856.421572663605,0.7600000000000009
magicc_hdtbasis1.24_zecsd0.0,2.000000000000001,0.83,689.1795350912125,0.7600000000000009
magicc_hdtbasis1.24_zecsd0.0,2.000000000000001,0.9,602.2903139244564,0.7600000000000009
magicc_hdtbasis1.24_zecsd0.0,2.100000000000001,0.1,2662.7231576186405,0.860000000000001
magicc_hdtbasis1.24_zecsd0.0,2.100000000000001,0.17,2091.1760217839524,0.860000000000001
magicc_hdtbasis1.24_zecsd0.0,2.100000000000001,0.33,1534.3159336025635,0.860000000000001
magicc_hdtbasis1.24_zecsd0.0,2.100000000000001,0.5,1230.0346863891025,0.860000000000001
