percentile,time,solar,volcanic,aerosol_radiation_interactions,aerosol_cloud_interactions,contrails,land_use,BC_on_snow,CO2,CH4,N2O,HFC_134a,HFC_23,HFC_32,HFC_125,HFC_143a,HFC_152a,HFC_227ea,HFC_236fa,HFC_245fa,HFC_365mfc,HFC_43_10mee,NF3,SF6,SO2F2,CF4,C2F6,C3F8,c_C4F8,CFC_12,CFC_11,CFC_113,CFC_114,CFC_115,CFC_13,HCFC_22,HCFC_141b,HCFC_142b,CH3CCl3,CCl4,CH3Cl,CH3Br,CH2Cl2,CHCl3,Halon_1211,Halon_1301,Halon_2402,n_C4F10,n_C5F12,n_C6F14,i_C6F14,C7F16,C8F18,CFC_112,CFC_112a,CFC_113a,CFC_114a,HCFC_133a,HCFC_31,HCFC_124,O3,H2O_stratospheric,aerosol,nonco2wmghg,halogen,anthro,total,minor,natural,wmghg,anthro_nonwmghg
p05,1750,0.010893838,0.175711988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.196235495,0.0,0.196235495,0.0,0.0
p05,1751,0.000312382,0.182076214,-0.000405383,0.000303412,0.0,-0.000255458,-0.00083803,0.001246897,0.000406138,6.41e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.73e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000662158,-8.47e-08,0.000550782,0.000480141,3.73e-10,0.001566077,0.189676397,-0.000938455,0.182840078,0.001800835,-0.000424619
p05,1752,-0.013644349,0.18007464,-0.000404578,0.000422575,0.0,-0.000509766,-0.001117671,0.002493497,0.000812031,0.000128178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.46e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00061431,-1.69e-07,0.000986856,0.000960027,7.46e-10,0.003787459,0.181876006,-0.001337444,0.170849194,0.003601084,-0.000178088
p05,1753,-0.035419916,0.071859891,-0.000406104,0.000309057,0.0,-0.000763081,-0.000838161,0.0037398,0.001217678,0.000192257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000223226,-2.54e-07,0.000562309,0.001439659,1.12e-09,0.005602635,0.055757257,-0.001245905,0.045600606,0.005400747,-0.000308579
p05,1754,-0.06407617,-0.0350894,-0.00092102,-0.009262462,0.0,-0.001015318,-1.44e-07,0.004985806,0.001623081,0.000256328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.49e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000373738,-3.39e-07,-0.009805896,0.001919038,1.49e-09,-0.001403041,-0.088282358,-0.000838405,-0.093283845,0.007199829,-0.00937684
p05,1755,-0.079164061,0.080981899,0.000198321,-0.001544599,0.0,-0.001266882,-1.56e-07,0.006231515,0.00202824,0.000320392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.87e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00051929,-4.24e-07,-0.001080831,0.002398163,1.87e-09,0.009245724,0.02948781,-0.001054755,0.01756569,0.008998353,-0.00053198
p05,1756,-0.080675767,-0.039208088,-0.000541447,0.000281489,0.0,-0.00151784,-0.000893553,0.007476928,0.002433155,0.000384449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.24e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000104031,-5.08e-07,0.000381623,0.002877036,2.24e-09,0.011160585,-0.097063172,-0.001873661,-0.113193707,0.010796305,-0.000546387
p05,1757,-0.045052648,0.144917684,-0.001589397,-0.026327065,0.0,-0.001768552,-2.18e-06,0.008722045,0.002837826,0.000448499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.61e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001379519,-5.93e-07,-0.02634684,0.003355655,2.61e-09,-0.009446284,0.119122089,-0.001037056,0.112883226,0.012593551,-0.023375692
p05,1758,-0.014737788,0.177668027,-0.000497828,-0.01122052,0.0,-0.002016972,-1.09e-06,0.009966865,0.003242254,0.000512542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.99e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001168908,-6.78e-07,-0.01102973,0.003834024,2.99e-09,0.006787972,0.182393224,-0.001433121,0.167815948,0.014390292,-0.009110713
p05,1759,-0.004183723,0.180050473,-0.000859748,-0.012722861,0.0,-0.002266092,-9.73e-07,0.01121139,0.00364644,0.000576577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.36e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001052594,-7.63e-07,-0.012864763,0.00431214,3.36e-09,0.006571259,0.193287343,-0.001676529,0.178296161,0.016186409,-0.011275611
