compound_emitted,percentile,time,forcing_agent,erf_total,erf_by_mechanism
CO2,p05,2025,CO2,1.913,2.295
CO2,p05,2025,CH4,1.913,-0.021
CO2,p05,2025,N2O,1.913,-0.002
CO2,p05,2025,CFC+HCFC+other,1.913,0.0
CO2,p05,2025,HFC,1.913,0.0
CO2,p05,2025,Ozone,1.913,-0.054
CO2,p05,2025,Strat H2O,1.913,-0.003
CO2,p05,2025,ARI,1.913,0.0
CO2,p05,2025,ACI,1.913,0.0
CO2,p05,2025,LAPSI,1.913,0.0
CO2,p05,2025,Land use,1.913,0.0
CO2,p50,2025,CO2,2.216,2.295
CO2,p50,2025,CH4,2.216,-0.021
CO2,p50,2025,N2O,2.216,-0.002
CO2,p50,2025,CFC+HCFC+other,2.216,0.0
CO2,p50,2025,HFC,2.216,0.0
CO2,p50,2025,Ozone,2.216,-0.054
CO2,p50,2025,Strat H2O,2.216,-0.003
CO2,p50,2025,ARI,2.216,0.0
CO2,p50,2025,ACI,2.216,0.0
CO2,p50,2025,LAPSI,2.216,0.0
CO2,p50,2025,Land use,2.216,0.0
CO2,p95,2025,CO2,2.533,2.295
CO2,p95,2025,CH4,2.533,-0.021
CO2,p95,2025,N2O,2.533,-0.002
CO2,p95,2025,CFC+HCFC+other,2.533,0.0
CO2,p95,2025,HFC,2.533,0.0
CO2,p95,2025,Ozone,2.533,-0.054
CO2,p95,2025,Strat H2O,2.533,-0.003
CO2,p95,2025,ARI,2.533,0.0
CO2,p95,2025,ACI,2.533,0.0
CO2,p95,2025,LAPSI,2.533,0.0
CO2,p95,2025,Land use,2.533,0.0
CH4,p05,2025,CO2,0.889,0.078
CH4,p05,2025,CH4,0.889,0.638
CH4,p05,2025,N2O,0.889,-0.009
CH4,p05,2025,CFC+HCFC+other,0.889,0.0
CH4,p05,2025,HFC,0.889,0.0
CH4,p05,2025,Ozone,0.889,0.301
CH4,p05,2025,Strat H2O,0.889,0.059
CH4,p05,2025,ARI,0.889,-0.004
CH4,p05,2025,ACI,0.889,0.0
CH4,p05,2025,LAPSI,0.889,0.0
CH4,p05,2025,Land use,0.889,0.0
CH4,p50,2025,CO2,1.063,0.078
CH4,p50,2025,CH4,1.063,0.638
CH4,p50,2025,N2O,1.063,-0.009
CH4,p50,2025,CFC+HCFC+other,1.063,0.0
CH4,p50,2025,HFC,1.063,0.0
CH4,p50,2025,Ozone,1.063,0.301
CH4,p50,2025,Strat H2O,1.063,0.059
CH4,p50,2025,ARI,1.063,-0.004
CH4,p50,2025,ACI,1.063,0.0
CH4,p50,2025,LAPSI,1.063,0.0
CH4,p50,2025,Land use,1.063,0.0
CH4,p95,2025,CO2,1.233,0.078
CH4,p95,2025,CH4,1.233,0.638
CH4,p95,2025,N2O,1.233,-0.009
CH4,p95,2025,CFC+HCFC+other,1.233,0.0
CH4,p95,2025,HFC,1.233,0.0
CH4,p95,2025,Ozone,1.233,0.301
CH4,p95,2025,Strat H2O,1.233,0.059
CH4,p95,2025,ARI,1.233,-0.004
CH4,p95,2025,ACI,1.233,0.0
CH4,p95,2025,LAPSI,1.233,0.0
CH4,p95,2025,Land use,1.233,0.0
N2O,p05,2025,CO2,0.195,0.003
N2O,p05,2025,CH4,0.195,-0.034
N2O,p05,2025,N2O,0.195,0.222
N2O,p05,2025,CFC+HCFC+other,0.195,0.0
N2O,p05,2025,HFC,0.195,0.0
N2O,p05,2025,Ozone,0.195,0.055
N2O,p05,2025,Strat H2O,0.195,-0.004
N2O,p05,2025,ARI,0.195,-0.003
N2O,p05,2025,ACI,0.195,0.0
N2O,p05,2025,LAPSI,0.195,0.0
N2O,p05,2025,Land use,0.195,0.0
N2O,p50,2025,CO2,0.242,0.003
N2O,p50,2025,CH4,0.242,-0.034
N2O,p50,2025,N2O,0.242,0.222
N2O,p50,2025,CFC+HCFC+other,0.242,0.0
N2O,p50,2025,HFC,0.242,0.0
N2O,p50,2025,Ozone,0.242,0.055
N2O,p50,2025,Strat H2O,0.242,-0.004
N2O,p50,2025,ARI,0.242,-0.003
N2O,p50,2025,ACI,0.242,0.0
N2O,p50,2025,LAPSI,0.242,0.0
N2O,p50,2025,Land use,0.242,0.0
N2O,p95,2025,CO2,0.287,0.003
N2O,p95,2025,CH4,0.287,-0.034
N2O,p95,2025,N2O,0.287,0.222
N2O,p95,2025,CFC+HCFC+other,0.287,0.0
N2O,p95,2025,HFC,0.287,0.0
N2O,p95,2025,Ozone,0.287,0.055
N2O,p95,2025,Strat H2O,0.287,-0.004
N2O,p95,2025,ARI,0.287,-0.003
N2O,p95,2025,ACI,0.287,0.0
N2O,p95,2025,LAPSI,0.287,0.0
N2O,p95,2025,Land use,0.287,0.0
CFC+HCFC+HFC,p05,2025,CO2,0.221,0.01
CFC+HCFC+HFC,p05,2025,CH4,0.221,0.01
CFC+HCFC+HFC,p05,2025,N2O,0.221,0.0
CFC+HCFC+HFC,p05,2025,CFC+HCFC+other,0.221,0.354
CFC+HCFC+HFC,p05,2025,HFC,0.221,0.052
CFC+HCFC+HFC,p05,2025,Ozone,0.221,-0.053
CFC+HCFC+HFC,p05,2025,Strat H2O,0.221,0.001
CFC+HCFC+HFC,p05,2025,ARI,0.221,0.0
CFC+HCFC+HFC,p05,2025,ACI,0.221,0.0
CFC+HCFC+HFC,p05,2025,LAPSI,0.221,0.0
CFC+HCFC+HFC,p05,2025,Land use,0.221,0.0
CFC+HCFC+HFC,p50,2025,CO2,0.375,0.01
CFC+HCFC+HFC,p50,2025,CH4,0.375,0.01
CFC+HCFC+HFC,p50,2025,N2O,0.375,0.0
CFC+HCFC+HFC,p50,2025,CFC+HCFC+other,0.375,0.354
CFC+HCFC+HFC,p50,2025,HFC,0.375,0.052
CFC+HCFC+HFC,p50,2025,Ozone,0.375,-0.053
CFC+HCFC+HFC,p50,2025,Strat H2O,0.375,0.001
CFC+HCFC+HFC,p50,2025,ARI,0.375,0.0
CFC+HCFC+HFC,p50,2025,ACI,0.375,0.0
CFC+HCFC+HFC,p50,2025,LAPSI,0.375,0.0
CFC+HCFC+HFC,p50,2025,Land use,0.375,0.0
CFC+HCFC+HFC,p95,2025,CO2,0.532,0.01
CFC+HCFC+HFC,p95,2025,CH4,0.532,0.01
CFC+HCFC+HFC,p95,2025,N2O,0.532,0.0
CFC+HCFC+HFC,p95,2025,CFC+HCFC+other,0.532,0.354
CFC+HCFC+HFC,p95,2025,HFC,0.532,0.052
CFC+HCFC+HFC,p95,2025,Ozone,0.532,-0.053
CFC+HCFC+HFC,p95,2025,Strat H2O,0.532,0.001
CFC+HCFC+HFC,p95,2025,ARI,0.532,0.0
CFC+HCFC+HFC,p95,2025,ACI,0.532,0.0
CFC+HCFC+HFC,p95,2025,LAPSI,0.532,0.0
CFC+HCFC+HFC,p95,2025,Land use,0.532,0.0
NOx,p05,2025,CO2,-0.561,-0.009
NOx,p05,2025,CH4,-0.561,-0.288
NOx,p05,2025,N2O,-0.561,0.004
NOx,p05,2025,CFC+HCFC+other,-0.561,0.0
NOx,p05,2025,HFC,-0.561,0.0
NOx,p05,2025,Ozone,-0.561,-0.067
NOx,p05,2025,Strat H2O,-0.561,-0.042
NOx,p05,2025,ARI,-0.561,-0.006
NOx,p05,2025,ACI,-0.561,0.0
NOx,p05,2025,LAPSI,-0.561,0.0
NOx,p05,2025,Land use,-0.561,0.0
NOx,p50,2025,CO2,-0.408,-0.009
NOx,p50,2025,CH4,-0.408,-0.288
NOx,p50,2025,N2O,-0.408,0.004
NOx,p50,2025,CFC+HCFC+other,-0.408,0.0
NOx,p50,2025,HFC,-0.408,0.0
NOx,p50,2025,Ozone,-0.408,-0.067
NOx,p50,2025,Strat H2O,-0.408,-0.042
NOx,p50,2025,ARI,-0.408,-0.006
NOx,p50,2025,ACI,-0.408,0.0
NOx,p50,2025,LAPSI,-0.408,0.0
NOx,p50,2025,Land use,-0.408,0.0
NOx,p95,2025,CO2,-0.257,-0.009
NOx,p95,2025,CH4,-0.257,-0.288
NOx,p95,2025,N2O,-0.257,0.004
NOx,p95,2025,CFC+HCFC+other,-0.257,0.0
NOx,p95,2025,HFC,-0.257,0.0
NOx,p95,2025,Ozone,-0.257,-0.067
NOx,p95,2025,Strat H2O,-0.257,-0.042
NOx,p95,2025,ARI,-0.257,-0.006
NOx,p95,2025,ACI,-0.257,0.0
NOx,p95,2025,LAPSI,-0.257,0.0
NOx,p95,2025,Land use,-0.257,0.0
NMVOC+CO,p05,2025,CO2,0.152,0.085
NMVOC+CO,p05,2025,CH4,0.152,0.059
NMVOC+CO,p05,2025,N2O,0.152,-0.001
NMVOC+CO,p05,2025,CFC+HCFC+other,0.152,0.0
NMVOC+CO,p05,2025,HFC,0.152,0.0
NMVOC+CO,p05,2025,Ozone,0.152,0.081
NMVOC+CO,p05,2025,Strat H2O,0.152,0.007
NMVOC+CO,p05,2025,ARI,0.152,-0.002
NMVOC+CO,p05,2025,ACI,0.152,0.0
NMVOC+CO,p05,2025,LAPSI,0.152,0.0
NMVOC+CO,p05,2025,Land use,0.152,0.0
NMVOC+CO,p50,2025,CO2,0.229,0.085
NMVOC+CO,p50,2025,CH4,0.229,0.059
NMVOC+CO,p50,2025,N2O,0.229,-0.001
NMVOC+CO,p50,2025,CFC+HCFC+other,0.229,0.0
NMVOC+CO,p50,2025,HFC,0.229,0.0
NMVOC+CO,p50,2025,Ozone,0.229,0.081
NMVOC+CO,p50,2025,Strat H2O,0.229,0.007
NMVOC+CO,p50,2025,ARI,0.229,-0.002
NMVOC+CO,p50,2025,ACI,0.229,0.0
NMVOC+CO,p50,2025,LAPSI,0.229,0.0
NMVOC+CO,p50,2025,Land use,0.229,0.0
NMVOC+CO,p95,2025,CO2,0.31,0.085
NMVOC+CO,p95,2025,CH4,0.31,0.059
NMVOC+CO,p95,2025,N2O,0.31,-0.001
NMVOC+CO,p95,2025,CFC+HCFC+other,0.31,0.0
NMVOC+CO,p95,2025,HFC,0.31,0.0
NMVOC+CO,p95,2025,Ozone,0.31,0.081
NMVOC+CO,p95,2025,Strat H2O,0.31,0.007
NMVOC+CO,p95,2025,ARI,0.31,-0.002
NMVOC+CO,p95,2025,ACI,0.31,0.0
NMVOC+CO,p95,2025,LAPSI,0.31,0.0
NMVOC+CO,p95,2025,Land use,0.31,0.0
SO2,p05,2025,CO2,-1.629,-0.046
SO2,p05,2025,CH4,-1.629,0.014
SO2,p05,2025,N2O,-1.629,0.0
SO2,p05,2025,CFC+HCFC+other,-1.629,0.0
SO2,p05,2025,HFC,-1.629,0.0
SO2,p05,2025,Ozone,-1.629,0.028
SO2,p05,2025,Strat H2O,-1.629,0.002
SO2,p05,2025,ARI,-1.629,-0.218
SO2,p05,2025,ACI,-1.629,-0.685
SO2,p05,2025,LAPSI,-1.629,0.0
SO2,p05,2025,Land use,-1.629,0.0
SO2,p50,2025,CO2,-0.906,-0.046
SO2,p50,2025,CH4,-0.906,0.014
SO2,p50,2025,N2O,-0.906,0.0
SO2,p50,2025,CFC+HCFC+other,-0.906,0.0
SO2,p50,2025,HFC,-0.906,0.0
SO2,p50,2025,Ozone,-0.906,0.028
SO2,p50,2025,Strat H2O,-0.906,0.002
SO2,p50,2025,ARI,-0.906,-0.218
SO2,p50,2025,ACI,-0.906,-0.685
SO2,p50,2025,LAPSI,-0.906,0.0
SO2,p50,2025,Land use,-0.906,0.0
SO2,p95,2025,CO2,-0.41,-0.046
SO2,p95,2025,CH4,-0.41,0.014
SO2,p95,2025,N2O,-0.41,0.0
SO2,p95,2025,CFC+HCFC+other,-0.41,0.0
SO2,p95,2025,HFC,-0.41,0.0
SO2,p95,2025,Ozone,-0.41,0.028
SO2,p95,2025,Strat H2O,-0.41,0.002
SO2,p95,2025,ARI,-0.41,-0.218
SO2,p95,2025,ACI,-0.41,-0.685
SO2,p95,2025,LAPSI,-0.41,0.0
SO2,p95,2025,Land use,-0.41,0.0
Organic carbon,p05,2025,CO2,-0.223,-0.006
Organic carbon,p05,2025,CH4,-0.223,0.003
Organic carbon,p05,2025,N2O,-0.223,0.0
Organic carbon,p05,2025,CFC+HCFC+other,-0.223,0.0
Organic carbon,p05,2025,HFC,-0.223,0.0
Organic carbon,p05,2025,Ozone,-0.223,0.007
Organic carbon,p05,2025,Strat H2O,-0.223,0.0
Organic carbon,p05,2025,ARI,-0.223,-0.084
Organic carbon,p05,2025,ACI,-0.223,-0.062
Organic carbon,p05,2025,LAPSI,-0.223,0.0
Organic carbon,p05,2025,Land use,-0.223,0.0
Organic carbon,p50,2025,CO2,-0.142,-0.006
Organic carbon,p50,2025,CH4,-0.142,0.003
Organic carbon,p50,2025,N2O,-0.142,0.0
Organic carbon,p50,2025,CFC+HCFC+other,-0.142,0.0
Organic carbon,p50,2025,HFC,-0.142,0.0
Organic carbon,p50,2025,Ozone,-0.142,0.007
