time,CO2,CH4,N2O,HFC_134a,HFC_23,SF6,CF4,HFC_32,HFC_125,HFC_143a,HFC_152a,HFC_227ea,HFC_236fa,HFC_245fa,HFC_365mfc,HFC_43_10mee,C2F6,C3F8,c_C4F8,n_C4F10,n_C5F12,n_C6F14,i_C6F14,C7F16,C8F18,CFC_11,CFC_12,CFC_113,CFC_114,CFC_115,CFC_13,CFC_112,CFC_112a,CFC_113a,CFC_114a,HCFC_22,HCFC_141b,HCFC_142b,HCFC_133a,HCFC_31,HCFC_124,NF3,SO2F2,CCl4,CH3CCl3,CH3Cl,CH3Br,CH2Cl2,CHCl3,Halon_1211,Halon_1301,Halon_2402
1750,278.377857,729.2,270.1,0.0,0.0,0.0,34.05,0.000218389,0.0,0.0,0.0,3.95e-06,0.0,0.0,0.0,0.0,1.29e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1e-05,0.025000429,0.0,457.0,5.299997818,6.91,4.8,0.004446573,0.0,0.0
1850,285.583545,807.6,272.1,0.0,0.0,0.0,34.05,0.000218389,0.0,0.0,0.0,3.95e-06,0.0,0.0,0.0,0.0,1.29e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1e-05,0.025000429,0.0,457.0,5.299997818,6.91276128,4.8,0.004446573,0.0,0.0
1851,285.7055532,807.7689743,272.1811321,0.0,0.0,0.0,34.05,0.000220928,0.0,0.0,0.0,4e-06,0.0,0.0,0.0,0.0,1.03e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.12e-05,0.025000429,0.0,457.0,5.299997818,6.91276128,4.8,0.004446573,0.0,0.0
1852,285.8435884,808.5228485,272.2622141,0.0,0.0,0.0,34.05,0.000223468,0.0,0.0,0.0,4.04e-06,0.0,0.0,0.0,0.0,2.07e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.15e-05,0.025000429,0.0,457.0,5.299997818,6.91276128,4.8,0.004446573,0.0,0.0
1853,285.9676049,809.768605,272.3652689,0.0,0.0,0.0,34.05,0.000226007,0.0,0.0,0.0,4.09e-06,0.0,0.0,0.0,0.0,3.11e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.17e-05,0.025000429,0.0,457.0,5.299997818,6.91276128,4.8,0.004446573,0.0,0.0
1854,286.0736325,811.1015197,272.4713448,0.0,0.0,0.0,34.05,0.000228547,0.0,0.0,0.0,4.14e-06,0.0,0.0,0.0,0.0,4.15e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2e-05,0.025000429,0.0,457.0,5.299997818,6.91276128,4.8,0.004446573,0.0,0.0
1855,286.1596246,812.706285,272.5854469,0.0,0.0,0.0,34.05,0.000231086,0.0,0.0,0.0,4.18e-06,0.0,0.0,0.0,0.0,5.2e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.22e-05,0.025000429,0.0,457.0,5.299997818,6.91276128,4.8,0.004446573,0.0,0.0
1856,286.2586276,814.1752471,272.700495,0.0,0.0,0.0,34.05,0.000233625,0.0,0.0,0.0,4.23e-06,0.0,0.0,0.0,0.0,6.25e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25e-05,0.025000429,0.0,457.0,5.299997818,6.91276128,4.8,0.004446573,0.0,0.0
1857,286.4046647,815.8361037,272.8045873,0.0,0.0,0.0,34.05,0.000236165,0.0,0.0,0.0,4.27e-06,0.0,0.0,0.0,0.0,7.32e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.27e-05,0.025000429,0.0,457.0,5.299997818,6.91276128,4.8,0.004446573,0.0,0.0
1858,286.560689,817.7439085,272.8926579,0.0,0.0,0.0,34.05,0.000238704,0.0,0.0,0.0,4.32e-06,0.0,0.0,0.0,0.0,8.38e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3e-05,0.025000429,0.0,457.0,5.299997818,6.91276128,4.8,0.004446573,0.0,0.0
