accounting_method,time,F_gases,N2O,CH4,CO2_LULUCF,CO2_FFI
WGIII,1959,,,,8.69276672,8.855112131
WGIII,1960,,,,7.61056768,9.386951378
WGIII,1961,,,,7.630157867,9.41499049
WGIII,1962,,,,7.138400213,9.74724078
WGIII,1963,,,,6.953331573,10.26677766
WGIII,1964,,,,6.659918453,10.82446965
WGIII,1965,,,,6.385423787,11.31060288
WGIII,1966,,,,5.91714016,11.86262522
WGIII,1967,,,,6.25052752,12.23737074
WGIII,1968,,,,6.327129547,12.90527366
WGIII,1969,,,,6.940544213,13.76179739
WGIII,1970,,1.48829532,5.731166458,6.689670133,14.89913841
WGIII,1971,,1.509582756,5.80457548,6.1393984,15.50386365
WGIII,1972,,1.536588425,5.90932251,6.43808768,16.22458056
WGIII,1973,,1.584927654,6.083809319,6.2542648,17.07728605
WGIII,1974,,1.602442842,6.122853057,6.31299872,16.9979116
WGIII,1975,,1.625946817,6.191997557,6.12349664,16.98847675
WGIII,1976,,1.674250718,6.282834694,6.060280427,17.86249171
WGIII,1977,,1.709149368,6.362341033,6.620090773,18.35803867
WGIII,1978,,1.756271629,6.42055246,6.563897227,19.02474133
WGIII,1979,,1.782719946,6.551515177,5.855829227,19.50859048
WGIII,1980,,1.788361677,6.522096599,6.001314453,19.40979303
WGIII,1981,,1.777114547,6.414634059,5.836581013,18.87975665
WGIII,1982,,1.808531071,6.469886711,5.531553013,18.72974237
WGIII,1983,,1.863942519,6.507619851,5.839854187,18.90177504
WGIII,1984,,1.895573835,6.622470518,6.424799573,19.45724975
WGIII,1985,,1.870587934,6.693733308,6.7877432,20.14486298
WGIII,1986,,1.892713798,6.805098096,6.94331664,20.43804484
WGIII,1987,,1.925038386,6.867679287,6.497945227,21.10619026
WGIII,1988,,1.951601292,7.012980722,6.156680267,21.91875598
WGIII,1989,,1.960883154,7.172301002,5.98082048,22.20021243
WGIII,1990,0.392570221,1.937817792,7.165313998,5.829069813,22.73214368
WGIII,1991,0.39707931,1.934056827,7.099564105,5.720297867,23.20559096
WGIII,1992,0.39344044,1.951507336,7.116689933,5.967898773,22.52042407
WGIII,1993,0.394242453,1.953993107,7.089867042,5.733292853,22.74987208
WGIII,1994,0.410428084,1.981688776,7.159776476,6.668907467,22.97459834
WGIII,1995,0.444051151,2.03722366,7.242251287,6.2780808,23.51663789
WGIII,1996,0.467607456,2.090879712,7.327470933,6.541827733,24.23347673
WGIII,1997,0.49830985,2.050082716,7.292183217,8.01961664,24.38032133
WGIII,1998,0.517968668,2.065809331,7.210111115,6.792237707,24.295713
WGIII,1999,0.532116212,2.082560726,7.224882473,6.5618576,24.83777067
WGIII,2000,0.563247104,2.0735356,7.311731545,6.145761547,25.51148347
WGIII,2001,0.565126261,2.066912954,7.31499786,5.460703467,25.6929936
WGIII,2002,0.646718838,2.074681828,7.286152319,6.093696107,26.26533154
WGIII,2003,0.681614748,2.107659794,7.498455931,7.321209387,27.65269048
WGIII,2004,0.761033641,2.167102079,7.644759259,6.443864587,28.61002399
WGIII,2005,0.817849423,2.190308527,7.772480321,5.931112213,29.59895045
WGIII,2006,0.853570149,2.231914822,7.895248978,6.033740853,30.59415171
WGIII,2007,0.870326769,2.277625294,7.950454229,5.59320592,31.49925552
WGIII,2008,0.857137777,2.252203114,8.076741738,5.951019947,32.04966029
WGIII,2009,0.88469761,2.252595006,8.055050181,6.53481728,31.51301358
WGIII,2010,0.946556051,2.287897252,8.204228633,6.517828533,33.31767337
WGIII,2011,1.000902354,2.347480698,8.396731724,6.392556373,34.47998949
WGIII,2012,1.062908684,2.364240382,8.493633429,6.682122293,34.95473522
WGIII,2013,1.113911618,2.394159808,8.499409409,6.31952064,35.27581968
WGIII,2014,1.192950166,2.393982929,8.566334552,6.40991152,35.4656939
WGIII,2015,1.151044488,2.412108511,8.592588917,6.512625653,35.40352751
WGIII,2016,1.207872937,2.435065163,8.62926392,5.3765536,35.39283036
WGIII,2017,1.276213779,2.448406409,8.745816161,5.307768107,35.97460992
WGIII,2018,1.344598427,2.457579918,8.872581645,4.88202352,36.73400293
WGIII,2019,1.401469022,2.492645842,8.945953702,4.887177547,37.08656669
WGIII,2020,1.462010904,2.496844209,8.834013058,4.51653952,35.15822983
WGIII,2021,1.532072239,2.528457758,8.952528858,4.657102773,36.86686379
WGIII,2022,1.601360755,2.546570741,9.097129402,4.785391627,37.52777168
WGIII,2023,1.668512221,2.581273639,9.226355764,4.745551733,38.09404417
WGIII,2024,1.736732212,2.603738611,9.287705275,4.585508213,38.59857803
