time,GMSL_mean,GMSL_standard_deviation
1901,-155.5997812,38.40168698
1902,-157.1681007,47.7343869
1903,-151.0107225,49.35704427
1904,-153.2503576,47.09305675
1905,-151.8013657,47.85150891
1906,-154.3482005,46.66993467
1907,-151.972297,47.0638542
1908,-157.2006147,48.08063686
1909,-154.0328733,47.07878167
1910,-153.2230473,46.93391046
1911,-144.3331898,46.33612854
1912,-142.5294031,46.86248017
1913,-139.0401895,46.66555632
1914,-135.8626483,47.29512324
1915,-131.4538892,46.17506864
1916,-141.1129863,46.24712343
1917,-139.0767162,46.74100563
1918,-137.3457357,45.98722369
1919,-134.3126242,46.15903415
1920,-131.0729973,46.02427477
1921,-130.4852128,45.72059156
1922,-130.5808292,45.95549775
1923,-134.8291319,45.31318162
1924,-135.4099478,46.14880201
1925,-135.8376112,45.75503178
1926,-133.8405129,45.08032217
1927,-131.6859075,45.07400087
1928,-133.1839407,45.46088058
1929,-132.150688,45.54986276
1930,-128.7178772,45.21985296
1931,-128.8164736,45.33232731
1932,-121.6690962,45.24405829
1933,-121.8425977,44.75992032
1934,-127.3370342,45.85811818
1935,-120.2299867,45.17420286
1936,-122.9309093,45.69684954
1937,-117.4071629,45.26539379
1938,-112.6969092,45.2835754
1939,-108.5621581,44.88155978
1940,-113.2214747,46.60167761
1941,-103.2540541,45.08098712
1942,-102.658654,44.82301299
1943,-100.1758503,45.13492563
1944,-104.381583,45.91948491
1945,-102.9287759,45.72507799
1946,-94.31439205,45.05775578
1947,-95.4631918,44.54309468
1948,-90.87671406,44.15337289
1949,-86.58113972,45.03047596
1950,-86.81146603,44.86934135
1951,-79.71293575,43.95037483
1952,-79.71136418,44.29297424
1953,-76.27016153,44.15005623
1954,-80.3369194,44.22719543
1955,-78.94690141,44.09141747
1956,-84.5959682,44.3854019
1957,-73.85802561,42.9883336
1958,-74.04459571,42.63921235
1959,-72.82075599,42.63879846
1960,-69.66088602,42.53636341
1961,-67.94302403,42.06183364
1962,-70.2642938,42.25808152
1963,-70.50466997,43.09293511
1964,-74.6276735,43.42708747
1965,-67.68436526,42.98147603
1966,-71.45751397,42.22845186
1967,-71.66598298,42.09499069
1968,-71.39222843,41.91943183
1969,-68.13421169,41.63207738
1970,-69.28401371,41.62593826
1971,-63.37246613,41.57144299
1972,-61.59522757,41.15444734
1973,-65.11990094,41.21856201
1974,-58.88663541,41.29689811
1975,-56.23671523,41.14824767
1976,-59.07838798,41.05817952
1977,-57.56125056,41.32536165
1978,-56.39492426,40.97524545
1979,-54.32284756,41.18748721
1980,-52.15115696,40.95505072
1981,-42.42976907,41.32893885
1982,-46.24950048,41.13355069
1983,-42.40699329,40.97988711
1984,-41.58879637,41.0129151
1985,-46.43891604,41.037567
1986,-43.31631237,41.33520202
1987,-43.40833746,42.56380994
1988,-43.0659325,41.34258363
1989,-39.07340657,41.06649144
1990,-35.53869396,41.09032759
1991,-35.88763713,41.21996163
1992,-35.44869411,41.16432932
1993,-34.91653693,38.40329183
1994,-31.39489846,38.43851102
1995,-27.05580812,38.51044868
1996,-24.28443609,38.47399625
1997,-20.28040406,38.47791084
1998,-19.57651765,38.41324618
1999,-18.14127628,38.40842643
2000,-13.71670836,38.41343299
2001,-8.384515047,38.41572973
2002,-7.145892881,38.40430283
2003,-4.396817952,38.40634956
2004,-2.127535859,38.40509842
2005,2.494384445,38.40883976
2006,4.259474003,38.415349
2007,5.074167937,38.42247764
2008,8.767043041,38.4166719
2009,13.11272484,38.42230355
2010,14.91675016,38.42965831
2011,14.24452126,38.43187197
2012,24.6331653,38.42786932
2013,27.25856476,38.43322383
2014,30.34911656,38.41422334
2015,39.70442892,38.41230494
2016,42.91946548,38.42691082
2017,43.82781463,38.44949748
2018,47.06342966,38.4716271
2019,53.85781843,38.46599568
2020,56.34632885,38.48107432
2021,61.10815875,38.49565918
2022,63.8342415,38.49920775
2023,69.97698872,38.49897492
2024,73.5683673,38.48160094
2025,73.97141215,38.49379982
