time,central_estimate,std
1993,-32.26608106,4.813026379
1994,-29.69319131,4.277991287
1995,-26.55547311,3.787329988
1996,-23.82036656,3.405472951
1997,-20.46749385,3.127318269
1998,-19.14536901,3.009640065
1999,-18.07533287,2.65716289
2000,-14.91553932,2.551733886
2001,-9.97201099,2.469381056
2002,-6.767325207,2.304795016
2003,-3.894802801,2.260720756
2004,-1.594632126,2.231048019
2005,2.60468461,2.214626499
2006,4.616563402,2.199211555
2007,4.98064739,2.196262932
2008,8.897700957,2.146772953
2009,13.18675514,2.076651007
2010,14.83182458,2.115526647
2011,14.05466155,2.154187607
2012,24.54432774,2.209282806
2013,27.16441711,2.260059887
2014,30.32676336,2.349045822
2015,40.12167204,2.441775817
2016,43.56798947,2.507052974
2017,45.00748797,2.636350533
2018,48.90478054,2.698641756
2019,55.64674089,2.698641756
