time,CW2011,CW2011_std,HA2015,HA2015_std,DA2017,DA2017_std,DA2019,DA2019_std,FR2020,FR2020_std
1880,-198.8777778,24.2,,,,,,,,
1881,-193.2777778,24.2,,,,,,,,
1882,-210.0777778,23.0,,,,,,,,
1883,-204.7777778,22.8,,,,,,,,
1884,-183.8777778,22.2,,,,,,,,
1885,-185.3777778,21.9,,,,,,,,
1886,-187.7777778,20.8,,,,,,,,
1887,-193.3777778,20.8,,,,,,,,
1888,-191.2777778,20.8,,,,,,,,
1889,-189.6777778,20.8,,,,,,,,
1890,-187.6777778,20.7,,,,,,,,
1891,-189.3777778,20.7,,,,,,,,
1892,-186.1777778,20.7,,,,,,,,
1893,-181.4777778,20.3,,,,,,,,
1894,-191.1777778,21.6,,,,,,,,
1895,-179.3777778,21.6,,,,,,,,
1896,-186.9777778,21.2,,,,,,,,
1897,-181.7777778,20.8,,,,,,,,
1898,-172.3777778,19.7,,,,,,,,
1899,-164.8777778,19.4,,,,,,,,
1900,-170.2777778,18.3,-145.285,25.32,,,-148.9316667,21.55833333,-154.8437351,19.6101125
1901,-170.6777778,17.6,-144.635,25.17,,,-147.8483333,21.40833333,-150.3839683,20.00247181
1902,-166.0777778,17.3,-143.905,25.01,-129.13125,24.8,-145.565,21.31666667,-161.97226,19.55996532
1903,-158.0777778,17.0,-142.985,24.86,-105.13125,24.8,-145.215,21.14166667,-151.8501253,19.05003893
1904,-168.3777778,16.9,-142.235,24.7,-138.53125,25.1,-143.1816667,21.01666667,-150.3023639,19.00908723
1905,-173.8777778,15.4,-141.695,24.55,-130.83125,22.1,-141.0733333,20.875,-142.5637217,18.62004738
1906,-167.0777778,14.7,-140.605,24.4,-144.93125,22.0,-140.89,20.75,-157.1875593,18.91543502
1907,-168.4777778,14.9,-139.225,24.25,-134.43125,22.0,-138.6983333,20.65833333,-150.8515155,17.81635974
1908,-170.9777778,14.5,-138.125,24.1,-132.93125,21.9,-137.04,20.50833333,-165.6948018,19.15783409
1909,-166.4777778,14.6,-136.745,23.95,-137.53125,21.6,-137.4233333,20.38333333,-160.3082444,19.59093693
1910,-166.5777778,14.6,-134.495,23.8,-142.13125,21.5,-136.4983333,20.28333333,-158.7037663,19.2048234
1911,-158.2777778,14.2,-131.795,23.65,-129.33125,22.0,-133.5316667,20.15833333,-143.3008606,18.44712085
1912,-161.3777778,14.2,-129.005,23.51,-124.13125,21.5,-132.6733333,20.04166667,-135.6478338,18.23107309
1913,-159.5777778,14.1,-126.305,23.36,-128.13125,21.5,-131.6233333,19.925,-128.0301931,17.89032481
1914,-153.2777778,13.8,-123.955,23.21,-106.73125,21.5,-130.3816667,19.76666667,-126.039236,17.67907201
1915,-145.3777778,13.6,-122.275,23.07,-111.23125,21.5,-128.565,19.65,-122.5296255,18.00682754
1916,-147.2777778,13.0,-121.705,22.92,-150.73125,21.9,-129.3316667,19.53333333,-148.8402502,17.64532464
1917,-151.7777778,12.8,-121.545,22.77,-158.63125,21.9,-128.5816667,19.39166667,-138.9814399,17.75568199
1918,-153.3777778,12.7,-121.275,22.62,-127.03125,20.6,-125.8233333,19.26666667,-134.9468316,17.14950924
1919,-151.7777778,12.7,-120.535,22.48,-116.93125,20.5,-124.765,19.15833333,-128.5058303,16.95525705
1920,-150.4777778,13.0,-119.565,22.33,-119.03125,21.0,-124.9733333,19.03333333,-119.8786165,16.92671422
1921,-148.3777778,13.1,-119.665,22.18,-119.33125,20.6,-124.9816667,18.91666667,-120.2069296,16.19757159
1922,-149.2777778,13.2,-120.495,22.04,-113.43125,21.0,-122.8233333,18.78333333,-121.7521122,16.71836172
1923,-148.0777778,13.0,-121.245,21.89,-133.33125,21.5,-121.965,18.66666667,-136.5553536,17.43843553
1924,-155.3777778,13.1,-121.625,21.74,-118.73125,20.5,-121.665,18.54166667,-131.2978013,15.91154744
1925,-153.3777778,13.6,-121.865,21.59,-124.63125,20.5,-120.2983333,18.425,-135.947458,16.18434304
1926,-146.8777778,13.7,-121.635,21.44,-130.53125,20.9,-120.14,18.325,-136.6144965,15.49321498
1927,-147.9777778,12.9,-121.185,21.29,-132.53125,20.9,-119.4483333,18.16666667,-129.742347,14.97514457
1928,-151.8777778,12.3,-120.625,21.14,-131.53125,20.9,-117.565,18.04166667,-132.21978,15.41997055
1929,-150.4777778,12.1,-118.905,20.99,-135.33125,20.9,-115.1733333,17.925,-132.9116886,14.40464654
1930,-146.4777778,12.0,-116.865,20.83,-122.63125,20.9,-113.7733333,17.775,-128.0132561,14.77407706
1931,-146.8777778,12.2,-114.415,20.68,-124.83125,20.9,-113.99,17.65,-127.6923787,14.89627196
1932,-141.1777778,11.9,-111.945,20.53,-110.73125,20.9,-112.565,17.53333333,-113.3752465,14.58534776
1933,-136.8777778,11.8,-110.155,20.38,-117.73125,20.9,-111.2483333,17.40833333,-119.5124176,14.61219801
1934,-142.2777778,11.9,-108.695,20.22,-112.33125,20.9,-109.1316667,17.275,-132.7123939,14.42832047
1935,-136.6777778,11.9,-106.325,20.07,-107.93125,20.6,-105.765,17.15,-120.357918,13.71523696
1936,-140.5777778,11.8,-103.335,19.92,-109.53125,20.1,-104.1483333,17.03333333,-126.1773526,13.67386514
1937,-134.8777778,11.8,-99.815,19.76,-107.03125,20.3,-102.5066667,16.89166667,-116.9477798,13.27289478
1938,-132.2777778,11.8,-96.105,19.61,-96.03125,19.8,-100.4733333,16.76666667,-107.4503521,13.49635118
1939,-127.0777778,12.2,-93.785,19.45,-102.73125,20.1,-97.44833333,16.64166667,-103.2710988,13.21279391
1940,-132.3777778,11.1,-92.515,19.29,-86.23125,20.3,-95.45666667,16.50833333,-113.9407153,12.65749998
1941,-120.1777778,10.8,-91.005,19.14,-84.43125,20.2,-93.09833333,16.375,-98.59678687,12.69836078
1942,-120.1777778,10.8,-89.415,18.98,-93.03125,20.2,-91.465,16.275,-98.44391993,12.51291683
1943,-120.1777778,10.8,-87.665,18.82,-97.53125,20.6,-90.54,16.125,-91.92050889,12.14689303
1944,-126.5777778,10.7,-85.925,18.66,-111.83125,20.1,-88.22333333,15.96666667,-100.4543736,11.73111285
1945,-123.7777778,10.7,-83.165,18.51,-106.73125,20.0,-86.365,15.85,-100.7542857,12.07720417
1946,-116.2777778,10.6,-79.515,18.35,-83.13125,19.3,-82.72333333,15.71666667,-86.05280068,11.92368746
1947,-113.1777778,9.6,-77.285,18.19,-87.33125,18.7,-81.19833333,15.56666667,-94.12419993,11.21814215
1948,-108.3777778,9.3,-76.185,18.03,-80.33125,18.5,-80.17333333,15.44166667,-86.18976671,11.35974775
1949,-109.6777778,8.4,-75.235,17.87,-69.13125,18.5,-78.27333333,15.31666667,-73.90304371,11.06736304
1950,-107.4777778,7.9,-73.645,17.71,-67.43125,18.6,-77.29833333,15.15833333,-77.76902263,10.95023028
1951,-97.97777778,7.8,-71.515,17.55,-69.03125,18.2,-76.07333333,15.025,-67.19843178,11.59559916
1952,-100.5777778,7.7,-69.585,17.4,-70.33125,18.3,-73.50666667,14.90833333,-67.16038374,11.0949828
1953,-96.17777778,7.5,-68.285,17.24,-70.33125,18.3,-73.39,14.775,-61.35344248,11.00609067
1954,-99.07777778,7.3,-67.695,17.09,-65.03125,18.2,-72.52333333,14.63333333,-71.52038273,10.29602358
1955,-98.17777778,7.1,-67.445,16.93,-83.33125,18.3,-72.565,14.49166667,-68.20866212,10.2820775
1956,-103.2777778,7.0,-66.975,16.77,-84.13125,18.3,-70.99833333,14.35833333,-81.62252914,9.859455814
1957,-89.87777778,6.9,-66.565,16.61,-71.53125,17.1,-68.28166667,14.23333333,-65.52536803,10.39524777
1958,-88.47777778,6.6,-66.285,16.45,-66.83125,15.5,-68.45666667,14.09166667,-67.31007835,8.56292899
1959,-88.17777778,6.5,-66.005,16.28,-66.63125,14.8,-68.08166667,13.95,-64.31355919,8.568680565
1960,-84.47777778,6.6,-65.705,16.12,-73.03125,14.8,-68.165,13.825,-58.45061595,8.293851545
1961,-78.27777778,6.6,-65.545,15.96,-66.33125,14.7,-68.865,13.675,-58.79702997,8.233093974
1962,-83.47777778,6.6,-65.595,15.8,-64.83125,14.6,-68.73166667,13.55,-60.6941726,7.785643712
1963,-85.07777778,6.6,-65.835,15.63,-61.53125,17.4,-68.27333333,13.40833333,-60.27363446,8.080824219
1964,-92.97777778,6.7,-65.945,15.46,-79.53125,17.2,-68.68166667,13.25833333,-64.3343117,8.200207222
1965,-81.77777778,6.7,-66.015,15.3,-67.43125,17.7,-65.14833333,13.14166667,-58.23772033,7.890619898
1966,-87.17777778,6.6,-65.565,15.13,-76.33125,14.5,-64.97333333,12.96666667,-64.33216646,7.80592685
1967,-85.77777778,6.5,-64.495,14.95,-78.33125,14.5,-66.78166667,12.83333333,-64.54924013,7.674961083
1968,-84.97777778,6.7,-63.515,14.78,-74.23125,14.6,-64.73166667,12.675,-66.57797651,7.438283207
1969,-78.17777778,7.0,-63.085,14.61,-76.13125,14.6,-62.07333333,12.54166667,-66.26225962,7.490825887
1970,-80.07777778,7.0,-62.995,14.43,-69.23125,14.8,-63.39833333,12.38333333,-66.48666565,7.635289232
1971,-74.87777778,6.9,-62.735,14.25,-62.03125,14.5,-63.00666667,12.24166667,-54.34368959,7.721611764
1972,-65.77777778,6.9,-61.935,14.07,-69.23125,14.4,-61.04833333,12.09166667,-60.07030724,7.70139185
