time,central_estimate,structural_uncertainty,internal_uncertainty,total_uncertainty
1900,-158.0177265,9.546351468,25.32,27.05984528
1901,-156.3033598,10.18900788,25.17,27.15409327
1902,-157.8716792,13.35597356,25.01,28.3528152
1903,-151.714301,18.53128856,24.86,31.00690658
1904,-153.9539361,10.63279978,25.1,27.25924488
1905,-152.5049443,14.57308622,24.55,28.5495594
1906,-155.051779,10.39390395,24.4,26.52156178
1907,-152.6758755,12.3391373,24.25,27.20876346
1908,-157.9041932,16.00775055,24.1,28.93195599
1909,-154.7364518,12.96609504,23.95,27.23457583
1910,-153.9266258,12.71465251,23.8,26.98337244
1911,-145.0367684,10.63130966,23.65,25.92965956
1912,-143.2329816,12.98777828,23.51,26.85893677
1913,-139.7437681,12.54172968,23.36,26.51385644
1914,-136.5662268,14.94774296,23.21,27.60686726
1915,-132.1574678,11.19028602,23.07,25.64073714
1916,-141.8165649,11.780512,22.92,25.77027091
1917,-139.7802948,13.8404893,22.77,26.64642648
1918,-138.0493142,11.33449513,22.62,25.30089287
1919,-135.0162027,12.27259023,22.48,25.61185021
1920,-131.7765759,12.03808146,22.33,25.36817505
1921,-131.1887914,11.12342257,22.18,24.81295891
1922,-131.2844078,12.30677093,22.04,25.24318147
1923,-135.5327105,9.971096501,21.89,24.05399895
1924,-136.1135264,13.50536056,21.74,25.59340469
1925,-136.5411897,12.35739739,21.59,24.87636168
1926,-134.5440914,9.893042213,21.44,23.61240954
1927,-132.389486,10.18390356,21.29,23.6003388
1928,-133.8875192,12.04584992,21.14,24.33109328
1929,-132.8542666,12.63013597,20.99,24.49694746
1930,-129.4214557,11.54710089,20.9,23.87772056
1931,-129.5200521,11.97999734,20.9,24.09004642
1932,-122.3726748,11.64153117,20.9,23.92352917
1933,-122.5461762,9.589103391,20.9,22.99480167
1934,-128.0406128,13.83717601,20.9,25.06546309
1935,-120.9335652,11.90206037,20.6,23.79115468
1936,-123.6344879,14.47420099,20.1,24.76918437
1937,-118.1107414,12.73484637,20.3,23.96385428
1938,-113.4004877,13.55996454,19.8,23.9981799
1939,-109.2657366,11.64709599,20.1,23.23068757
1940,-113.9250532,16.88007088,20.3,26.40126499
1941,-103.9576327,12.22971122,20.2,23.61367901
1942,-103.3622326,11.24157154,20.2,23.11737292
1943,-100.8794289,11.75210402,20.6,23.71649108
1944,-105.0851616,15.16243818,20.1,25.17756008
1945,-103.6323545,14.70010864,20.0,24.82122467
1946,-95.0179706,13.52855473,19.3,23.56929768
1947,-96.16677035,12.63755202,18.7,22.56984096
1948,-91.58029261,11.51437251,18.5,21.79061207
1949,-87.28471827,14.51909785,18.5,23.51710446
1950,-87.51504458,13.87833673,18.6,23.20707285
1951,-80.4165143,11.21186358,18.2,21.37629259
1952,-80.41494273,12.34050257,18.3,22.07210918
1953,-76.97374008,11.81727134,18.3,21.78389088
1954,-81.04049795,12.25215299,18.2,21.93980977
1955,-79.65047996,11.59627233,18.3,21.66479937
1956,-85.29954675,12.66824136,18.3,22.25700652
1957,-74.56160416,8.994290579,17.1,19.32116102
