time,AVISO,NASA,COLORADO,GMSL_mean,GMSL_standard_deviation
1993,-34.94343115,-34.81165465,-35.61351092,-34.91653693,0.351084894
1994,-33.94076319,-30.05826015,-30.80465798,-31.39489846,1.682131432
1995,-31.3338876,-24.88969774,-25.56282496,-27.05580812,2.892247247
1996,-27.73666125,-23.52838672,-22.20724621,-24.28443609,2.357715874
1997,-23.44286783,-20.50400384,-17.51332643,-20.28040406,2.420755948
1998,-20.01724762,-20.80172242,-18.52956885,-19.57651765,0.942294518
1999,-17.98286519,-17.70735042,-19.35259916,-18.14127628,0.719484611
2000,-14.36802951,-12.60286469,-14.7982168,-13.71670836,0.949879457
2001,-9.762383835,-7.237798074,-8.772349156,-8.384515047,1.03861815
2002,-7.137060606,-6.94342147,-7.976182489,-7.145892881,0.448233195
2003,-3.871887618,-4.59981787,-5.337734291,-4.396817952,0.598434027
2004,-1.653593835,-2.888373482,-2.459626183,-2.127535859,0.511880321
2005,3.011799409,1.269480672,2.58288733,2.494384445,0.741221005
2006,5.389519116,2.900405013,3.869511955,4.259474003,1.02443909
2007,6.647759949,4.118411149,3.83734679,5.074167937,1.263813658
2008,9.912082806,8.482548436,7.287511955,8.767043041,1.0729012
2009,14.40734617,12.98425239,11.32759003,13.11272484,1.258509873
2010,16.17452671,15.24955324,12.70718463,14.91675016,1.465972379
2011,15.55868103,14.59890139,11.95699544,14.24452126,1.522898665
2012,25.91427373,24.84845701,22.51777922,24.6331653,1.418300987
2013,28.65231833,27.56158377,24.94280625,27.25856476,1.556640879
2014,31.37829578,30.07241713,28.97765084,30.34911656,0.981321581
2015,40.75922319,39.04243355,38.69264409,39.70442892,0.90310997
2016,44.6690786,41.92903918,41.54129274,42.91946548,1.392089066
2017,46.33218157,42.289308,42.24296841,43.82781463,1.916844581
2018,50.11904427,44.93529038,45.51696841,47.06342966,2.318734233
2019,56.75717238,51.67327452,52.52402247,53.85781843,2.22334452
2020,59.63379828,54.41065865,54.3755437,56.34632885,2.470529901
2021,64.69520914,58.78828574,59.22199544,61.10815875,2.688161627
2022,67.49799698,61.56642408,61.81931751,63.8342415,2.738509583
2023,73.53953481,67.13193646,68.64050895,69.97698872,2.73523434
2024,76.79760779,71.04116139,72.24734679,73.5683673,2.478719058
2025,77.506724,71.5411527,72.24737382,73.97141215,2.66140217
