percentile,definition,component,time,GMST
p05,Annual,anthropogenic,2021,
p05,Annual,anthropogenic,2022,
p05,Annual,anthropogenic,2025,1.1
p05,Annual,anthropogenic,2026,1.1
p05,SR1.5,anthropogenic,2021,
p05,SR1.5,anthropogenic,2022,
p05,SR1.5,anthropogenic,2025,1.1
p05,SR1.5,anthropogenic,2026,1.1
p05,AR6,anthropogenic,2021,1.0
p05,AR6,anthropogenic,2022,1.0
p05,AR6,anthropogenic,2025,
p05,AR6,anthropogenic,2026,
p50,Annual,anthropogenic,2021,
p50,Annual,anthropogenic,2022,
p50,Annual,anthropogenic,2025,1.38
p50,Annual,anthropogenic,2026,1.41
p50,SR1.5,anthropogenic,2021,
p50,SR1.5,anthropogenic,2022,
p50,SR1.5,anthropogenic,2025,1.37
p50,SR1.5,anthropogenic,2026,1.4
p50,AR6,anthropogenic,2021,1.24
p50,AR6,anthropogenic,2022,1.27
p50,AR6,anthropogenic,2025,
p50,AR6,anthropogenic,2026,
p95,Annual,anthropogenic,2021,
p95,Annual,anthropogenic,2022,
p95,Annual,anthropogenic,2025,1.7
p95,Annual,anthropogenic,2026,1.8
p95,SR1.5,anthropogenic,2021,
p95,SR1.5,anthropogenic,2022,
p95,SR1.5,anthropogenic,2025,1.7
p95,SR1.5,anthropogenic,2026,1.7
p95,AR6,anthropogenic,2021,1.5
p95,AR6,anthropogenic,2022,1.5
p95,AR6,anthropogenic,2025,
p95,AR6,anthropogenic,2026,
