percentile,definition,component,time,GMST
p05,Annual,anthropogenic,2015,
p05,Annual,anthropogenic,2017,0.9
p05,Annual,anthropogenic,2021,
p05,Annual,anthropogenic,2025,1.1
p05,Annual,ghg,2015,
p05,Annual,ghg,2017,1.0
p05,Annual,ghg,2021,
p05,Annual,ghg,2025,1.1
p05,Annual,natural,2015,
p05,Annual,natural,2017,-0.1
p05,Annual,natural,2021,
p05,Annual,natural,2025,-0.1
p05,Annual,other_human_forcing,2015,
p05,Annual,other_human_forcing,2017,-0.8
p05,Annual,other_human_forcing,2021,
p05,Annual,other_human_forcing,2025,-0.8
p05,SR1.5,anthropogenic,2015,
p05,SR1.5,anthropogenic,2017,0.9
p05,SR1.5,anthropogenic,2021,
p05,SR1.5,anthropogenic,2025,1.1
p05,SR1.5,ghg,2015,
p05,SR1.5,ghg,2017,1.0
p05,SR1.5,ghg,2021,
p05,SR1.5,ghg,2025,1.1
p05,SR1.5,natural,2015,
p05,SR1.5,natural,2017,-0.1
p05,SR1.5,natural,2021,
p05,SR1.5,natural,2025,-0.1
p05,SR1.5,other_human_forcing,2015,
p05,SR1.5,other_human_forcing,2017,-0.8
p05,SR1.5,other_human_forcing,2021,
p05,SR1.5,other_human_forcing,2025,-0.8
p05,AR6,anthropogenic,2015,0.9
p05,AR6,anthropogenic,2017,
p05,AR6,anthropogenic,2021,1.0
p05,AR6,anthropogenic,2025,
p05,AR6,ghg,2015,1.0
p05,AR6,ghg,2017,
p05,AR6,ghg,2021,1.1
p05,AR6,ghg,2025,
p05,AR6,natural,2015,-0.1
p05,AR6,natural,2017,
p05,AR6,natural,2021,-0.1
p05,AR6,natural,2025,
p05,AR6,other_human_forcing,2015,-0.8
p05,AR6,other_human_forcing,2017,
p05,AR6,other_human_forcing,2021,-0.8
p05,AR6,other_human_forcing,2025,
p50,Annual,anthropogenic,2015,
p50,Annual,anthropogenic,2017,1.14
p50,Annual,anthropogenic,2021,
p50,Annual,anthropogenic,2025,1.38
p50,Annual,ghg,2015,
p50,Annual,ghg,2017,1.44
p50,Annual,ghg,2021,
p50,Annual,ghg,2025,1.63
p50,Annual,natural,2015,
p50,Annual,natural,2017,0.05
p50,Annual,natural,2021,
p50,Annual,natural,2025,0.04
p50,Annual,other_human_forcing,2015,
p50,Annual,other_human_forcing,2017,-0.29
p50,Annual,other_human_forcing,2021,
p50,Annual,other_human_forcing,2025,-0.26
p50,SR1.5,anthropogenic,2015,
p50,SR1.5,anthropogenic,2017,1.12
p50,SR1.5,anthropogenic,2021,
p50,SR1.5,anthropogenic,2025,1.37
p50,SR1.5,ghg,2015,
p50,SR1.5,ghg,2017,1.44
p50,SR1.5,ghg,2021,
p50,SR1.5,ghg,2025,1.63
p50,SR1.5,natural,2015,
p50,SR1.5,natural,2017,0.05
p50,SR1.5,natural,2021,
p50,SR1.5,natural,2025,0.04
p50,SR1.5,other_human_forcing,2015,
p50,SR1.5,other_human_forcing,2017,-0.31
p50,SR1.5,other_human_forcing,2021,
p50,SR1.5,other_human_forcing,2025,-0.26
p50,AR6,anthropogenic,2015,1.07
p50,AR6,anthropogenic,2017,
p50,AR6,anthropogenic,2021,1.24
p50,AR6,anthropogenic,2025,
p50,AR6,ghg,2015,1.39
p50,AR6,ghg,2017,
p50,AR6,ghg,2021,1.52
p50,AR6,ghg,2025,
p50,AR6,natural,2015,0.05
p50,AR6,natural,2017,
p50,AR6,natural,2021,0.04
p50,AR6,natural,2025,
p50,AR6,other_human_forcing,2015,-0.31
p50,AR6,other_human_forcing,2017,
p50,AR6,other_human_forcing,2021,-0.28
p50,AR6,other_human_forcing,2025,
p95,Annual,anthropogenic,2015,
p95,Annual,anthropogenic,2017,1.4
p95,Annual,anthropogenic,2021,
p95,Annual,anthropogenic,2025,1.7
p95,Annual,ghg,2015,
p95,Annual,ghg,2017,1.9
p95,Annual,ghg,2021,
p95,Annual,ghg,2025,2.1
p95,Annual,natural,2015,
p95,Annual,natural,2017,0.2
p95,Annual,natural,2021,
p95,Annual,natural,2025,0.2
p95,Annual,other_human_forcing,2015,
p95,Annual,other_human_forcing,2017,0.1
p95,Annual,other_human_forcing,2021,
p95,Annual,other_human_forcing,2025,0.2
p95,SR1.5,anthropogenic,2015,
p95,SR1.5,anthropogenic,2017,1.3
p95,SR1.5,anthropogenic,2021,
p95,SR1.5,anthropogenic,2025,1.7
p95,SR1.5,ghg,2015,
p95,SR1.5,ghg,2017,1.9
p95,SR1.5,ghg,2021,
p95,SR1.5,ghg,2025,2.1
p95,SR1.5,natural,2015,
p95,SR1.5,natural,2017,0.2
p95,SR1.5,natural,2021,
p95,SR1.5,natural,2025,0.2
p95,SR1.5,other_human_forcing,2015,
p95,SR1.5,other_human_forcing,2017,0.1
p95,SR1.5,other_human_forcing,2021,
p95,SR1.5,other_human_forcing,2025,0.2
p95,AR6,anthropogenic,2015,1.3
p95,AR6,anthropogenic,2017,
p95,AR6,anthropogenic,2021,1.5
p95,AR6,anthropogenic,2025,
p95,AR6,ghg,2015,1.8
p95,AR6,ghg,2017,
p95,AR6,ghg,2021,2.0
p95,AR6,ghg,2025,
p95,AR6,natural,2015,0.2
p95,AR6,natural,2017,
p95,AR6,natural,2021,0.2
p95,AR6,natural,2025,
p95,AR6,other_human_forcing,2015,0.1
p95,AR6,other_human_forcing,2017,
p95,AR6,other_human_forcing,2021,0.1
p95,AR6,other_human_forcing,2025,
