compound_emitted,percentile,time,forcing_agent,temperature_total,temperature_by_mechanism
CO2,p05,2025,CO2,0.835,1.134
CO2,p05,2025,CH4,0.835,-0.01
CO2,p05,2025,N2O,0.835,-0.001
CO2,p05,2025,CFC+HCFC+other,0.835,0.0
CO2,p05,2025,HFC,0.835,0.0
CO2,p05,2025,Ozone,0.835,-0.025
CO2,p05,2025,Strat H2O,0.835,-0.001
CO2,p05,2025,ARI,0.835,0.0
CO2,p05,2025,ACI,0.835,0.0
CO2,p05,2025,LAPSI,0.835,0.0
CO2,p05,2025,Land use,0.835,0.0
CO2,p50,2025,CO2,1.097,1.134
CO2,p50,2025,CH4,1.097,-0.01
CO2,p50,2025,N2O,1.097,-0.001
CO2,p50,2025,CFC+HCFC+other,1.097,0.0
CO2,p50,2025,HFC,1.097,0.0
CO2,p50,2025,Ozone,1.097,-0.025
CO2,p50,2025,Strat H2O,1.097,-0.001
CO2,p50,2025,ARI,1.097,0.0
CO2,p50,2025,ACI,1.097,0.0
CO2,p50,2025,LAPSI,1.097,0.0
CO2,p50,2025,Land use,1.097,0.0
CO2,p95,2025,CO2,1.478,1.134
CO2,p95,2025,CH4,1.478,-0.01
CO2,p95,2025,N2O,1.478,-0.001
CO2,p95,2025,CFC+HCFC+other,1.478,0.0
CO2,p95,2025,HFC,1.478,0.0
CO2,p95,2025,Ozone,1.478,-0.025
CO2,p95,2025,Strat H2O,1.478,-0.001
CO2,p95,2025,ARI,1.478,0.0
CO2,p95,2025,ACI,1.478,0.0
CO2,p95,2025,LAPSI,1.478,0.0
CO2,p95,2025,Land use,1.478,0.0
CH4,p05,2025,CO2,0.39,0.042
CH4,p05,2025,CH4,0.39,0.328
CH4,p05,2025,N2O,0.39,-0.005
CH4,p05,2025,CFC+HCFC+other,0.39,0.0
CH4,p05,2025,HFC,0.39,0.0
CH4,p05,2025,Ozone,0.39,0.16
CH4,p05,2025,Strat H2O,0.39,0.035
CH4,p05,2025,ARI,0.39,-0.002
CH4,p05,2025,ACI,0.39,0.0
CH4,p05,2025,LAPSI,0.39,0.0
CH4,p05,2025,Land use,0.39,0.0
CH4,p50,2025,CO2,0.559,0.042
CH4,p50,2025,CH4,0.559,0.328
CH4,p50,2025,N2O,0.559,-0.005
CH4,p50,2025,CFC+HCFC+other,0.559,0.0
CH4,p50,2025,HFC,0.559,0.0
CH4,p50,2025,Ozone,0.559,0.16
CH4,p50,2025,Strat H2O,0.559,0.035
CH4,p50,2025,ARI,0.559,-0.002
CH4,p50,2025,ACI,0.559,0.0
CH4,p50,2025,LAPSI,0.559,0.0
CH4,p50,2025,Land use,0.559,0.0
CH4,p95,2025,CO2,0.831,0.042
CH4,p95,2025,CH4,0.831,0.328
CH4,p95,2025,N2O,0.831,-0.005
CH4,p95,2025,CFC+HCFC+other,0.831,0.0
CH4,p95,2025,HFC,0.831,0.0
CH4,p95,2025,Ozone,0.831,0.16
CH4,p95,2025,Strat H2O,0.831,0.035
CH4,p95,2025,ARI,0.831,-0.002
CH4,p95,2025,ACI,0.831,0.0
CH4,p95,2025,LAPSI,0.831,0.0
CH4,p95,2025,Land use,0.831,0.0
N2O,p05,2025,CO2,0.086,0.003
N2O,p05,2025,CH4,0.086,-0.016
N2O,p05,2025,N2O,0.086,0.11
N2O,p05,2025,CFC+HCFC+other,0.086,0.0
N2O,p05,2025,HFC,0.086,0.0
N2O,p05,2025,Ozone,0.086,0.027
N2O,p05,2025,Strat H2O,0.086,-0.002
N2O,p05,2025,ARI,0.086,-0.001
N2O,p05,2025,ACI,0.086,0.0
N2O,p05,2025,LAPSI,0.086,0.0
N2O,p05,2025,Land use,0.086,0.0
N2O,p50,2025,CO2,0.121,0.003
N2O,p50,2025,CH4,0.121,-0.016
N2O,p50,2025,N2O,0.121,0.11
N2O,p50,2025,CFC+HCFC+other,0.121,0.0
N2O,p50,2025,HFC,0.121,0.0
N2O,p50,2025,Ozone,0.121,0.027
N2O,p50,2025,Strat H2O,0.121,-0.002
N2O,p50,2025,ARI,0.121,-0.001
N2O,p50,2025,ACI,0.121,0.0
N2O,p50,2025,LAPSI,0.121,0.0
N2O,p50,2025,Land use,0.121,0.0
N2O,p95,2025,CO2,0.179,0.003
N2O,p95,2025,CH4,0.179,-0.016
N2O,p95,2025,N2O,0.179,0.11
N2O,p95,2025,CFC+HCFC+other,0.179,0.0
N2O,p95,2025,HFC,0.179,0.0
N2O,p95,2025,Ozone,0.179,0.027
N2O,p95,2025,Strat H2O,0.179,-0.002
N2O,p95,2025,ARI,0.179,-0.001
N2O,p95,2025,ACI,0.179,0.0
N2O,p95,2025,LAPSI,0.179,0.0
N2O,p95,2025,Land use,0.179,0.0
CFC+HCFC+HFC,p05,2025,CO2,0.099,0.007
CFC+HCFC+HFC,p05,2025,CH4,0.099,0.005
CFC+HCFC+HFC,p05,2025,N2O,0.099,0.0
CFC+HCFC+HFC,p05,2025,CFC+HCFC+other,0.099,0.173
CFC+HCFC+HFC,p05,2025,HFC,0.099,0.025
CFC+HCFC+HFC,p05,2025,Ozone,0.099,-0.023
CFC+HCFC+HFC,p05,2025,Strat H2O,0.099,0.001
CFC+HCFC+HFC,p05,2025,ARI,0.099,0.0
CFC+HCFC+HFC,p05,2025,ACI,0.099,0.0
CFC+HCFC+HFC,p05,2025,LAPSI,0.099,0.0
CFC+HCFC+HFC,p05,2025,Land use,0.099,0.0
CFC+HCFC+HFC,p50,2025,CO2,0.188,0.007
CFC+HCFC+HFC,p50,2025,CH4,0.188,0.005
CFC+HCFC+HFC,p50,2025,N2O,0.188,0.0
CFC+HCFC+HFC,p50,2025,CFC+HCFC+other,0.188,0.173
CFC+HCFC+HFC,p50,2025,HFC,0.188,0.025
CFC+HCFC+HFC,p50,2025,Ozone,0.188,-0.023
CFC+HCFC+HFC,p50,2025,Strat H2O,0.188,0.001
CFC+HCFC+HFC,p50,2025,ARI,0.188,0.0
CFC+HCFC+HFC,p50,2025,ACI,0.188,0.0
CFC+HCFC+HFC,p50,2025,LAPSI,0.188,0.0
CFC+HCFC+HFC,p50,2025,Land use,0.188,0.0
CFC+HCFC+HFC,p95,2025,CO2,0.298,0.007
CFC+HCFC+HFC,p95,2025,CH4,0.298,0.005
CFC+HCFC+HFC,p95,2025,N2O,0.298,0.0
CFC+HCFC+HFC,p95,2025,CFC+HCFC+other,0.298,0.173
CFC+HCFC+HFC,p95,2025,HFC,0.298,0.025
CFC+HCFC+HFC,p95,2025,Ozone,0.298,-0.023
CFC+HCFC+HFC,p95,2025,Strat H2O,0.298,0.001
CFC+HCFC+HFC,p95,2025,ARI,0.298,0.0
CFC+HCFC+HFC,p95,2025,ACI,0.298,0.0
CFC+HCFC+HFC,p95,2025,LAPSI,0.298,0.0
CFC+HCFC+HFC,p95,2025,Land use,0.298,0.0
NOx,p05,2025,CO2,-0.3,-0.004
NOx,p05,2025,CH4,-0.3,-0.124
NOx,p05,2025,N2O,-0.3,0.002
NOx,p05,2025,CFC+HCFC+other,-0.3,0.0
NOx,p05,2025,HFC,-0.3,0.0
NOx,p05,2025,Ozone,-0.3,-0.041
NOx,p05,2025,Strat H2O,-0.3,-0.016
NOx,p05,2025,ARI,-0.3,-0.003
NOx,p05,2025,ACI,-0.3,0.0
NOx,p05,2025,LAPSI,-0.3,0.0
NOx,p05,2025,Land use,-0.3,0.0
NOx,p50,2025,CO2,-0.185,-0.004
NOx,p50,2025,CH4,-0.185,-0.124
NOx,p50,2025,N2O,-0.185,0.002
NOx,p50,2025,CFC+HCFC+other,-0.185,0.0
NOx,p50,2025,HFC,-0.185,0.0
NOx,p50,2025,Ozone,-0.185,-0.041
NOx,p50,2025,Strat H2O,-0.185,-0.016
NOx,p50,2025,ARI,-0.185,-0.003
NOx,p50,2025,ACI,-0.185,0.0
NOx,p50,2025,LAPSI,-0.185,0.0
NOx,p50,2025,Land use,-0.185,0.0
NOx,p95,2025,CO2,-0.098,-0.004
NOx,p95,2025,CH4,-0.098,-0.124
NOx,p95,2025,N2O,-0.098,0.002
NOx,p95,2025,CFC+HCFC+other,-0.098,0.0
NOx,p95,2025,HFC,-0.098,0.0
NOx,p95,2025,Ozone,-0.098,-0.041
NOx,p95,2025,Strat H2O,-0.098,-0.016
NOx,p95,2025,ARI,-0.098,-0.003
NOx,p95,2025,ACI,-0.098,0.0
NOx,p95,2025,LAPSI,-0.098,0.0
NOx,p95,2025,Land use,-0.098,0.0
NMVOC+CO,p05,2025,CO2,0.07,0.044
NMVOC+CO,p05,2025,CH4,0.07,0.032
NMVOC+CO,p05,2025,N2O,0.07,-0.001
NMVOC+CO,p05,2025,CFC+HCFC+other,0.07,0.0
NMVOC+CO,p05,2025,HFC,0.07,0.0
NMVOC+CO,p05,2025,Ozone,0.07,0.045
NMVOC+CO,p05,2025,Strat H2O,0.07,0.004
NMVOC+CO,p05,2025,ARI,0.07,-0.002
NMVOC+CO,p05,2025,ACI,0.07,0.0
NMVOC+CO,p05,2025,LAPSI,0.07,0.0
NMVOC+CO,p05,2025,Land use,0.07,0.0
NMVOC+CO,p50,2025,CO2,0.122,0.044
NMVOC+CO,p50,2025,CH4,0.122,0.032
NMVOC+CO,p50,2025,N2O,0.122,-0.001
NMVOC+CO,p50,2025,CFC+HCFC+other,0.122,0.0
