percentile,component,time,GMST
p05,aerosol_cloud_interactions,1946,-0.001818548
p05,aerosol_cloud_interactions,1947,-0.00177417
p05,aerosol_cloud_interactions,1948,-0.001960988
p05,aerosol_cloud_interactions,1949,-0.002625602
p05,aerosol_cloud_interactions,1950,-0.003700808
p05,aerosol_cloud_interactions,1951,-0.004769031
p05,aerosol_cloud_interactions,1952,-0.005649301
p05,aerosol_cloud_interactions,1953,-0.006598516
p05,aerosol_cloud_interactions,1954,-0.007399036
p05,aerosol_cloud_interactions,1955,-0.007812545
p05,aerosol_cloud_interactions,1956,-0.008259872
p05,aerosol_cloud_interactions,1957,-0.008776008
p05,aerosol_cloud_interactions,1958,-0.009012616
p05,aerosol_cloud_interactions,1959,-0.009228518
p05,aerosol_cloud_interactions,1960,-0.009313126
p05,aerosol_cloud_interactions,1961,-0.009087044
p05,aerosol_cloud_interactions,1962,-0.008906515
p05,aerosol_cloud_interactions,1963,-0.008952356
p05,aerosol_cloud_interactions,1964,-0.00903341
p05,aerosol_cloud_interactions,1965,-0.008911253
p05,aerosol_cloud_interactions,1966,-0.008854922
p05,aerosol_cloud_interactions,1967,-0.00896868
p05,aerosol_cloud_interactions,1968,-0.009182006
p05,aerosol_cloud_interactions,1969,-0.009645427
p05,aerosol_cloud_interactions,1970,-0.010168024
p05,aerosol_cloud_interactions,1971,-0.010361103
p05,aerosol_cloud_interactions,1972,-0.010397163
p05,aerosol_cloud_interactions,1973,-0.01049693
p05,aerosol_cloud_interactions,1974,-0.010685313
p05,aerosol_cloud_interactions,1975,-0.010818218
p05,aerosol_cloud_interactions,1976,-0.01071412
p05,aerosol_cloud_interactions,1977,-0.010226036
p05,aerosol_cloud_interactions,1978,-0.010072132
p05,aerosol_cloud_interactions,1979,-0.010078774
p05,aerosol_cloud_interactions,1980,-0.00927721
p05,aerosol_cloud_interactions,1981,-0.008137865
p05,aerosol_cloud_interactions,1982,-0.007029574
p05,aerosol_cloud_interactions,1983,-0.00642723
p05,aerosol_cloud_interactions,1984,-0.006443738
p05,aerosol_cloud_interactions,1985,-0.006840436
p05,aerosol_cloud_interactions,1986,-0.007355763
p05,aerosol_cloud_interactions,1987,-0.008629889
p05,aerosol_cloud_interactions,1988,-0.010349411
p05,aerosol_cloud_interactions,1989,-0.010847528
p05,aerosol_cloud_interactions,1990,-0.011064569
p05,aerosol_cloud_interactions,1991,-0.011331402
p05,aerosol_cloud_interactions,1992,-0.010525384
p05,aerosol_cloud_interactions,1993,-0.010623391
p05,aerosol_cloud_interactions,1994,-0.012651924
p05,aerosol_cloud_interactions,1995,-0.013356229
p05,aerosol_cloud_interactions,1996,-0.010921878
p05,aerosol_cloud_interactions,1997,-0.008116693
p05,aerosol_cloud_interactions,1998,-0.006131703
p05,aerosol_cloud_interactions,1999,-0.004267693
p05,aerosol_cloud_interactions,2000,-0.003147704
p05,aerosol_cloud_interactions,2001,-0.002489662
p05,aerosol_cloud_interactions,2002,-0.001983074
p05,aerosol_cloud_interactions,2003,-0.002467282
p05,aerosol_cloud_interactions,2004,-0.004004122
p05,aerosol_cloud_interactions,2005,-0.005438474
p05,aerosol_cloud_interactions,2006,-0.005388316
p05,aerosol_cloud_interactions,2007,-0.004479204
p05,aerosol_cloud_interactions,2008,-0.003680557
p05,aerosol_cloud_interactions,2009,-0.002863211
p05,aerosol_cloud_interactions,2010,-0.002025283
p05,aerosol_cloud_interactions,2011,-0.001461672
p05,aerosol_cloud_interactions,2012,-0.001416563
p05,aerosol_cloud_interactions,2013,-0.001498674
p05,aerosol_cloud_interactions,2014,-0.00125779
p05,aerosol_cloud_interactions,2015,-0.001188357
p05,aerosol_cloud_interactions,2016,-0.001624283
p05,aerosol_cloud_interactions,2017,-0.002274884
p05,aerosol_cloud_interactions,2018,-0.002282385
p05,aerosol_cloud_interactions,2019,-0.003105438
p05,aerosol_cloud_interactions,2020,-0.006098364
p05,aerosol_cloud_interactions,2021,-0.008613881
p05,aerosol_radiation_interactions,1946,-0.001047419
p05,aerosol_radiation_interactions,1947,-0.001092105
p05,aerosol_radiation_interactions,1948,-0.001404558
p05,aerosol_radiation_interactions,1949,-0.001972767
p05,aerosol_radiation_interactions,1950,-0.002684972
p05,aerosol_radiation_interactions,1951,-0.003354275
p05,aerosol_radiation_interactions,1952,-0.003886147
p05,aerosol_radiation_interactions,1953,-0.004359206
p05,aerosol_radiation_interactions,1954,-0.004765757
p05,aerosol_radiation_interactions,1955,-0.005030585
p05,aerosol_radiation_interactions,1956,-0.005248631
p05,aerosol_radiation_interactions,1957,-0.005505724
p05,aerosol_radiation_interactions,1958,-0.005739044
p05,aerosol_radiation_interactions,1959,-0.005966094
p05,aerosol_radiation_interactions,1960,-0.00618396
p05,aerosol_radiation_interactions,1961,-0.006388538
p05,aerosol_radiation_interactions,1962,-0.006663842
p05,aerosol_radiation_interactions,1963,-0.006975528
p05,aerosol_radiation_interactions,1964,-0.007213002
p05,aerosol_radiation_interactions,1965,-0.007339446
p05,aerosol_radiation_interactions,1966,-0.007497148
p05,aerosol_radiation_interactions,1967,-0.007688708
p05,aerosol_radiation_interactions,1968,-0.007802842
p05,aerosol_radiation_interactions,1969,-0.007927103
