percentile,component,time,GMST
p05,aerosol_cloud_interactions,1850,0.01081469
p05,aerosol_cloud_interactions,1851,0.010693678
p05,aerosol_cloud_interactions,1852,0.010678602
p05,aerosol_cloud_interactions,1853,0.010595391
p05,aerosol_cloud_interactions,1854,0.010275514
p05,aerosol_cloud_interactions,1855,0.009920882
p05,aerosol_cloud_interactions,1856,0.009712857
p05,aerosol_cloud_interactions,1857,0.009431433
p05,aerosol_cloud_interactions,1858,0.009073966
p05,aerosol_cloud_interactions,1859,0.008727078
p05,aerosol_cloud_interactions,1860,0.008369371
p05,aerosol_cloud_interactions,1861,0.008012288
p05,aerosol_cloud_interactions,1862,0.007736244
p05,aerosol_cloud_interactions,1863,0.007554562
p05,aerosol_cloud_interactions,1864,0.007320112
p05,aerosol_cloud_interactions,1865,0.006871567
p05,aerosol_cloud_interactions,1866,0.006408872
p05,aerosol_cloud_interactions,1867,0.005940978
p05,aerosol_cloud_interactions,1868,0.005153982
p05,aerosol_cloud_interactions,1869,0.004294292
p05,aerosol_cloud_interactions,1870,0.00341386
p05,aerosol_cloud_interactions,1871,0.002594658
p05,aerosol_cloud_interactions,1872,0.003026714
p05,aerosol_cloud_interactions,1873,0.002375717
p05,aerosol_cloud_interactions,1874,-0.00035766
p05,aerosol_cloud_interactions,1875,-0.002702302
p05,aerosol_cloud_interactions,1876,-0.004067091
p05,aerosol_cloud_interactions,1877,-0.007240405
p05,aerosol_cloud_interactions,1878,-0.011130513
p05,aerosol_cloud_interactions,1879,-0.015700844
p05,aerosol_cloud_interactions,1880,-0.019721719
p05,aerosol_cloud_interactions,1881,-0.022992839
p05,aerosol_cloud_interactions,1882,-0.025653248
p05,aerosol_cloud_interactions,1883,-0.026177983
p05,aerosol_cloud_interactions,1884,-0.027726172
p05,aerosol_cloud_interactions,1885,-0.031099592
p05,aerosol_cloud_interactions,1886,-0.033845688
p05,aerosol_cloud_interactions,1887,-0.037055724
p05,aerosol_cloud_interactions,1888,-0.042831841
p05,aerosol_cloud_interactions,1889,-0.048035569
p05,aerosol_cloud_interactions,1890,-0.052265572
p05,aerosol_cloud_interactions,1891,-0.055508614
p05,aerosol_cloud_interactions,1892,-0.056323057
p05,aerosol_cloud_interactions,1893,-0.057734287
p05,aerosol_cloud_interactions,1894,-0.061816404
p05,aerosol_cloud_interactions,1895,-0.066774864
p05,aerosol_cloud_interactions,1896,-0.068894397
p05,aerosol_cloud_interactions,1897,-0.071766916
p05,aerosol_cloud_interactions,1898,-0.076548281
p05,aerosol_cloud_interactions,1899,-0.081928309
p05,aerosol_cloud_interactions,1900,-0.087351259
p05,aerosol_cloud_interactions,1901,-0.091309229
p05,aerosol_cloud_interactions,1902,-0.094408133
p05,aerosol_cloud_interactions,1903,-0.097234593
p05,aerosol_cloud_interactions,1904,-0.101651584
p05,aerosol_cloud_interactions,1905,-0.10777812
p05,aerosol_cloud_interactions,1906,-0.113899732
p05,aerosol_cloud_interactions,1907,-0.121886142
p05,aerosol_cloud_interactions,1908,-0.129994634
p05,aerosol_cloud_interactions,1909,-0.135556315
p05,aerosol_cloud_interactions,1910,-0.142139026
p05,aerosol_cloud_interactions,1911,-0.14784362
p05,aerosol_cloud_interactions,1912,-0.151142417
p05,aerosol_cloud_interactions,1913,-0.156039276
p05,aerosol_cloud_interactions,1914,-0.1609328
p05,aerosol_cloud_interactions,1915,-0.163061587
p05,aerosol_cloud_interactions,1916,-0.165350764
p05,aerosol_cloud_interactions,1917,-0.170506561
p05,aerosol_cloud_interactions,1918,-0.176190018
p05,aerosol_cloud_interactions,1919,-0.176874226
p05,aerosol_cloud_interactions,1920,-0.17737927
p05,aerosol_cloud_interactions,1921,-0.177225803
p05,aerosol_cloud_interactions,1922,-0.174044204
p05,aerosol_cloud_interactions,1923,-0.178708567
p05,aerosol_cloud_interactions,1924,-0.18541434
p05,aerosol_cloud_interactions,1925,-0.18808753
p05,aerosol_cloud_interactions,1926,-0.190361189
p05,aerosol_cloud_interactions,1927,-0.19348659
p05,aerosol_cloud_interactions,1928,-0.196858881
p05,aerosol_cloud_interactions,1929,-0.200305181
p05,aerosol_cloud_interactions,1930,-0.203834103
p05,aerosol_cloud_interactions,1931,-0.20075727
p05,aerosol_cloud_interactions,1932,-0.194133225
p05,aerosol_cloud_interactions,1933,-0.190429287
p05,aerosol_cloud_interactions,1934,-0.191875773
p05,aerosol_cloud_interactions,1935,-0.196571333
p05,aerosol_cloud_interactions,1936,-0.203035445
p05,aerosol_cloud_interactions,1937,-0.210383326
p05,aerosol_cloud_interactions,1938,-0.212248558
p05,aerosol_cloud_interactions,1939,-0.214135488
p05,aerosol_cloud_interactions,1940,-0.219459047
p05,aerosol_cloud_interactions,1941,-0.224359595
p05,aerosol_cloud_interactions,1942,-0.230399278
p05,aerosol_cloud_interactions,1943,-0.236578351
p05,aerosol_cloud_interactions,1944,-0.241117008
p05,aerosol_cloud_interactions,1945,-0.240430358
p05,aerosol_cloud_interactions,1946,-0.236112872
p05,aerosol_cloud_interactions,1947,-0.234959362
p05,aerosol_cloud_interactions,1948,-0.238045558
p05,aerosol_cloud_interactions,1949,-0.24137631
p05,aerosol_cloud_interactions,1950,-0.246699497
p05,aerosol_cloud_interactions,1951,-0.250755191
p05,aerosol_cloud_interactions,1952,-0.251950386
p05,aerosol_cloud_interactions,1953,-0.256214223
p05,aerosol_cloud_interactions,1954,-0.261501959
p05,aerosol_cloud_interactions,1955,-0.2675879
p05,aerosol_cloud_interactions,1956,-0.277503936
p05,aerosol_cloud_interactions,1957,-0.290900143
p05,aerosol_cloud_interactions,1958,-0.300173867
p05,aerosol_cloud_interactions,1959,-0.305739602
p05,aerosol_cloud_interactions,1960,-0.313334323
p05,aerosol_cloud_interactions,1961,-0.322521485
p05,aerosol_cloud_interactions,1962,-0.330565303
p05,aerosol_cloud_interactions,1963,-0.340887953
p05,aerosol_cloud_interactions,1964,-0.349948707
p05,aerosol_cloud_interactions,1965,-0.35485992
p05,aerosol_cloud_interactions,1966,-0.360785125
p05,aerosol_cloud_interactions,1967,-0.368056629
p05,aerosol_cloud_interactions,1968,-0.375793836
p05,aerosol_cloud_interactions,1969,-0.382158874
p05,aerosol_cloud_interactions,1970,-0.391007675
p05,aerosol_cloud_interactions,1971,-0.401886121
p05,aerosol_cloud_interactions,1972,-0.415805114
p05,aerosol_cloud_interactions,1973,-0.429166145
p05,aerosol_cloud_interactions,1974,-0.437278324
p05,aerosol_cloud_interactions,1975,-0.443336075
p05,aerosol_cloud_interactions,1976,-0.452438822
p05,aerosol_cloud_interactions,1977,-0.464916762
p05,aerosol_cloud_interactions,1978,-0.477078233
