percentile,definition,component,time,GMST
p05,Annual,aerosol_cloud_interactions,2015,
p05,Annual,aerosol_cloud_interactions,2017,-0.650666217
p05,Annual,aerosol_cloud_interactions,2021,
p05,Annual,aerosol_cloud_interactions,2025,-0.673623114
p05,Annual,aerosol_radiation_interactions,2015,
p05,Annual,aerosol_radiation_interactions,2017,-0.262628221
p05,Annual,aerosol_radiation_interactions,2021,
p05,Annual,aerosol_radiation_interactions,2025,-0.236348967
p05,Annual,anthropogenic,2015,
p05,Annual,anthropogenic,2017,1.02779963
p05,Annual,anthropogenic,2021,
p05,Annual,anthropogenic,2025,1.204317448
p05,Annual,bc_snow,2015,
p05,Annual,bc_snow,2017,0.000968394
p05,Annual,bc_snow,2021,
p05,Annual,bc_snow,2025,0.000942819
p05,Annual,ch4,2015,
p05,Annual,ch4,2017,0.167804196
p05,Annual,ch4,2021,
p05,Annual,ch4,2025,0.179248028
p05,Annual,co2,2015,
p05,Annual,co2,2017,0.653531175
p05,Annual,co2,2021,
p05,Annual,co2,2025,0.754961966
p05,Annual,contrails,2015,
p05,Annual,contrails,2017,0.004882391
p05,Annual,contrails,2021,
p05,Annual,contrails,2025,0.005800694
p05,Annual,ghg,2015,
p05,Annual,ghg,2017,1.053098645
p05,Annual,ghg,2021,
p05,Annual,ghg,2025,1.18521683
p05,Annual,h2o_strat,2015,
p05,Annual,h2o_strat,2017,0.001046794
p05,Annual,h2o_strat,2021,
p05,Annual,h2o_strat,2025,0.001134239
p05,Annual,halogen,2015,
p05,Annual,halogen,2017,0.13203732
p05,Annual,halogen,2021,
p05,Annual,halogen,2025,0.14004091
p05,Annual,land_use,2015,
p05,Annual,land_use,2017,-0.155903015
p05,Annual,land_use,2021,
p05,Annual,land_use,2025,-0.15956892
p05,Annual,n2o,2015,
p05,Annual,n2o,2017,0.062434427
p05,Annual,n2o,2021,
p05,Annual,n2o,2025,0.071863271
p05,Annual,natural,2015,
p05,Annual,natural,2017,0.01382712
p05,Annual,natural,2021,
p05,Annual,natural,2025,0.015215669
p05,Annual,o3,2015,
p05,Annual,o3,2017,0.060725046
p05,Annual,o3,2021,
p05,Annual,o3,2025,0.064463829
p05,Annual,other_human_forcing,2015,
p05,Annual,other_human_forcing,2017,-0.483099492
p05,Annual,other_human_forcing,2021,
p05,Annual,other_human_forcing,2025,-0.484951405
p05,Annual,residual,2015,
p05,Annual,residual,2017,-0.074737493
p05,Annual,residual,2021,
p05,Annual,residual,2025,-0.107171308
p05,Annual,solar,2015,
p05,Annual,solar,2017,-0.012556797
p05,Annual,solar,2021,
p05,Annual,solar,2025,-0.001953411
p05,Annual,total,2015,
p05,Annual,total,2017,1.113698695
p05,Annual,total,2021,
p05,Annual,total,2025,1.294786783
p05,Annual,volcanic,2015,
p05,Annual,volcanic,2017,0.013800891
p05,Annual,volcanic,2021,
p05,Annual,volcanic,2025,0.012844707
p05,SR1.5,aerosol_cloud_interactions,2015,
p05,SR1.5,aerosol_cloud_interactions,2017,-0.668607181
p05,SR1.5,aerosol_cloud_interactions,2021,
p05,SR1.5,aerosol_cloud_interactions,2025,-0.658532154
p05,SR1.5,aerosol_radiation_interactions,2015,
p05,SR1.5,aerosol_radiation_interactions,2017,-0.274792544
p05,SR1.5,aerosol_radiation_interactions,2021,
p05,SR1.5,aerosol_radiation_interactions,2025,-0.230688977
p05,SR1.5,anthropogenic,2015,
p05,SR1.5,anthropogenic,2017,1.011125712
p05,SR1.5,anthropogenic,2021,
p05,SR1.5,anthropogenic,2025,1.208541818
p05,SR1.5,bc_snow,2015,
p05,SR1.5,bc_snow,2017,0.001009265
p05,SR1.5,bc_snow,2021,
p05,SR1.5,bc_snow,2025,0.000927595
p05,SR1.5,ch4,2015,
p05,SR1.5,ch4,2017,0.167034166
p05,SR1.5,ch4,2021,
p05,SR1.5,ch4,2025,0.178425871
p05,SR1.5,co2,2015,
p05,SR1.5,co2,2017,0.65013377
p05,SR1.5,co2,2021,
p05,SR1.5,co2,2025,0.752558243
p05,SR1.5,contrails,2015,
p05,SR1.5,contrails,2017,0.004788331
p05,SR1.5,contrails,2021,
p05,SR1.5,contrails,2025,0.005505147
p05,SR1.5,ghg,2015,
p05,SR1.5,ghg,2017,1.048969799
p05,SR1.5,ghg,2021,
p05,SR1.5,ghg,2025,1.182090038
p05,SR1.5,h2o_strat,2015,
p05,SR1.5,h2o_strat,2017,0.001040946
p05,SR1.5,h2o_strat,2021,
p05,SR1.5,h2o_strat,2025,0.001127381
p05,SR1.5,halogen,2015,
p05,SR1.5,halogen,2017,0.132333088
p05,SR1.5,halogen,2021,
p05,SR1.5,halogen,2025,0.140555339
p05,SR1.5,land_use,2015,
p05,SR1.5,land_use,2017,-0.155742645
p05,SR1.5,land_use,2021,
p05,SR1.5,land_use,2025,-0.158752907
p05,SR1.5,n2o,2015,
p05,SR1.5,n2o,2017,0.06215291
p05,SR1.5,n2o,2021,
p05,SR1.5,n2o,2025,0.071472703
p05,SR1.5,natural,2015,
p05,SR1.5,natural,2017,0.013503017
p05,SR1.5,natural,2021,
p05,SR1.5,natural,2025,0.01303304
p05,SR1.5,o3,2015,
p05,SR1.5,o3,2017,0.061249789
p05,SR1.5,o3,2021,
p05,SR1.5,o3,2025,0.064007659
p05,SR1.5,other_human_forcing,2015,
p05,SR1.5,other_human_forcing,2017,-0.500500738
p05,SR1.5,other_human_forcing,2021,
p05,SR1.5,other_human_forcing,2025,-0.470367289
p05,SR1.5,residual,2015,
p05,SR1.5,residual,2017,-0.101388874
p05,SR1.5,residual,2021,
p05,SR1.5,residual,2025,-0.078310508
p05,SR1.5,solar,2015,
p05,SR1.5,solar,2017,-0.014840518
p05,SR1.5,solar,2021,
p05,SR1.5,solar,2025,-0.007975309
p05,SR1.5,total,2015,
p05,SR1.5,total,2017,1.094406097
p05,SR1.5,total,2021,
p05,SR1.5,total,2025,1.287974271
p05,SR1.5,volcanic,2015,
p05,SR1.5,volcanic,2017,0.013755447
p05,SR1.5,volcanic,2021,
p05,SR1.5,volcanic,2025,0.012073368
p05,AR6,aerosol_cloud_interactions,2015,-0.658057922
p05,AR6,aerosol_cloud_interactions,2017,
p05,AR6,aerosol_cloud_interactions,2021,-0.655276221
p05,AR6,aerosol_cloud_interactions,2025,
p05,AR6,aerosol_radiation_interactions,2015,-0.274666256
p05,AR6,aerosol_radiation_interactions,2017,
