percentile,component,time,GMST
p05,anthropogenic,2015,0.021
p05,anthropogenic,2021,0.022
p05,ghg,2015,0.017
p05,ghg,2021,0.017
p05,natural,2015,-0.001
p05,natural,2021,-0.003
p05,other_human_forcing,2015,-0.004
p05,other_human_forcing,2021,-0.003
p05,total,2015,0.02
p05,total,2021,0.019
p17,anthropogenic,2015,0.023
p17,anthropogenic,2021,0.024
p17,ghg,2015,0.02
p17,ghg,2021,0.02
p17,natural,2015,0.0
p17,natural,2021,-0.003
p17,other_human_forcing,2015,-0.001
p17,other_human_forcing,2021,0.0
p17,total,2015,0.022
p17,total,2021,0.021
p50,anthropogenic,2015,0.025
p50,anthropogenic,2021,0.027
p50,ghg,2015,0.023
p50,ghg,2021,0.023
p50,natural,2015,0.0
p50,natural,2021,-0.002
p50,other_human_forcing,2015,0.002
p50,other_human_forcing,2021,0.004
p50,total,2015,0.025
p50,total,2021,0.025
p83,anthropogenic,2015,0.028
p83,anthropogenic,2021,0.03
p83,ghg,2015,0.026
p83,ghg,2021,0.027
p83,natural,2015,0.0
p83,natural,2021,-0.002
p83,other_human_forcing,2015,0.006
p83,other_human_forcing,2021,0.007
p83,total,2015,0.028
p83,total,2021,0.028
p95,anthropogenic,2015,0.03
p95,anthropogenic,2021,0.032
p95,ghg,2015,0.029
p95,ghg,2021,0.029
p95,natural,2015,0.0
p95,natural,2021,-0.002
p95,other_human_forcing,2015,0.008
p95,other_human_forcing,2021,0.009
p95,total,2015,0.03
p95,total,2021,0.03
