percentile,component,time,GMST
p05,anthropogenic,1850,-0.076
p05,anthropogenic,1851,-0.073
p05,anthropogenic,1852,-0.069
p05,anthropogenic,1853,-0.065
p05,anthropogenic,1854,-0.062
p05,anthropogenic,1855,-0.059
p05,anthropogenic,1856,-0.055
p05,anthropogenic,1857,-0.052
p05,anthropogenic,1858,-0.049
p05,anthropogenic,1859,-0.045
p05,anthropogenic,1860,-0.041
p05,anthropogenic,1861,-0.038
p05,anthropogenic,1862,-0.034
p05,anthropogenic,1863,-0.031
p05,anthropogenic,1864,-0.028
p05,anthropogenic,1865,-0.025
p05,anthropogenic,1866,-0.022
p05,anthropogenic,1867,-0.02
p05,anthropogenic,1868,-0.017
p05,anthropogenic,1869,-0.015
p05,anthropogenic,1870,-0.013
p05,anthropogenic,1871,-0.012
p05,anthropogenic,1872,-0.011
p05,anthropogenic,1873,-0.011
p05,anthropogenic,1874,-0.011
p05,anthropogenic,1875,-0.011
p05,anthropogenic,1876,-0.012
p05,anthropogenic,1877,-0.013
p05,anthropogenic,1878,-0.015
p05,anthropogenic,1879,-0.016
p05,anthropogenic,1880,-0.017
p05,anthropogenic,1881,-0.018
p05,anthropogenic,1882,-0.019
p05,anthropogenic,1883,-0.02
p05,anthropogenic,1884,-0.021
p05,anthropogenic,1885,-0.021
p05,anthropogenic,1886,-0.022
p05,anthropogenic,1887,-0.024
p05,anthropogenic,1888,-0.024
p05,anthropogenic,1889,-0.025
p05,anthropogenic,1890,-0.025
p05,anthropogenic,1891,-0.025
p05,anthropogenic,1892,-0.026
p05,anthropogenic,1893,-0.027
p05,anthropogenic,1894,-0.027
p05,anthropogenic,1895,-0.028
p05,anthropogenic,1896,-0.028
p05,anthropogenic,1897,-0.029
p05,anthropogenic,1898,-0.029
p05,anthropogenic,1899,-0.029
p05,anthropogenic,1900,-0.03
p05,anthropogenic,1901,-0.03
p05,anthropogenic,1902,-0.03
p05,anthropogenic,1903,-0.029
p05,anthropogenic,1904,-0.029
p05,anthropogenic,1905,-0.029
p05,anthropogenic,1906,-0.029
p05,anthropogenic,1907,-0.028
p05,anthropogenic,1908,-0.028
p05,anthropogenic,1909,-0.027
p05,anthropogenic,1910,-0.027
p05,anthropogenic,1911,-0.026
p05,anthropogenic,1912,-0.025
p05,anthropogenic,1913,-0.024
p05,anthropogenic,1914,-0.023
p05,anthropogenic,1915,-0.022
p05,anthropogenic,1916,-0.021
p05,anthropogenic,1917,-0.021
p05,anthropogenic,1918,-0.019
p05,anthropogenic,1919,-0.018
p05,anthropogenic,1920,-0.016
p05,anthropogenic,1921,-0.014
p05,anthropogenic,1922,-0.013
p05,anthropogenic,1923,-0.012
p05,anthropogenic,1924,-0.01
p05,anthropogenic,1925,-0.009
p05,anthropogenic,1926,-0.008
p05,anthropogenic,1927,-0.006
p05,anthropogenic,1928,-0.004
p05,anthropogenic,1929,-0.003
p05,anthropogenic,1930,0.0
p05,anthropogenic,1931,0.0
p05,anthropogenic,1932,0.001
p05,anthropogenic,1933,0.003
p05,anthropogenic,1934,0.005
p05,anthropogenic,1935,0.007
p05,anthropogenic,1936,0.008
p05,anthropogenic,1937,0.009
p05,anthropogenic,1938,0.012
p05,anthropogenic,1939,0.014
p05,anthropogenic,1940,0.017
p05,anthropogenic,1941,0.018
p05,anthropogenic,1942,0.02
p05,anthropogenic,1943,0.022
p05,anthropogenic,1944,0.024
p05,anthropogenic,1945,0.025
p05,anthropogenic,1946,0.027
p05,anthropogenic,1947,0.03
p05,anthropogenic,1948,0.033
p05,anthropogenic,1949,0.035
p05,anthropogenic,1950,0.038
p05,anthropogenic,1951,0.041
p05,anthropogenic,1952,0.045
p05,anthropogenic,1953,0.049
p05,anthropogenic,1954,0.053
p05,anthropogenic,1955,0.057
p05,anthropogenic,1956,0.06
p05,anthropogenic,1957,0.063
p05,anthropogenic,1958,0.067
p05,anthropogenic,1959,0.072
p05,anthropogenic,1960,0.077
p05,anthropogenic,1961,0.082
p05,anthropogenic,1962,0.088
p05,anthropogenic,1963,0.094
p05,anthropogenic,1964,0.102
p05,anthropogenic,1965,0.11
p05,anthropogenic,1966,0.116
p05,anthropogenic,1967,0.122
p05,anthropogenic,1968,0.129
p05,anthropogenic,1969,0.138
p05,anthropogenic,1970,0.148
p05,anthropogenic,1971,0.158
p05,anthropogenic,1972,0.168
p05,anthropogenic,1973,0.177
p05,anthropogenic,1974,0.188
p05,anthropogenic,1975,0.197
p05,anthropogenic,1976,0.208
p05,anthropogenic,1977,0.219
p05,anthropogenic,1978,0.231
p05,anthropogenic,1979,0.243
p05,anthropogenic,1980,0.255
p05,anthropogenic,1981,0.268
p05,anthropogenic,1982,0.282
p05,anthropogenic,1983,0.296
p05,anthropogenic,1984,0.309
p05,anthropogenic,1985,0.324
p05,anthropogenic,1986,0.34
p05,anthropogenic,1987,0.356
p05,anthropogenic,1988,0.372
p05,anthropogenic,1989,0.389
p05,anthropogenic,1990,0.406
p05,anthropogenic,1991,0.424
p05,anthropogenic,1992,0.442
p05,anthropogenic,1993,0.459
p05,anthropogenic,1994,0.477
p05,anthropogenic,1995,0.496
p05,anthropogenic,1996,0.515
p05,anthropogenic,1997,0.535
p05,anthropogenic,1998,0.555
p05,anthropogenic,1999,0.576
p05,anthropogenic,2000,0.598
p05,anthropogenic,2001,0.617
p05,anthropogenic,2002,0.636
p05,anthropogenic,2003,0.657
p05,anthropogenic,2004,0.681
p05,anthropogenic,2005,0.704
p05,anthropogenic,2006,0.725
p05,anthropogenic,2007,0.746
p05,anthropogenic,2008,0.771
p05,anthropogenic,2009,0.796
p05,anthropogenic,2010,0.819
p05,anthropogenic,2011,0.842
p05,anthropogenic,2012,0.864
p05,anthropogenic,2013,0.887
p05,anthropogenic,2014,0.91
p05,anthropogenic,2015,0.936
p05,anthropogenic,2016,0.96
p05,anthropogenic,2017,0.985
p05,anthropogenic,2018,1.007
p05,anthropogenic,2019,1.032
p05,anthropogenic,2020,1.055
p05,anthropogenic,2021,1.079
p05,anthropogenic,2022,1.104
p05,anthropogenic,2023,1.129
p05,anthropogenic,2024,1.152
p05,anthropogenic,2025,1.176
p05,ghg,1850,-0.17
p05,ghg,1851,-0.162
p05,ghg,1852,-0.155
p05,ghg,1853,-0.147
p05,ghg,1854,-0.14
p05,ghg,1855,-0.132
p05,ghg,1856,-0.125
p05,ghg,1857,-0.117
p05,ghg,1858,-0.11
p05,ghg,1859,-0.102
p05,ghg,1860,-0.095
p05,ghg,1861,-0.088
p05,ghg,1862,-0.08
p05,ghg,1863,-0.073
p05,ghg,1864,-0.066
p05,ghg,1865,-0.06
p05,ghg,1866,-0.053
p05,ghg,1867,-0.046
p05,ghg,1868,-0.04
p05,ghg,1869,-0.035
p05,ghg,1870,-0.03
p05,ghg,1871,-0.027
p05,ghg,1872,-0.023
p05,ghg,1873,-0.02
p05,ghg,1874,-0.017
p05,ghg,1875,-0.014
p05,ghg,1876,-0.011
p05,ghg,1877,-0.007
p05,ghg,1878,-0.004
p05,ghg,1879,-0.001
p05,ghg,1880,0.003
p05,ghg,1881,0.006
p05,ghg,1882,0.009
p05,ghg,1883,0.013
p05,ghg,1884,0.017
p05,ghg,1885,0.022
p05,ghg,1886,0.026
p05,ghg,1887,0.029
p05,ghg,1888,0.034
p05,ghg,1889,0.038
p05,ghg,1890,0.042
p05,ghg,1891,0.047
p05,ghg,1892,0.051
p05,ghg,1893,0.056
p05,ghg,1894,0.06
p05,ghg,1895,0.064
p05,ghg,1896,0.068
p05,ghg,1897,0.073
p05,ghg,1898,0.077
p05,ghg,1899,0.082
p05,ghg,1900,0.086
p05,ghg,1901,0.09
p05,ghg,1902,0.094
p05,ghg,1903,0.098
p05,ghg,1904,0.102
p05,ghg,1905,0.106
p05,ghg,1906,0.109
p05,ghg,1907,0.112
p05,ghg,1908,0.116
p05,ghg,1909,0.119
p05,ghg,1910,0.121
p05,ghg,1911,0.124
p05,ghg,1912,0.127
p05,ghg,1913,0.129
p05,ghg,1914,0.132
p05,ghg,1915,0.134
p05,ghg,1916,0.137
p05,ghg,1917,0.139
p05,ghg,1918,0.141
p05,ghg,1919,0.143
p05,ghg,1920,0.145
p05,ghg,1921,0.147
p05,ghg,1922,0.15
p05,ghg,1923,0.152
p05,ghg,1924,0.155
p05,ghg,1925,0.157
p05,ghg,1926,0.16
p05,ghg,1927,0.162
p05,ghg,1928,0.165
p05,ghg,1929,0.167
p05,ghg,1930,0.169
p05,ghg,1931,0.171
p05,ghg,1932,0.173
p05,ghg,1933,0.176
p05,ghg,1934,0.178
p05,ghg,1935,0.182
p05,ghg,1936,0.185
p05,ghg,1937,0.186
p05,ghg,1938,0.189
p05,ghg,1939,0.192
p05,ghg,1940,0.195
p05,ghg,1941,0.198
p05,ghg,1942,0.202
p05,ghg,1943,0.205
p05,ghg,1944,0.209
p05,ghg,1945,0.213
p05,ghg,1946,0.217
p05,ghg,1947,0.221
p05,ghg,1948,0.225
p05,ghg,1949,0.23
p05,ghg,1950,0.234
p05,ghg,1951,0.24
p05,ghg,1952,0.245
p05,ghg,1953,0.252
p05,ghg,1954,0.259
p05,ghg,1955,0.265
p05,ghg,1956,0.272
p05,ghg,1957,0.28
p05,ghg,1958,0.287
p05,ghg,1959,0.295
p05,ghg,1960,0.303
p05,ghg,1961,0.311
p05,ghg,1962,0.319
p05,ghg,1963,0.327
p05,ghg,1964,0.337
p05,ghg,1965,0.349
p05,ghg,1966,0.359
p05,ghg,1967,0.37
p05,ghg,1968,0.381
p05,ghg,1969,0.392
p05,ghg,1970,0.404
p05,ghg,1971,0.417
p05,ghg,1972,0.43
p05,ghg,1973,0.444
p05,ghg,1974,0.459
p05,ghg,1975,0.473
p05,ghg,1976,0.488
p05,ghg,1977,0.504
p05,ghg,1978,0.521
p05,ghg,1979,0.537
p05,ghg,1980,0.552
p05,ghg,1981,0.569
p05,ghg,1982,0.585
