percentile,definition,component,time,GMST
p05,Annual,anthropogenic,2015,
p05,Annual,anthropogenic,2017,0.984
p05,Annual,anthropogenic,2021,
p05,Annual,anthropogenic,2025,1.176
p05,Annual,ghg,2015,
p05,Annual,ghg,2017,1.203
p05,Annual,ghg,2021,
p05,Annual,ghg,2025,1.337
p05,Annual,natural,2015,
p05,Annual,natural,2017,0.042
p05,Annual,natural,2021,
p05,Annual,natural,2025,0.03
p05,Annual,other_human_forcing,2015,
p05,Annual,other_human_forcing,2017,-0.71
p05,Annual,other_human_forcing,2021,
p05,Annual,other_human_forcing,2025,-0.705
p05,Annual,total,2015,
p05,Annual,total,2017,1.048
p05,Annual,total,2021,
p05,Annual,total,2025,1.221
p05,SR1.5,anthropogenic,2015,
p05,SR1.5,anthropogenic,2017,0.979
p05,SR1.5,anthropogenic,2021,
p05,SR1.5,anthropogenic,2025,1.174
p05,SR1.5,ghg,2015,
p05,SR1.5,ghg,2017,1.203
p05,SR1.5,ghg,2021,
p05,SR1.5,ghg,2025,1.337
p05,SR1.5,natural,2015,
p05,SR1.5,natural,2017,0.043
p05,SR1.5,natural,2021,
p05,SR1.5,natural,2025,0.028
p05,SR1.5,other_human_forcing,2015,
p05,SR1.5,other_human_forcing,2017,-0.716
p05,SR1.5,other_human_forcing,2021,
p05,SR1.5,other_human_forcing,2025,-0.708
p05,SR1.5,total,2015,
p05,SR1.5,total,2017,1.045
p05,SR1.5,total,2021,
p05,SR1.5,total,2025,1.215
p05,AR6,anthropogenic,2015,0.924
p05,AR6,anthropogenic,2017,
p05,AR6,anthropogenic,2021,1.067
p05,AR6,anthropogenic,2025,
p05,AR6,ghg,2015,1.162
p05,AR6,ghg,2017,
p05,AR6,ghg,2021,1.26
p05,AR6,ghg,2025,
p05,AR6,natural,2015,0.042
p05,AR6,natural,2017,
p05,AR6,natural,2021,0.034
p05,AR6,natural,2025,
p05,AR6,other_human_forcing,2015,-0.71
p05,AR6,other_human_forcing,2017,
p05,AR6,other_human_forcing,2021,-0.708
p05,AR6,other_human_forcing,2025,
p05,AR6,total,2015,0.988
p05,AR6,total,2017,
p05,AR6,total,2021,1.118
p05,AR6,total,2025,
p17,Annual,anthropogenic,2015,
p17,Annual,anthropogenic,2017,1.041
