percentile,component,time,GMST
p05,anthropogenic,1850,-0.164278772
p05,anthropogenic,1851,-0.169634469
p05,anthropogenic,1852,-0.157579713
p05,anthropogenic,1853,-0.112444934
p05,anthropogenic,1854,-0.173903583
p05,anthropogenic,1855,-0.239403196
p05,anthropogenic,1856,-0.164867823
p05,anthropogenic,1857,-0.157842605
p05,anthropogenic,1858,-0.114943404
p05,anthropogenic,1859,-0.063195328
p05,anthropogenic,1860,-0.113877392
p05,anthropogenic,1861,-0.133252555
p05,anthropogenic,1862,-0.21777965
p05,anthropogenic,1863,-0.206399083
p05,anthropogenic,1864,-0.123172295
p05,anthropogenic,1865,-0.177464093
p05,anthropogenic,1866,-0.166841025
p05,anthropogenic,1867,-0.110873119
p05,anthropogenic,1868,-0.104689944
p05,anthropogenic,1869,-0.209479762
p05,anthropogenic,1870,-0.139474783
p05,anthropogenic,1871,-0.119183901
p05,anthropogenic,1872,-0.0994959
p05,anthropogenic,1873,-0.134975142
p05,anthropogenic,1874,-0.085618638
p05,anthropogenic,1875,-0.141100637
p05,anthropogenic,1876,-0.115338145
p05,anthropogenic,1877,-0.116302771
p05,anthropogenic,1878,-0.07439765
p05,anthropogenic,1879,-0.034404521
p05,anthropogenic,1880,-0.080731944
p05,anthropogenic,1881,-0.12441933
p05,anthropogenic,1882,-0.088496543
p05,anthropogenic,1883,-0.130525623
p05,anthropogenic,1884,-0.057831746
p05,anthropogenic,1885,-0.136701471
p05,anthropogenic,1886,-0.133326677
p05,anthropogenic,1887,-0.103384429
p05,anthropogenic,1888,-0.094638434
p05,anthropogenic,1889,-0.042332207
p05,anthropogenic,1890,-0.087032291
p05,anthropogenic,1891,-0.082338171
p05,anthropogenic,1892,-0.108976464
p05,anthropogenic,1893,-0.144411906
p05,anthropogenic,1894,0.006800484
p05,anthropogenic,1895,-0.038151532
p05,anthropogenic,1896,-0.053828336
p05,anthropogenic,1897,-0.014139362
p05,anthropogenic,1898,-0.030489407
p05,anthropogenic,1899,-0.021331678
p05,anthropogenic,1900,0.008039638
p05,anthropogenic,1901,-0.063886209
p05,anthropogenic,1902,-0.066272717
p05,anthropogenic,1903,-0.117666414
p05,anthropogenic,1904,-0.203159213
p05,anthropogenic,1905,-0.187673465
p05,anthropogenic,1906,-0.122513114
p05,anthropogenic,1907,-0.10397284
p05,anthropogenic,1908,-0.070178642
p05,anthropogenic,1909,-0.125486252
p05,anthropogenic,1910,-0.078456686
p05,anthropogenic,1911,-0.122021143
p05,anthropogenic,1912,-0.148146504
p05,anthropogenic,1913,-0.187318478
p05,anthropogenic,1914,-0.128234983
p05,anthropogenic,1915,-0.128130451
p05,anthropogenic,1916,-0.145871649
p05,anthropogenic,1917,-0.013542632
p05,anthropogenic,1918,-0.101014991
p05,anthropogenic,1919,-0.115489961
p05,anthropogenic,1920,-0.030817967
p05,anthropogenic,1921,0.005474209
p05,anthropogenic,1922,-0.001717274
p05,anthropogenic,1923,0.012468925
p05,anthropogenic,1924,-0.076542149
p05,anthropogenic,1925,-0.05772648
p05,anthropogenic,1926,0.004022544
p05,anthropogenic,1927,0.005010113
p05,anthropogenic,1928,0.020123875
p05,anthropogenic,1929,-0.017156858
p05,anthropogenic,1930,-0.060913246
p05,anthropogenic,1931,-0.045479509
p05,anthropogenic,1932,-0.008329918
p05,anthropogenic,1933,0.021485849
p05,anthropogenic,1934,0.05716059
p05,anthropogenic,1935,0.021126155
p05,anthropogenic,1936,0.0408851
p05,anthropogenic,1937,0.039131215
p05,anthropogenic,1938,-0.076900091
p05,anthropogenic,1939,0.00418238
p05,anthropogenic,1940,-0.025841357
p05,anthropogenic,1941,-0.054888175
p05,anthropogenic,1942,-0.033545958
p05,anthropogenic,1943,-0.073933994
p05,anthropogenic,1944,-0.005774156
p05,anthropogenic,1945,-0.030561619
p05,anthropogenic,1946,-0.000265851
p05,anthropogenic,1947,0.040140675
p05,anthropogenic,1948,0.092040115
p05,anthropogenic,1949,0.070082968
p05,anthropogenic,1950,-0.018574754
p05,anthropogenic,1951,-0.012677284
p05,anthropogenic,1952,0.032935008
p05,anthropogenic,1953,-0.075057382
p05,anthropogenic,1954,-0.069287887
p05,anthropogenic,1955,0.062441848
p05,anthropogenic,1956,-0.014100025
p05,anthropogenic,1957,0.016270364
p05,anthropogenic,1958,0.066083713
p05,anthropogenic,1959,0.009675706
p05,anthropogenic,1960,0.022645942
p05,anthropogenic,1961,0.005309386
p05,anthropogenic,1962,-0.00933255
p05,anthropogenic,1963,0.027956194
p05,anthropogenic,1964,0.047688759
p05,anthropogenic,1965,0.052776019
p05,anthropogenic,1966,0.060730724
p05,anthropogenic,1967,0.080921963
p05,anthropogenic,1968,0.031730018
p05,anthropogenic,1969,0.008392513
p05,anthropogenic,1970,0.008882025
p05,anthropogenic,1971,0.089486457
p05,anthropogenic,1972,0.035910832
p05,anthropogenic,1973,0.120551392
p05,anthropogenic,1974,0.09505036
p05,anthropogenic,1975,0.174398627
p05,anthropogenic,1976,0.068894944
p05,anthropogenic,1977,0.186325715
p05,anthropogenic,1978,0.082400763
p05,anthropogenic,1979,0.048997891
p05,anthropogenic,1980,0.188782329
p05,anthropogenic,1981,0.187919026
p05,anthropogenic,1982,0.284686886
p05,anthropogenic,1983,0.262599843
p05,anthropogenic,1984,0.132258253
p05,anthropogenic,1985,0.2687544
p05,anthropogenic,1986,0.259587983
p05,anthropogenic,1987,0.230290718
p05,anthropogenic,1988,0.327898266
p05,anthropogenic,1989,0.386742328
p05,anthropogenic,1990,0.407742867
p05,anthropogenic,1991,0.405680389
p05,anthropogenic,1992,0.433272417
p05,anthropogenic,1993,0.422770192
p05,anthropogenic,1994,0.43621567
p05,anthropogenic,1995,0.382014522
p05,anthropogenic,1996,0.448630032
p05,anthropogenic,1997,0.501252269
p05,anthropogenic,1998,0.533421363
p05,anthropogenic,1999,0.635802994
p05,anthropogenic,2000,0.601369179
p05,anthropogenic,2001,0.557764527
p05,anthropogenic,2002,0.618055826
p05,anthropogenic,2003,0.703580347
p05,anthropogenic,2004,0.682828953
p05,anthropogenic,2005,0.708572838
p05,anthropogenic,2006,0.73004625
p05,anthropogenic,2007,0.703215483
p05,anthropogenic,2008,0.726784674
p05,anthropogenic,2009,0.708307858
p05,anthropogenic,2010,0.803625553
p05,anthropogenic,2011,0.848611827
p05,anthropogenic,2012,0.881312294
p05,anthropogenic,2013,0.810330422
p05,anthropogenic,2014,0.812127975
