component,time,percentile,definition,GSAT,GMST
anthropogenic,2015,p05,AR6,1.020927511,0.971303193
anthropogenic,2015,p05,Annual,,
anthropogenic,2015,p05,SR1.5,,
anthropogenic,2015,p17,AR6,,
anthropogenic,2015,p17,Annual,,
anthropogenic,2015,p17,SR1.5,,
anthropogenic,2015,p50,AR6,1.152113142,1.096467458
anthropogenic,2015,p50,Annual,,
anthropogenic,2015,p50,SR1.5,,
anthropogenic,2015,p83,AR6,,
anthropogenic,2015,p83,Annual,,
anthropogenic,2015,p83,SR1.5,,
anthropogenic,2015,p95,AR6,1.284120874,1.222412159
anthropogenic,2015,p95,Annual,,
anthropogenic,2015,p95,SR1.5,,
anthropogenic,2017,p05,AR6,,
anthropogenic,2017,p05,Annual,,1.013816688
anthropogenic,2017,p05,SR1.5,1.055909182,1.003753495
anthropogenic,2017,p17,AR6,,
anthropogenic,2017,p17,Annual,,1.077168433
anthropogenic,2017,p17,SR1.5,,
anthropogenic,2017,p50,AR6,,
anthropogenic,2017,p50,Annual,,1.164654178
anthropogenic,2017,p50,SR1.5,1.191421157,1.133375586
anthropogenic,2017,p83,AR6,,
anthropogenic,2017,p83,Annual,,1.252563993
anthropogenic,2017,p83,SR1.5,,
anthropogenic,2017,p95,AR6,,
anthropogenic,2017,p95,Annual,,1.316222825
anthropogenic,2017,p95,SR1.5,1.327784175,1.263802828
anthropogenic,2021,p05,AR6,1.197184122,1.138217335
anthropogenic,2021,p05,Annual,,
anthropogenic,2021,p05,SR1.5,,
anthropogenic,2021,p17,AR6,,
anthropogenic,2021,p17,Annual,,
anthropogenic,2021,p17,SR1.5,,
anthropogenic,2021,p50,AR6,1.356403983,1.29037283
anthropogenic,2021,p50,Annual,,
anthropogenic,2021,p50,SR1.5,,
anthropogenic,2021,p83,AR6,,
anthropogenic,2021,p83,Annual,,
anthropogenic,2021,p83,SR1.5,,
anthropogenic,2021,p95,AR6,1.516562839,1.4434176
anthropogenic,2021,p95,Annual,,
anthropogenic,2021,p95,SR1.5,,
anthropogenic,2025,p05,AR6,,
anthropogenic,2025,p05,Annual,,1.248562704
anthropogenic,2025,p05,SR1.5,1.327535084,1.260824463
anthropogenic,2025,p17,AR6,,
anthropogenic,2025,p17,Annual,,1.342936944
anthropogenic,2025,p17,SR1.5,,
anthropogenic,2025,p50,AR6,,
anthropogenic,2025,p50,Annual,,1.473263275
anthropogenic,2025,p50,SR1.5,1.512838256,1.438263252
anthropogenic,2025,p83,AR6,,
anthropogenic,2025,p83,Annual,,1.604045436
anthropogenic,2025,p83,SR1.5,,
anthropogenic,2025,p95,AR6,,
anthropogenic,2025,p95,Annual,,1.69874976
anthropogenic,2025,p95,SR1.5,1.699145317,1.616649635
ghg,2015,p05,AR6,1.225017916,1.175333341
ghg,2015,p05,Annual,,
ghg,2015,p05,SR1.5,,
ghg,2015,p17,AR6,,
ghg,2015,p17,Annual,,
ghg,2015,p17,SR1.5,,
ghg,2015,p50,AR6,1.431214654,1.373290611
ghg,2015,p50,Annual,,
ghg,2015,p50,SR1.5,,
ghg,2015,p83,AR6,,
ghg,2015,p83,Annual,,
ghg,2015,p83,SR1.5,,
ghg,2015,p95,AR6,1.640428278,1.574068063
ghg,2015,p95,Annual,,
ghg,2015,p95,SR1.5,,
ghg,2017,p05,AR6,,
ghg,2017,p05,Annual,,1.217689689
ghg,2017,p05,SR1.5,1.264976908,1.213358345
ghg,2017,p17,AR6,,
ghg,2017,p17,Annual,,1.307658643
ghg,2017,p17,SR1.5,,
ghg,2017,p50,AR6,,
ghg,2017,p50,Annual,,1.431901484
ghg,2017,p50,SR1.5,1.47989278,1.419578158
ghg,2017,p83,AR6,,
ghg,2017,p83,Annual,,1.557788519
ghg,2017,p83,SR1.5,,
ghg,2017,p95,AR6,,
ghg,2017,p95,Annual,,1.648948095
ghg,2017,p95,SR1.5,1.697788718,1.628663907
ghg,2021,p05,AR6,1.360832307,1.303231338
ghg,2021,p05,Annual,,
ghg,2021,p05,SR1.5,,
ghg,2021,p17,AR6,,
ghg,2021,p17,Annual,,
ghg,2021,p17,SR1.5,,
ghg,2021,p50,AR6,1.589280729,1.521970002
ghg,2021,p50,Annual,,
ghg,2021,p50,SR1.5,,
ghg,2021,p83,AR6,,
ghg,2021,p83,Annual,,
ghg,2021,p83,SR1.5,,
ghg,2021,p95,AR6,1.821062129,1.74401808
ghg,2021,p95,Annual,,
ghg,2021,p95,SR1.5,,
ghg,2025,p05,AR6,,
ghg,2025,p05,Annual,,1.402155767
ghg,2025,p05,SR1.5,1.4621945,1.398582265
ghg,2025,p17,AR6,,
ghg,2025,p17,Annual,,1.503703242
ghg,2025,p17,SR1.5,,
ghg,2025,p50,AR6,,
ghg,2025,p50,Annual,,1.64393547
ghg,2025,p50,SR1.5,1.709583949,1.635312094
ghg,2025,p83,AR6,,
ghg,2025,p83,Annual,,1.786087344
ghg,2025,p83,SR1.5,,
ghg,2025,p95,AR6,,
ghg,2025,p95,Annual,,1.889024908
ghg,2025,p95,SR1.5,1.960577083,1.875385931
natural,2015,p05,AR6,-0.017891696,-0.016636539
natural,2015,p05,Annual,,
natural,2015,p05,SR1.5,,
natural,2015,p17,AR6,,
natural,2015,p17,Annual,,
natural,2015,p17,SR1.5,,
natural,2015,p50,AR6,0.018507825,0.01808896
natural,2015,p50,Annual,,
natural,2015,p50,SR1.5,,
natural,2015,p83,AR6,,
natural,2015,p83,Annual,,
natural,2015,p83,SR1.5,,
natural,2015,p95,AR6,0.054893153,0.052800248
natural,2015,p95,Annual,,
natural,2015,p95,SR1.5,,
natural,2017,p05,AR6,,
natural,2017,p05,Annual,,-0.029452815
natural,2017,p05,SR1.5,-0.01679392,-0.015714771
natural,2017,p17,AR6,,
natural,2017,p17,Annual,,-0.011717806
natural,2017,p17,SR1.5,,
natural,2017,p50,AR6,,
natural,2017,p50,Annual,,0.012773395
natural,2017,p50,SR1.5,0.017849898,0.017260603
natural,2017,p83,AR6,,
natural,2017,p83,Annual,,0.037261217
natural,2017,p83,SR1.5,,
natural,2017,p95,AR6,,
natural,2017,p95,Annual,,0.054993778
natural,2017,p95,SR1.5,0.052479845,0.050222353
natural,2021,p05,AR6,-0.03020414,-0.028658595
natural,2021,p05,Annual,,
natural,2021,p05,SR1.5,,
natural,2021,p17,AR6,,
natural,2021,p17,Annual,,
natural,2021,p17,SR1.5,,
natural,2021,p50,AR6,0.009842823,0.009862266
natural,2021,p50,Annual,,
natural,2021,p50,SR1.5,,
natural,2021,p83,AR6,,
natural,2021,p83,Annual,,
natural,2021,p83,SR1.5,,
natural,2021,p95,AR6,0.049886138,0.048379318
natural,2021,p95,Annual,,
natural,2021,p95,SR1.5,,
natural,2025,p05,AR6,,
natural,2025,p05,Annual,,-0.03897271
natural,2025,p05,SR1.5,-0.042118378,-0.040397108
natural,2025,p17,AR6,,
natural,2025,p17,Annual,,-0.019628456
natural,2025,p17,SR1.5,,
natural,2025,p50,AR6,,
natural,2025,p50,Annual,,0.007085037
natural,2025,p50,SR1.5,0.004299893,0.004767852
natural,2025,p83,AR6,,
natural,2025,p83,Annual,,0.033797577
natural,2025,p83,SR1.5,,
natural,2025,p95,AR6,,
natural,2025,p95,Annual,,0.05314114
natural,2025,p95,SR1.5,0.050717563,0.049932053
other_human_forcing,2015,p05,AR6,-0.449153213,-0.441564027
other_human_forcing,2015,p05,Annual,,
other_human_forcing,2015,p05,SR1.5,,
other_human_forcing,2015,p17,AR6,,
other_human_forcing,2015,p17,Annual,,
other_human_forcing,2015,p17,SR1.5,,
other_human_forcing,2015,p50,AR6,-0.254719547,-0.250481712
other_human_forcing,2015,p50,Annual,,
other_human_forcing,2015,p50,SR1.5,,
other_human_forcing,2015,p83,AR6,,
other_human_forcing,2015,p83,Annual,,
other_human_forcing,2015,p83,SR1.5,,
other_human_forcing,2015,p95,AR6,-0.063309452,-0.062354725
other_human_forcing,2015,p95,Annual,,
other_human_forcing,2015,p95,SR1.5,,
other_human_forcing,2017,p05,AR6,,
other_human_forcing,2017,p05,Annual,,-0.445984712
other_human_forcing,2017,p05,SR1.5,-0.465181695,-0.457423262
other_human_forcing,2017,p17,AR6,,
other_human_forcing,2017,p17,Annual,,-0.362314753
other_human_forcing,2017,p17,SR1.5,,
other_human_forcing,2017,p50,AR6,,
other_human_forcing,2017,p50,Annual,,-0.246770525
other_human_forcing,2017,p50,SR1.5,-0.263300448,-0.258957288
other_human_forcing,2017,p83,AR6,,
other_human_forcing,2017,p83,Annual,,-0.132820721
other_human_forcing,2017,p83,SR1.5,,
other_human_forcing,2017,p95,AR6,,
other_human_forcing,2017,p95,Annual,,-0.050305346
other_human_forcing,2017,p95,SR1.5,-0.064633006,-0.063522521
other_human_forcing,2021,p05,AR6,-0.411439177,-0.404105719
other_human_forcing,2021,p05,Annual,,
other_human_forcing,2021,p05,SR1.5,,
other_human_forcing,2021,p17,AR6,,
other_human_forcing,2021,p17,Annual,,
other_human_forcing,2021,p17,SR1.5,,
other_human_forcing,2021,p50,AR6,-0.230976288,-0.226972737
