dataset,time,txx_extreme_temperature_decadal_mean
HadEX3,2005,1.23
HadEX3,2009,1.32
HadEX3,2010,1.37
HadEX3,2011,1.4
HadEX3,2012,1.42
HadEX3,2013,1.45
HadEX3,2014,1.52
HadEX3,2015,
HadEX3,2016,
HadEX3,2017,
HadEX3,2018,
HadEX3,2019,
HadEX3,2020,
HadEX3,2021,
Berkeley_Earth,2005,1.18
Berkeley_Earth,2009,1.27
Berkeley_Earth,2010,1.31
Berkeley_Earth,2011,1.34
Berkeley_Earth,2012,1.36
Berkeley_Earth,2013,1.37
Berkeley_Earth,2014,1.41
Berkeley_Earth,2015,1.46
Berkeley_Earth,2016,1.45
Berkeley_Earth,2017,1.5
Berkeley_Earth,2018,1.52
Berkeley_Earth,2019,1.6
Berkeley_Earth,2020,
Berkeley_Earth,2021,
ERA5,2005,1.21
ERA5,2009,1.35
ERA5,2010,1.4
ERA5,2011,1.42
ERA5,2012,1.45
ERA5,2013,1.47
ERA5,2014,1.54
ERA5,2015,1.62
ERA5,2016,1.63
ERA5,2017,1.69
ERA5,2018,1.72
ERA5,2019,1.81
ERA5,2020,1.9
ERA5,2021,1.92
