dataset,time,txx_extreme_temperature
ERA5,1950,-0.89
ERA5,1951,-0.47
ERA5,1952,-0.18
ERA5,1953,-0.13
ERA5,1954,-0.37
ERA5,1955,-0.19
ERA5,1956,-0.5
ERA5,1957,-0.17
ERA5,1958,-0.1
ERA5,1959,-0.17
ERA5,1960,-0.17
ERA5,1961,0.08
ERA5,1962,-0.3
ERA5,1963,-0.04
ERA5,1964,-0.19
ERA5,1965,-0.46
ERA5,1966,-0.21
ERA5,1967,-0.24
ERA5,1968,-0.16
ERA5,1969,0.25
ERA5,1970,0.09
ERA5,1971,-0.15
ERA5,1972,-0.05
ERA5,1973,0.2
ERA5,1974,-0.4
ERA5,1975,0.01
ERA5,1976,-0.41
ERA5,1977,-0.07
ERA5,1978,-0.2
ERA5,1979,0.09
ERA5,1980,0.16
ERA5,1981,0.17
ERA5,1982,-0.16
ERA5,1983,0.47
ERA5,1984,-0.01
ERA5,1985,-0.18
ERA5,1986,-0.07
ERA5,1987,0.28
ERA5,1988,0.74
ERA5,1989,0.33
ERA5,1990,0.45
ERA5,1991,0.54
ERA5,1992,-0.04
ERA5,1993,-0.23
ERA5,1994,0.44
ERA5,1995,0.53
ERA5,1996,0.11
ERA5,1997,0.21
ERA5,1998,0.99
ERA5,1999,0.5
ERA5,2000,0.42
ERA5,2001,0.63
ERA5,2002,0.85
ERA5,2003,0.76
ERA5,2004,0.44
ERA5,2005,0.92
ERA5,2006,0.85
ERA5,2007,0.94
ERA5,2008,0.58
ERA5,2009,0.56
ERA5,2010,1.33
ERA5,2011,0.82
ERA5,2012,1.02
ERA5,2013,0.94
ERA5,2014,0.93
ERA5,2015,1.1
ERA5,2016,1.18
ERA5,2017,1.15
ERA5,2018,1.19
ERA5,2019,1.4
ERA5,2020,1.43
ERA5,2021,1.46
ERA5,2022,1.31
ERA5,2023,1.78
ERA5,2024,1.84
ERA5,2025,1.3
Berkeley,1950,
Berkeley,1951,
Berkeley,1952,
Berkeley,1953,
Berkeley,1954,
Berkeley,1955,-0.07
Berkeley,1956,-0.32
Berkeley,1957,-0.1
Berkeley,1958,-0.12
Berkeley,1959,-0.17
Berkeley,1960,-0.17
Berkeley,1961,0.01
Berkeley,1962,-0.22
Berkeley,1963,-0.05
Berkeley,1964,-0.18
Berkeley,1965,-0.34
Berkeley,1966,-0.04
Berkeley,1967,-0.29
Berkeley,1968,-0.03
Berkeley,1969,0.23
Berkeley,1970,-0.02
Berkeley,1971,-0.25
Berkeley,1972,-0.23
Berkeley,1973,0.26
Berkeley,1974,-0.34
Berkeley,1975,0.15
Berkeley,1976,-0.25
Berkeley,1977,-0.02
Berkeley,1978,-0.26
Berkeley,1979,0.12
Berkeley,1980,0.07
Berkeley,1981,0.2
Berkeley,1982,-0.11
Berkeley,1983,0.56
Berkeley,1984,-0.02
Berkeley,1985,-0.36
Berkeley,1986,-0.04
Berkeley,1987,0.25
Berkeley,1988,0.57
Berkeley,1989,0.21
Berkeley,1990,0.41
Berkeley,1991,0.45
Berkeley,1992,0.07
Berkeley,1993,-0.2
Berkeley,1994,0.35
Berkeley,1995,0.47
Berkeley,1996,0.1
Berkeley,1997,0.2
Berkeley,1998,0.97
Berkeley,1999,0.48
Berkeley,2000,0.45
Berkeley,2001,0.7
Berkeley,2002,0.84
Berkeley,2003,0.68
Berkeley,2004,0.4
Berkeley,2005,0.82
Berkeley,2006,0.78
Berkeley,2007,0.91
Berkeley,2008,0.42
Berkeley,2009,0.64
Berkeley,2010,1.16
Berkeley,2011,0.73
Berkeley,2012,0.89
Berkeley,2013,0.8
Berkeley,2014,0.81
Berkeley,2015,1.11
Berkeley,2016,1.02
Berkeley,2017,0.96
Berkeley,2018,0.83
Berkeley,2019,1.18
Berkeley,2020,1.09
Berkeley,2021,1.21
Berkeley,2022,1.1
Berkeley,2023,1.6
Berkeley,2024,
Berkeley,2025,
HadEX3,1950,
HadEX3,1951,
HadEX3,1952,
HadEX3,1953,
HadEX3,1954,
HadEX3,1955,
HadEX3,1956,
HadEX3,1957,
HadEX3,1958,
HadEX3,1959,
HadEX3,1960,
HadEX3,1961,0.16
HadEX3,1962,-0.1
HadEX3,1963,0.03
HadEX3,1964,-0.09
HadEX3,1965,-0.29
HadEX3,1966,0.02
HadEX3,1967,-0.18
HadEX3,1968,0.05
HadEX3,1969,0.29
HadEX3,1970,0.03
HadEX3,1971,-0.16
HadEX3,1972,-0.07
HadEX3,1973,0.14
HadEX3,1974,-0.34
HadEX3,1975,0.25
HadEX3,1976,-0.27
HadEX3,1977,-0.04
HadEX3,1978,-0.29
HadEX3,1979,-0.09
HadEX3,1980,-0.03
HadEX3,1981,0.02
HadEX3,1982,-0.15
HadEX3,1983,0.41
HadEX3,1984,-0.1
HadEX3,1985,-0.2
HadEX3,1986,-0.16
HadEX3,1987,0.05
HadEX3,1988,0.51
HadEX3,1989,0.24
HadEX3,1990,0.36
HadEX3,1991,0.53
HadEX3,1992,-0.3
HadEX3,1993,-0.21
HadEX3,1994,0.52
HadEX3,1995,0.55
HadEX3,1996,0.15
HadEX3,1997,0.2
HadEX3,1998,0.97
HadEX3,1999,0.66
HadEX3,2000,0.54
HadEX3,2001,0.77
HadEX3,2002,0.9
HadEX3,2003,0.81
HadEX3,2004,0.46
HadEX3,2005,0.85
HadEX3,2006,0.85
HadEX3,2007,0.93
HadEX3,2008,0.59
HadEX3,2009,0.5
HadEX3,2010,1.29
HadEX3,2011,0.7
HadEX3,2012,1.02
HadEX3,2013,0.84
HadEX3,2014,1.0
HadEX3,2015,1.2
HadEX3,2016,1.02
HadEX3,2017,1.21
HadEX3,2018,1.29
HadEX3,2019,
HadEX3,2020,
HadEX3,2021,
HadEX3,2022,
HadEX3,2023,
HadEX3,2024,
HadEX3,2025,
