time,marine_heatwave_days
1940,21.16
1941,20.48
1942,12.15
1943,9.05
1944,18.82
1945,19.38
1946,13.6
1947,13.1
1948,11.38
1949,15.43
1950,13.95
1951,16.03
1952,13.86
1953,12.26
1954,8.35
1955,8.18
1956,11.32
1957,11.99
1958,14.18
1959,10.68
1960,13.22
1961,15.03
1962,12.26
1963,19.62
1964,12.57
1965,13.93
1966,14.14
1967,12.37
1968,16.75
1969,24.27
1970,13.15
1971,10.71
1972,22.7
1973,24.01
1974,16.76
1975,11.88
1976,14.85
1977,21.96
1978,18.17
1979,25.23
1980,24.91
1981,22.83
1982,22.29
1983,30.81
1984,19.79
1985,16.16
1986,17.69
1987,28.44
1988,22.6
1989,16.08
1990,21.03
1991,21.5
1992,18.42
1993,19.0
1994,17.88
1995,20.96
1996,19.16
1997,30.77
1998,40.04
1999,21.07
2000,19.66
2001,23.98
2002,25.73
2003,30.36
2004,24.96
2005,27.63
2006,24.5
2007,24.15
2008,24.8
2009,35.21
2010,44.34
2011,34.47
2012,29.71
2013,27.9
2014,37.03
2015,48.74
2016,58.34
2017,47.54
2018,44.94
2019,57.6
2020,56.45
2021,46.22
2022,53.13
2023,71.44
2024,81.42
2025,64.9
