dataset,time,marine_heatwave_days
OISST,1940,
OISST,1941,
OISST,1942,
OISST,1943,
OISST,1944,
OISST,1945,
OISST,1946,
OISST,1947,
OISST,1948,
OISST,1949,
OISST,1950,
OISST,1951,
OISST,1952,
OISST,1953,
OISST,1954,
OISST,1955,
OISST,1956,
OISST,1957,
OISST,1958,
OISST,1959,
OISST,1960,
OISST,1961,
OISST,1962,
OISST,1963,
OISST,1964,
OISST,1965,
OISST,1966,
OISST,1967,
OISST,1968,
OISST,1969,
OISST,1970,
OISST,1971,
OISST,1972,
OISST,1973,
OISST,1974,
OISST,1975,
OISST,1976,
OISST,1977,
OISST,1978,
OISST,1979,
OISST,1980,
OISST,1981,
OISST,1982,17.9
OISST,1983,22.08
OISST,1984,18.01
OISST,1985,10.64
OISST,1986,12.65
OISST,1987,20.67
OISST,1988,17.32
OISST,1989,12.12
OISST,1990,14.31
OISST,1991,17.49
OISST,1992,15.84
OISST,1993,15.91
OISST,1994,14.67
OISST,1995,17.12
OISST,1996,15.86
OISST,1997,25.08
OISST,1998,31.88
OISST,1999,16.51
OISST,2000,16.62
OISST,2001,21.07
OISST,2002,22.5
OISST,2003,25.0
OISST,2004,22.02
OISST,2005,27.24
OISST,2006,23.59
OISST,2007,22.57
OISST,2008,22.24
OISST,2009,30.2
OISST,2010,38.09
OISST,2011,29.12
OISST,2012,25.6
OISST,2013,25.06
OISST,2014,37.1
OISST,2015,51.17
OISST,2016,56.06
OISST,2017,44.32
OISST,2018,40.38
OISST,2019,50.35
OISST,2020,51.59
OISST,2021,43.31
OISST,2022,50.28
OISST,2023,68.7
OISST,2024,78.83
OISST,2025,60.37
OSTIA,1940,
OSTIA,1941,
OSTIA,1942,
OSTIA,1943,
OSTIA,1944,
OSTIA,1945,
OSTIA,1946,
OSTIA,1947,
OSTIA,1948,
OSTIA,1949,
OSTIA,1950,
OSTIA,1951,
OSTIA,1952,
OSTIA,1953,
OSTIA,1954,
OSTIA,1955,
OSTIA,1956,
OSTIA,1957,
OSTIA,1958,
OSTIA,1959,
OSTIA,1960,
OSTIA,1961,
OSTIA,1962,
OSTIA,1963,
OSTIA,1964,
OSTIA,1965,
OSTIA,1966,
OSTIA,1967,
OSTIA,1968,
OSTIA,1969,
OSTIA,1970,
OSTIA,1971,
OSTIA,1972,
OSTIA,1973,
OSTIA,1974,
OSTIA,1975,
OSTIA,1976,
OSTIA,1977,
OSTIA,1978,
OSTIA,1979,
OSTIA,1980,
OSTIA,1981,
OSTIA,1982,18.48
OSTIA,1983,31.87
OSTIA,1984,13.07
OSTIA,1985,14.3
OSTIA,1986,15.71
OSTIA,1987,25.36
OSTIA,1988,20.71
OSTIA,1989,16.48
OSTIA,1990,24.01
OSTIA,1991,16.59
OSTIA,1992,17.71
OSTIA,1993,19.67
OSTIA,1994,20.16
OSTIA,1995,25.17
OSTIA,1996,21.05
OSTIA,1997,36.21
OSTIA,1998,45.79
OSTIA,1999,22.44
OSTIA,2000,19.94
OSTIA,2001,22.61
OSTIA,2002,27.49
OSTIA,2003,33.08
OSTIA,2004,26.93
OSTIA,2005,29.02
OSTIA,2006,25.48
OSTIA,2007,24.03
OSTIA,2008,23.5
OSTIA,2009,35.03
OSTIA,2010,44.99
OSTIA,2011,33.63
OSTIA,2012,26.52
OSTIA,2013,27.11
OSTIA,2014,36.5
OSTIA,2015,50.12
OSTIA,2016,56.04
OSTIA,2017,47.48
OSTIA,2018,42.67
OSTIA,2019,61.03
OSTIA,2020,58.74
OSTIA,2021,43.3
OSTIA,2022,49.25
OSTIA,2023,68.2
OSTIA,2024,74.67
OSTIA,2025,59.48
CRW,1940,
CRW,1941,
CRW,1942,
CRW,1943,
CRW,1944,
CRW,1945,
CRW,1946,
CRW,1947,
CRW,1948,
CRW,1949,
CRW,1950,
CRW,1951,
CRW,1952,
CRW,1953,
CRW,1954,
CRW,1955,
CRW,1956,
CRW,1957,
CRW,1958,
CRW,1959,
CRW,1960,
CRW,1961,
CRW,1962,
CRW,1963,
CRW,1964,
CRW,1965,
CRW,1966,
CRW,1967,
CRW,1968,
CRW,1969,
CRW,1970,
CRW,1971,
CRW,1972,
CRW,1973,
CRW,1974,
CRW,1975,
CRW,1976,
CRW,1977,
CRW,1978,
CRW,1979,
CRW,1980,
CRW,1981,
CRW,1982,
CRW,1983,
CRW,1984,
CRW,1985,18.42
CRW,1986,19.79
CRW,1987,30.98
CRW,1988,23.68
CRW,1989,16.52
CRW,1990,21.58
CRW,1991,23.38
CRW,1992,19.5
CRW,1993,18.59
CRW,1994,18.84
CRW,1995,16.66
CRW,1996,17.01
CRW,1997,23.82
CRW,1998,30.54
CRW,1999,14.38
CRW,2000,13.14
CRW,2001,16.1
CRW,2002,18.89
CRW,2003,25.69
CRW,2004,21.26
CRW,2005,22.71
CRW,2006,19.85
CRW,2007,19.62
CRW,2008,23.02
CRW,2009,32.56
CRW,2010,42.2
CRW,2011,30.98
CRW,2012,27.89
CRW,2013,24.85
CRW,2014,33.68
CRW,2015,46.13
CRW,2016,55.36
CRW,2017,44.95
CRW,2018,43.68
CRW,2019,55.62
CRW,2020,54.68
CRW,2021,44.36
CRW,2022,50.12
CRW,2023,71.17
CRW,2024,84.3
CRW,2025,64.27
ERA5,1940,21.16
ERA5,1941,20.48
ERA5,1942,12.15
ERA5,1943,9.05
ERA5,1944,18.82
ERA5,1945,19.38
ERA5,1946,13.6
ERA5,1947,13.1
ERA5,1948,11.38
ERA5,1949,15.43
ERA5,1950,13.95
ERA5,1951,16.03
ERA5,1952,13.86
ERA5,1953,12.26
ERA5,1954,8.35
ERA5,1955,8.18
ERA5,1956,11.32
ERA5,1957,11.99
ERA5,1958,14.18
ERA5,1959,10.68
ERA5,1960,13.22
ERA5,1961,15.03
ERA5,1962,12.26
ERA5,1963,19.62
ERA5,1964,12.57
ERA5,1965,13.93
ERA5,1966,14.14
ERA5,1967,12.37
ERA5,1968,16.75
ERA5,1969,24.27
ERA5,1970,13.15
ERA5,1971,10.71
ERA5,1972,22.7
ERA5,1973,24.01
ERA5,1974,16.76
ERA5,1975,11.88
ERA5,1976,14.85
ERA5,1977,21.96
ERA5,1978,18.17
ERA5,1979,25.23
ERA5,1980,24.91
ERA5,1981,22.83
ERA5,1982,30.47
ERA5,1983,38.49
ERA5,1984,28.3
ERA5,1985,21.29
ERA5,1986,22.61
ERA5,1987,36.74
ERA5,1988,28.69
ERA5,1989,19.22
ERA5,1990,24.22
ERA5,1991,28.55
ERA5,1992,20.65
ERA5,1993,21.83
ERA5,1994,17.86
ERA5,1995,24.88
ERA5,1996,22.74
ERA5,1997,37.96
ERA5,1998,51.94
ERA5,1999,30.95
ERA5,2000,28.93
ERA5,2001,36.16
ERA5,2002,34.04
ERA5,2003,37.66
ERA5,2004,29.64
ERA5,2005,31.55
ERA5,2006,29.1
ERA5,2007,30.37
ERA5,2008,30.46
ERA5,2009,43.04
ERA5,2010,52.06
ERA5,2011,44.13
ERA5,2012,38.81
ERA5,2013,34.57
ERA5,2014,40.83
ERA5,2015,47.54
ERA5,2016,65.9
ERA5,2017,53.42
ERA5,2018,53.02
ERA5,2019,63.39
ERA5,2020,60.79
ERA5,2021,53.9
ERA5,2022,62.87
ERA5,2023,77.68
ERA5,2024,87.88
ERA5,2025,75.5
