time,gmst_anomaly
1855,0.014
1856,0.013
1857,-0.003
1858,-0.031
1859,-0.041
1860,-0.053
1861,-0.057
1862,-0.054
1863,-0.043
1864,-0.033
1865,-0.031
1866,-0.023
1867,-0.011
1868,0.01
1869,0.016
1870,0.018
1871,0.014
1872,0.008
1873,0.04
1874,0.07
1875,0.072
1876,0.073
1877,0.087
1878,0.09
1879,0.09
1880,0.084
1881,0.074
1882,0.068
1883,0.021
1884,-0.015
1885,-0.026
1886,-0.03
1887,-0.048
1888,-0.067
1889,-0.082
1890,-0.084
1891,-0.079
1892,-0.06
1893,-0.035
1894,-0.046
1895,-0.056
1896,-0.028
1897,-0.017
1898,-0.011
1899,-0.016
1900,-0.028
1901,-0.029
1902,-0.035
1903,-0.06
1904,-0.068
1905,-0.093
1906,-0.124
1907,-0.152
1908,-0.158
1909,-0.15
1910,-0.118
1911,-0.097
1912,-0.109
1913,-0.114
1914,-0.103
1915,-0.081
1916,-0.059
1917,-0.031
1918,-0.019
1919,-0.006
1920,-0.012
1921,-0.02
1922,0.008
1923,0.037
1924,0.054
1925,0.047
1926,0.059
1927,0.071
1928,0.087
1929,0.085
1930,0.099
1931,0.104
1932,0.101
1933,0.123
1934,0.143
1935,0.178
1936,0.202
1937,0.218
1938,0.232
1939,0.266
1940,0.298
1941,0.321
1942,0.325
1943,0.319
1944,0.308
1945,0.296
1946,0.265
1947,0.253
1948,0.255
1949,0.26
1950,0.232
1951,0.21
1952,0.197
1953,0.203
1954,0.216
1955,0.228
1956,0.242
1957,0.25
1958,0.245
1959,0.236
1960,0.222
1961,0.224
1962,0.237
1963,0.23
1964,0.216
1965,0.218
1966,0.221
1967,0.205
1968,0.205
1969,0.215
1970,0.228
1971,0.236
1972,0.231
1973,0.254
1974,0.27
1975,0.282
1976,0.309
1977,0.352
1978,0.364
1979,0.381
1980,0.403
1981,0.419
1982,0.449
1983,0.461
1984,0.489
1985,0.497
1986,0.512
1987,0.521
1988,0.529
1989,0.524
1990,0.541
1991,0.575
1992,0.591
1993,0.609
1994,0.637
1995,0.652
1996,0.648
1997,0.662
1998,0.703
1999,0.739
2000,0.762
2001,0.785
2002,0.815
2003,0.831
2004,0.82
2005,0.847
2006,0.88
2007,0.887
2008,0.889
2009,0.894
2010,0.914
2011,0.934
2012,0.97
2013,0.995
2014,1.026
2015,1.055
2016,1.081
2017,1.104
2018,1.128
2019,1.179
2020,1.231
2021,1.256
