time,gmst_anomaly
1860,-0.009
1861,-0.005
1862,-0.007
1863,-0.011
1864,-0.012
1865,-0.018
1866,-0.022
1867,-0.023
1868,-0.002
1869,0.019
1870,0.02
1871,0.025
1872,0.038
1873,0.05
1874,0.053
1875,0.051
1876,0.044
1877,0.038
1878,0.03
1879,0.028
1880,0.031
1881,0.022
1882,0.02
1883,0.011
1884,0.004
1885,0.0
1886,-0.003
1887,0.004
1888,-0.007
1889,-0.031
1890,-0.033
1891,-0.029
1892,-0.032
1893,-0.039
1894,-0.049
1895,-0.056
1896,-0.054
1897,-0.048
1898,-0.048
1899,-0.057
1900,-0.075
1901,-0.076
1902,-0.084
1903,-0.084
1904,-0.083
1905,-0.073
1906,-0.063
1907,-0.072
1908,-0.087
1909,-0.086
1910,-0.087
1911,-0.092
1912,-0.091
1913,-0.088
1914,-0.078
1915,-0.065
1916,-0.058
1917,-0.05
1918,-0.039
1919,-0.025
1920,-0.017
1921,0.0
1922,0.02
1923,0.034
1924,0.04
1925,0.043
1926,0.042
1927,0.054
1928,0.08
1929,0.098
1930,0.113
1931,0.13
1932,0.144
1933,0.16
1934,0.176
1935,0.198
1936,0.213
1937,0.213
1938,0.221
1939,0.225
1940,0.237
1941,0.234
1942,0.235
1943,0.244
1944,0.263
1945,0.265
1946,0.266
1947,0.261
1948,0.261
1949,0.262
1950,0.262
1951,0.254
1952,0.252
1953,0.25
1954,0.248
1955,0.227
1956,0.217
1957,0.217
1958,0.216
1959,0.216
1960,0.223
1961,0.232
1962,0.228
1963,0.225
1964,0.225
1965,0.225
1966,0.23
1967,0.234
1968,0.242
1969,0.243
1970,0.25
1971,0.265
1972,0.279
1973,0.284
1974,0.298
1975,0.315
1976,0.327
1977,0.34
1978,0.357
1979,0.38
1980,0.389
1981,0.411
1982,0.436
1983,0.447
1984,0.452
1985,0.472
1986,0.497
1987,0.52
1988,0.535
1989,0.563
1990,0.574
1991,0.58
1992,0.591
1993,0.616
1994,0.631
1995,0.652
1996,0.68
1997,0.703
1998,0.72
1999,0.728
2000,0.749
2001,0.764
2002,0.774
2003,0.796
2004,0.817
2005,0.838
2006,0.859
2007,0.892
2008,0.913
2009,0.923
2010,0.951
2011,0.981
2012,0.995
2013,1.008
2014,1.037
2015,1.072
2016,1.095
