time,timebound_lower,timebound_upper,anthropogenic_p05,anthropogenic_p17,anthropogenic_p50,anthropogenic_p83,anthropogenic_p95,natural_p05,natural_p17,natural_p50,natural_p83,natural_p95,ghg_p05,ghg_p17,ghg_p50,ghg_p83,ghg_p95,other_human_forcing_p05,other_human_forcing_p17,other_human_forcing_p50,other_human_forcing_p83,other_human_forcing_p95
1850.5,1850,1851,-0.164278772,-0.119981787,-0.058809761,0.002360716,0.046656578,-0.058630106,-0.040385865,-0.015191435,0.01000764,0.028255246,-0.123017322,-0.105104714,-0.080368256,-0.055659471,-0.037766903,-0.059689013,-0.026947796,0.018266266,0.063502906,0.096260473
1851.5,1851,1852,-0.169634469,-0.136928615,-0.091763387,-0.046603272,-0.013901119,-0.014071346,0.000772179,0.021270381,0.041757383,0.056592798,-0.086469156,-0.067546033,-0.041414101,-0.015289123,0.003628966,-0.097597243,-0.070031897,-0.031965467,0.006018727,0.033524523
1852.5,1852,1853,-0.157579713,-0.122297395,-0.073574193,-0.024854038,0.010426075,-0.002755871,0.014265409,0.037770987,0.061245756,0.078244726,-0.082038669,-0.060098834,-0.029800966,0.000493796,0.022431383,-0.098892009,-0.069151008,-0.028080102,0.012932009,0.042630434
1853.5,1853,1854,-0.112444934,-0.085060492,-0.047243882,-0.00942889,0.01795438,-0.017313566,5.60E-05,0.024042558,0.048016882,0.065377599,-0.113744955,-0.092158279,-0.062348107,-0.032551751,-0.01097508,-0.044668716,-0.020414414,0.013079622,0.046589285,0.070854904
1854.5,1854,1855,-0.173903583,-0.10643015,-0.013252553,0.079924992,0.147398388,-0.019387967,-0.002728314,0.020277875,0.043274995,0.059928082,-0.116971302,-0.096342788,-0.067855793,-0.039385923,-0.01876981,-0.077349533,-0.028092034,0.039930225,0.108024181,0.157333597
1855.5,1855,1856,-0.239403196,-0.150977292,-0.02886533,0.093246446,0.181672214,-0.001263347,0.016374397,0.040731281,0.065053588,0.082666293,-0.10459918,-0.086226435,-0.06085455,-0.03549813,-0.017136584,-0.12177046,-0.060388079,0.024378065,0.109165663,0.170563578
1856.5,1856,1857,-0.164867823,-0.126449402,-0.073395392,-0.020344166,0.018072239,-0.012626159,0.007357653,0.034954346,0.062528572,0.082496114,-0.102395802,-0.081164924,-0.051846092,-0.022536974,-0.00131313,-0.083798919,-0.053680473,-0.012088333,0.029493053,0.059603712
1857.5,1857,1858,-0.157842605,-0.108221529,-0.039697186,0.028826525,0.078447144,-0.008901373,0.006939407,0.02881477,0.050670871,0.066497702,-0.093401827,-0.071498781,-0.041251718,-0.011010615,0.010888115,-0.084864703,-0.047973186,0.002972242,0.053918201,0.090810103
1858.5,1858,1859,-0.114943404,-0.064998467,0.003973114,0.072944701,0.122889643,-0.030593054,-0.012669366,0.012082393,0.03683116,0.054752681,-0.081892079,-0.061633612,-0.033657634,-0.005685945,0.014569416,-0.062493033,-0.024945107,0.02690679,0.0788014,0.116380255
1859.5,1859,1860,-0.063195328,-0.017451508,0.045718529,0.108889474,0.154633951,-0.020162378,-0.000334262,0.027047422,0.05441555,0.07423385,-0.078989903,-0.062187464,-0.038984095,-0.015787665,0.001009749,-0.030813563,0.00684409,0.058847516,0.11105434,0.148859281
1860.5,1860,1861,-0.113877392,-0.073344338,-0.017370121,0.038603948,0.079136895,-0.004262644,0.0166145,0.045444843,0.074238825,0.09508964,-0.097537243,-0.078842123,-0.053025053,-0.027219521,-0.008532756,-0.048307731,-0.016896632,0.0264806,0.069907276,0.101354179
1861.5,1861,1862,-0.133252555,-0.091672041,-0.034251332,0.023168817,0.064748925,-0.035023888,-0.018288927,0.004821258,0.027930932,0.044665524,-0.115750143,-0.097478011,-0.072245067,-0.047034043,-0.028777784,-0.047280789,-0.015262836,0.028952433,0.073225683,0.105285622
1862.5,1862,1863,-0.21777965,-0.145087626,-0.044703404,0.055680273,0.128371902,-0.066616681,-0.047126244,-0.020210877,0.006712186,0.026208198,-0.094206924,-0.075518417,-0.04971048,-0.023912687,-0.005231526,-0.11507874,-0.064355201,0.005691591,0.075739798,0.126464362
1863.5,1863,1864,-0.206399083,-0.129479959,-0.023258312,0.082963196,0.159882219,-0.042027633,-0.027977233,-0.0085743,0.010830556,0.024882348,-0.066166384,-0.052008748,-0.032457728,-0.012912416,0.001241086,-0.118030753,-0.065220135,0.007708813,0.080640254,0.133452678
1864.5,1864,1865,-0.123172295,-0.092475931,-0.050085714,-0.007697119,0.02299807,-0.041473244,-0.023635559,0.000997435,0.025630409,0.043468079,-0.075688891,-0.057532263,-0.032458824,-0.007389836,0.010763568,-0.0688809,-0.044298966,-0.010352486,0.023584331,0.048159268
1865.5,1865,1866,-0.177464093,-0.128347764,-0.060520452,0.007305379,0.056420636,-0.022369345,-0.004413343,0.020383041,0.045170925,0.063120771,-0.093688218,-0.07820758,-0.056829557,-0.035467542,-0.019998496,-0.082597511,-0.047836071,0.000167824,0.04817172,0.082933162
1866.5,1866,1867,-0.166841025,-0.115922497,-0.045606435,0.024708816,0.075626756,-0.019677275,-0.000949854,0.024911822,0.050761322,0.069479926,-0.043083653,-0.027127911,-0.00509379,0.016940205,0.032895857,-0.115387634,-0.078280861,-0.027038176,0.02416083,0.061235972
1867.5,1867,1868,-0.110873119,-0.062605514,0.004049752,0.070705024,0.118972635,-0.012026689,0.005346272,0.029337504,0.053310531,0.070670309,-0.058734962,-0.039435253,-0.012783274,0.013868055,0.033167293,-0.072662033,-0.037133423,0.011929894,0.061002089,0.096537126
1868.5,1868,1869,-0.104689944,-0.065464284,-0.011295515,0.042873189,0.082098802,-0.01727445,0.000765466,0.025677732,0.050576568,0.068606759,-0.043327209,-0.024400707,0.001735892,0.027872503,0.046799015,-0.07991288,-0.050068439,-0.008854688,0.03235324,0.062193464
1869.5,1869,1870,-0.209479762,-0.134187512,-0.0302125,0.073762271,0.149054347,-0.015221577,0.00494458,0.032793083,0.06062199,0.080773958,-0.048532507,-0.031526463,-0.008041926,0.015442319,0.032448152,-0.139168514,-0.086829322,-0.01455139,0.057717576,0.110050276
