time,timebound_lower,timebound_upper,natural_p05,natural_p17,natural_p50,natural_p83,natural_p95,ghg_p05,ghg_p17,ghg_p50,ghg_p83,ghg_p95,other_human_forcing_p05,other_human_forcing_p17,other_human_forcing_p50,other_human_forcing_p83,other_human_forcing_p95,total_p05,total_p17,total_p50,total_p83,total_p95,anthropogenic_p05,anthropogenic_p17,anthropogenic_p50,anthropogenic_p83,anthropogenic_p95
1850.5,1850,1851,0.017,0.021,0.025,0.03,0.033,-0.17,-0.147,-0.113,-0.079,-0.053,0.018,0.052,0.1,0.146,0.183,-0.051,-0.023,0.013,0.048,0.078,-0.076,-0.048,-0.012,0.023,0.052
1851.5,1851,1852,0.023,0.027,0.033,0.039,0.044,-0.162,-0.14,-0.108,-0.077,-0.052,0.018,0.051,0.096,0.14,0.175,-0.039,-0.013,0.021,0.055,0.083,-0.073,-0.046,-0.012,0.021,0.049
1852.5,1852,1853,0.027,0.032,0.039,0.046,0.052,-0.155,-0.134,-0.104,-0.074,-0.051,0.018,0.049,0.092,0.134,0.167,-0.031,-0.006,0.027,0.06,0.086,-0.069,-0.044,-0.012,0.02,0.047
1853.5,1853,1854,0.019,0.022,0.027,0.032,0.036,-0.147,-0.128,-0.1,-0.071,-0.05,0.018,0.048,0.089,0.127,0.158,-0.039,-0.014,0.016,0.046,0.072,-0.065,-0.042,-0.011,0.018,0.044
1854.5,1854,1855,0.01,0.012,0.014,0.017,0.019,-0.14,-0.122,-0.095,-0.068,-0.049,0.018,0.046,0.085,0.121,0.151,-0.048,-0.026,0.003,0.031,0.057,-0.062,-0.039,-0.011,0.017,0.041
1855.5,1855,1856,0.011,0.013,0.015,0.018,0.021,-0.132,-0.116,-0.091,-0.066,-0.048,0.019,0.045,0.081,0.115,0.143,-0.043,-0.022,0.005,0.032,0.055,-0.059,-0.037,-0.01,0.015,0.039
1856.5,1856,1857,0.012,0.014,0.017,0.02,0.023,-0.125,-0.11,-0.087,-0.063,-0.047,0.019,0.043,0.077,0.109,0.135,-0.038,-0.018,0.007,0.032,0.054,-0.055,-0.035,-0.01,0.014,0.037
1857.5,1857,1858,0.002,0.003,0.003,0.004,0.005,-0.117,-0.104,-0.082,-0.061,-0.045,0.019,0.041,0.073,0.103,0.127,-0.049,-0.03,-0.006,0.017,0.037,-0.052,-0.033,-0.01,0.013,0.034
1858.5,1858,1859,0.005,0.006,0.007,0.008,0.009,-0.11,-0.097,-0.078,-0.058,-0.044,0.019,0.04,0.069,0.096,0.119,-0.042,-0.024,-0.002,0.02,0.039,-0.049,-0.031,-0.009,0.012,0.031
1859.5,1859,1860,0.012,0.014,0.017,0.021,0.023,-0.102,-0.091,-0.073,-0.055,-0.042,0.018,0.038,0.065,0.09,0.111,-0.028,-0.012,0.009,0.029,0.046,-0.045,-0.029,-0.009,0.011,0.029
1860.5,1860,1861,0.02,0.024,0.029,0.034,0.038,-0.095,-0.085,-0.069,-0.052,-0.041,0.018,0.036,0.06,0.084,0.103,-0.013,0.001,0.02,0.04,0.055,-0.041,-0.027,-0.008,0.01,0.026
1861.5,1861,1862,0.022,0.026,0.031,0.037,0.042,-0.088,-0.079,-0.064,-0.049,-0.039,0.017,0.034,0.056,0.078,0.095,-0.007,0.005,0.023,0.042,0.056,-0.038,-0.025,-0.008,0.009,0.023
1862.5,1862,1863,-0.05,-0.045,-0.038,-0.031,-0.026,-0.08,-0.072,-0.06,-0.046,-0.038,0.017,0.032,0.052,0.072,0.087,-0.074,-0.062,-0.045,-0.029,-0.016,-0.034,-0.023,-0.008,0.008,0.021
1863.5,1863,1864,-0.076,-0.067,-0.057,-0.047,-0.039,-0.073,-0.066,-0.055,-0.043,-0.036,0.016,0.03,0.048,0.066,0.079,-0.094,-0.082,-0.064,-0.047,-0.034,-0.031,-0.021,-0.007,0.007,0.019
1864.5,1864,1865,-0.058,-0.052,-0.044,-0.036,-0.03,-0.066,-0.06,-0.051,-0.04,-0.034,0.015,0.027,0.044,0.06,0.072,-0.076,-0.066,-0.05,-0.036,-0.024,-0.028,-0.019,-0.007,0.006,0.016
1865.5,1865,1866,-0.033,-0.029,-0.024,-0.02,-0.017,-0.06,-0.054,-0.046,-0.038,-0.032,0.015,0.025,0.04,0.054,0.065,-0.051,-0.043,-0.031,-0.018,-0.01,-0.025,-0.017,-0.006,0.005,0.014
1866.5,1866,1867,-0.009,-0.008,-0.007,-0.006,-0.005,-0.053,-0.048,-0.042,-0.034,-0.03,0.014,0.023,0.036,0.047,0.057,-0.03,-0.023,-0.013,-0.002,0.005,-0.022,-0.016,-0.006,0.004,0.012
1867.5,1867,1868,0.005,0.006,0.007,0.008,0.009,-0.046,-0.042,-0.037,-0.031,-0.027,0.013,0.021,0.032,0.042,0.049,-0.013,-0.007,0.001,0.011,0.018,-0.02,-0.014,-0.005,0.003,0.011
1868.5,1868,1869,0.013,0.015,0.019,0.022,0.025,-0.04,-0.037,-0.032,-0.027,-0.024,0.012,0.018,0.027,0.036,0.042,0,0.005,0.014,0.023,0.029,-0.017,-0.012,-0.005,0.003,0.009
1869.5,1869,1870,0.02,0.024,0.03,0.035,0.039,-0.035,-0.032,-0.028,-0.023,-0.02,0.011,0.016,0.023,0.03,0.035,0.01,0.016,0.025,0.034,0.041,-0.015,-0.011,-0.004,0.003,0.007
1870.5,1870,1871,0.026,0.031,0.038,0.045,0.051,-0.03,-0.027,-0.023,-0.019,-0.015,0.008,0.013,0.019,0.025,0.029,0.018,0.025,0.034,0.044,0.052,-0.013,-0.009,-0.004,0.002,0.007
1871.5,1871,1872,0.032,0.038,0.046,0.055,0.061,-0.027,-0.023,-0.018,-0.013,-0.01,0.006,0.01,0.015,0.02,0.024,0.025,0.032,0.043,0.053,0.061,-0.012,-0.008,-0.003,0.002,0.006
1872.5,1872,1873,0.036,0.042,0.051,0.061,0.068,-0.023,-0.019,-0.014,-0.008,-0.004,0.002,0.006,0.011,0.016,0.02,0.03,0.037,0.048,0.06,0.068,-0.011,-0.007,-0.003,0.002,0.006
1873.5,1873,1874,0.024,0.029,0.035,0.042,0.047,-0.02,-0.015,-0.009,-0.002,0.002,-0.003,0.001,0.007,0.012,0.017,0.019,0.024,0.033,0.042,0.048,-0.011,-0.007,-0.002,0.003,0.006
1874.5,1874,1875,0.023,0.028,0.033,0.04,0.045,-0.017,-0.011,-0.004,0.003,0.008,-0.009,-0.004,0.003,0.009,0.014,0.018,0.023,0.032,0.04,0.046,-0.011,-0.007,-0.002,0.004,0.007
1875.5,1875,1876,0.022,0.027,0.032,0.038,0.043,-0.014,-0.007,0,0.008,0.015,-0.016,-0.009,-0.001,0.006,0.011,0.016,0.022,0.031,0.04,0.046,-0.011,-0.007,-0.001,0.005,0.009
1876.5,1876,1877,0.022,0.026,0.032,0.038,0.042,-0.011,-0.004,0.005,0.014,0.021,-0.021,-0.014,-0.006,0.003,0.009,0.016,0.022,0.031,0.041,0.047,-0.012,-0.007,-0.001,0.006,0.012
1877.5,1877,1878,0.024,0.029,0.035,0.041,0.047,-0.007,0,0.009,0.019,0.026,-0.028,-0.019,-0.01,0.001,0.007,0.018,0.025,0.035,0.045,0.052,-0.013,-0.007,0,0.007,0.014
1878.5,1878,1879,0.026,0.031,0.038,0.045,0.051,-0.004,0.004,0.014,0.025,0.032,-0.035,-0.025,-0.014,-0.002,0.005,0.019,0.028,0.039,0.05,0.058,-0.015,-0.008,0,0.009,0.016
1879.5,1879,1880,0.029,0.034,0.041,0.049,0.055,-0.001,0.008,0.019,0.03,0.038,-0.041,-0.03,-0.018,-0.004,0.003,0.022,0.03,0.042,0.055,0.063,-0.016,-0.008,0.001,0.01,0.018
1880.5,1880,1881,0.029,0.034,0.041,0.049,0.055,0.003,0.012,0.023,0.035,0.043,-0.048,-0.035,-0.022,-0.007,0.001,0.021,0.03,0.043,0.057,0.065,-0.017,-0.008,0.002,0.012,0.02
1881.5,1881,1882,0.03,0.036,0.043,0.051,0.058,0.006,0.015,0.028,0.04,0.049,-0.053,-0.04,-0.026,-0.01,0,0.022,0.032,0.045,0.06,0.068,-0.018,-0.009,0.002,0.013,0.022
1882.5,1882,1883,0.033,0.04,0.048,0.057,0.064,0.009,0.02,0.032,0.045,0.054,-0.059,-0.046,-0.03,-0.013,-0.002,0.025,0.036,0.051,0.067,0.076,-0.019,-0.009,0.003,0.015,0.024
1883.5,1883,1884,0.002,0.002,0.003,0.003,0.004,0.013,0.024,0.037,0.05,0.06,-0.064,-0.05,-0.034,-0.016,-0.003,-0.016,-0.006,0.006,0.019,0.03,-0.02,-0.009,0.004,0.016,0.026
1884.5,1884,1885,-0.228,-0.203,-0.17,-0.141,-0.118,0.017,0.028,0.042,0.056,0.065,-0.071,-0.055,-0.037,-0.018,-0.006,-0.228,-0.2,-0.166,-0.133,-0.106,-0.021,-0.009,0.004,0.018,0.029
