time,timebound_lower,timebound_upper,ghg_p05,ghg_p17,ghg_p50,ghg_p83,ghg_p95,natural_p05,natural_p17,natural_p50,natural_p83,natural_p95,other_human_forcing_p05,other_human_forcing_p17,other_human_forcing_p50,other_human_forcing_p83,other_human_forcing_p95,anthropogenic_p05,anthropogenic_p17,anthropogenic_p50,anthropogenic_p83,anthropogenic_p95,total_p05,total_p17,total_p50,total_p83,total_p95,residual_p05,residual_p17,residual_p50,residual_p83,residual_p95
1946,1941,1951,0.003170755,0.003655914,0.004283044,0.004904089,0.005412169,-0.000917055,-0.000550794,-0.000107265,0.000274203,0.000726086,-0.001565784,-0.001141787,-0.000576249,8.05E-05,0.000782467,0.002901667,0.003183609,0.003644468,0.004395238,0.005019621,0.002402156,0.002897664,0.003570626,0.004381204,0.005151565,-0.05415361,-0.047222109,-0.03471612,-0.021884159,-0.009867962
1947,1942,1952,0.002983282,0.003453907,0.004067422,0.004682262,0.005178161,0.000316723,0.000787899,0.00156823,0.0024781,0.003251753,-0.001551103,-0.001114224,-0.000581659,5.39E-05,0.000795884,0.002679765,0.002978852,0.003441355,0.004154055,0.004805857,0.003660788,0.00418412,0.00506507,0.006168668,0.007170702,-0.049063277,-0.042317337,-0.030666943,-0.019531635,-0.01031226
1948,1943,1953,0.002890515,0.003340854,0.003933602,0.004538116,0.005024398,0.000725917,0.001815242,0.00332959,0.004698215,0.005722038,-0.0018047,-0.001371782,-0.000833832,-0.000198204,0.000555467,0.002194439,0.002556048,0.003075254,0.003814101,0.00453814,0.003824552,0.004909861,0.006418262,0.007960166,0.009235581,-0.039773125,-0.035196077,-0.024966472,-0.013581557,-0.005801706
1949,1944,1954,0.002923337,0.003350896,0.003916806,0.004506043,0.004985645,0.000876052,0.002193831,0.003983356,0.005479262,0.00653512,-0.002458851,-0.001971249,-0.001324593,-0.000637119,0.000137599,0.00150221,0.001971114,0.002585358,0.003328676,0.004098882,0.003438635,0.004751132,0.006531851,0.00824846,0.009589958,-0.025481709,-0.021955499,-0.013173183,-0.004299533,0.002475905
1950,1945,1955,0.00306664,0.003480449,0.004022051,0.00459479,0.005071194,0.000670828,0.001677148,0.003024547,0.004191501,0.005018569,-0.003451048,-0.002782387,-0.001973185,-0.001153768,-0.000346634,0.000710711,0.001300537,0.002062119,0.002840663,0.003549614,0.002442829,0.003520262,0.00502476,0.006525077,0.007673386,-0.012182605,-0.009015923,-0.003016453,0.004280274,0.010846218
1951,1946,1956,0.003273953,0.00368862,0.004218486,0.00478158,0.005259813,0.000411299,0.001009278,0.001925606,0.002808291,0.003424338,-0.004419835,-0.003566162,-0.002592177,-0.001600752,-0.000862659,4.78E-05,0.000755739,0.001652902,0.002500036,0.003142739,0.00125149,0.002250946,0.003558716,0.004855895,0.005818349,-0.009845849,-0.006715626,-0.000138096,0.008067212,0.013588734
1952,1947,1957,0.003518321,0.003945533,0.004478101,0.005044624,0.005532589,0.000196137,0.000551542,0.001241131,0.001945812,0.002449616,-0.005200489,-0.004203299,-0.003084861,-0.001967497,-0.001187382,-0.000353301,0.000438872,0.001419587,0.002327239,0.002949808,0.0004098,0.001423313,0.002676981,0.003870146,0.004744892,-0.018363901,-0.015077725,-0.008487503,-0.001888866,0.004561118
1953,1948,1958,0.003791661,0.004239729,0.004786819,0.005371868,0.00587921,-0.000265788,3.65E-05,0.000459585,0.000919968,0.001267155,-0.006013314,-0.004845592,-0.003562295,-0.002320571,-0.001437155,-0.000723548,0.000177756,0.001245187,0.002222546,0.002868898,-0.00059219,0.000475401,0.001742608,0.002861402,0.003629273,-0.010018694,-0.00689877,-0.001494725,0.004343035,0.009781937
1954,1949,1959,0.004078807,0.004552946,0.005124999,0.005740954,0.006275721,-0.000753519,-0.000366272,-3.30E-05,0.000220695,0.000455657,-0.006732684,-0.00547402,-0.004035377,-0.002650971,-0.001646737,-0.00099253,-4.59E-05,0.001107115,0.002176948,0.00288447,-0.00129286,-0.000246688,0.001051274,0.002211505,0.002981266,-0.003850893,-0.001165577,0.003457347,0.008424583,0.012031478
1955,1950,1960,0.004361099,0.004863226,0.005466568,0.006119378,0.00668591,-0.000347616,-0.000103855,0.00013665,0.000507582,0.000888118,-0.007150426,-0.005922093,-0.004390115,-0.002893191,-0.001784333,-0.000970059,-9.00E-05,0.001094601,0.002226614,0.002999087,-0.000905411,2.54E-05,0.001290475,0.002489756,0.003334281,-0.004066753,-0.00163593,0.002693127,0.007790199,0.01041943
