time,timebounds_lower,timebounds_upper,ghg_p05,ghg_p17,ghg_p50,ghg_p83,ghg_p95,natural_p05,natural_p17,natural_p50,natural_p83,natural_p95,other_human_forcing_p05,other_human_forcing_p17,other_human_forcing_p50,other_human_forcing_p83,other_human_forcing_p95,anthropogenic_p05,anthropogenic_p17,anthropogenic_p50,anthropogenic_p83,anthropogenic_p95,total_p05,total_p17,total_p50,total_p83,total_p95,residual_p05,residual_p17,residual_p50,residual_p83,residual_p95,aerosol-cloud_interactions_p05,aerosol-cloud_interactions_p17,aerosol-cloud_interactions_p50,aerosol-cloud_interactions_p83,aerosol-cloud_interactions_p95,aerosol-radiation_interactions_p05,aerosol-radiation_interactions_p17,aerosol-radiation_interactions_p50,aerosol-radiation_interactions_p83,aerosol-radiation_interactions,bc_snow_p05,bc_snow_p17,bc_snow_p50,bc_snow_p83,bc_snow_p95,ch4_p05,ch4_p17,ch4_p50,ch4_p83,ch4_p95,co2_p05,co2_p17,co2_p50,co2_p83,co2_p95,contrails_p05,contrails_p17,contrails_p50,contrails_p83,contrails_p95,h2o_strat_p05,h2o_strat_p17,h2o_strat_p50,h2o_strat_p83,h2o_strat_p95,halogen_p05,halogen_p17,halogen_p50,halogen_p83,halogen_p95,land_use_p05,land_use_p17,land_use_p50,land_use_p83,land_use_p95,n2o_p05,n2o_p17,n2o_p50,n2o_p83,n2o_p95,o3_p05,o3_p17,o3_p50,o3_p83,o3_p95,solar_p05,solar_p17,solar_p50,solar_p83,solar_p95,volcanic_p05,volcanic_p17,volcanic_p50,volcanic_p83,volcanic_p95
1850.5,1850,1851,-0.06655252,-0.06118012,-0.05507367,-0.049222764,-0.042502932,0.000828465,0.0050893,0.020570863,0.039545734,0.051843901,0.012979169,0.019187218,0.032298081,0.060601075,0.084955927,-0.039088488,-0.033907753,-0.021654971,0.002907658,0.026034958,-0.032452415,-0.020383179,0.00333257,0.032976473,0.057338091,-0.201066882,-0.142918038,-0.074637474,-0.004937692,0.040830551,0.01081469,0.015434799,0.02679638,0.054935847,0.078965173,-0.003960027,0.00014031,0.003738983,0.007756779,0.011741097,-0.009300507,-0.005287591,-0.002375943,-0.000937692,-4.78E-05,-0.017813584,-0.015923645,-0.013565708,-0.011388947,-0.009864021,-0.043939669,-0.040483919,-0.03645954,-0.0324341,-0.027679513,0,0,0,0,0,-0.002531861,-0.001609888,-0.000726355,-0.000287198,-3.10E-05,-7.92E-08,-7.02E-08,-5.83E-08,-4.77E-08,-4.01E-08,0.003222492,0.005756033,0.011080909,0.020434461,0.032953542,-0.006319367,-0.005713809,-0.004980493,-0.004278733,-0.003680755,-0.019444981,-0.012037678,-0.006502263,-0.003520072,-0.002279726,0.000353175,0.001668769,0.004002998,0.007152644,0.009932864,-0.001330619,0.00183052,0.016383705,0.033471556,0.044029784
1851.5,1851,1852,-0.065213702,-0.059951448,-0.053969988,-0.048237658,-0.041652399,0.003897375,0.011627749,0.027750805,0.048078787,0.06187881,0.012821832,0.018912686,0.031755003,0.059173934,0.082842583,-0.038176917,-0.033101803,-0.02111016,0.00263927,0.025050987,-0.028327344,-0.014108874,0.011202353,0.041908289,0.066385342,-0.057984188,0.00474057,0.084860469,0.156526025,0.203097285,0.010693678,0.01526076,0.026440016,0.05372509,0.077072426,-0.003773026,0.000215088,0.003763842,0.00774358,0.011693095,-0.009072862,-0.00515864,-0.002318321,-0.000915357,-4.66E-05,-0.01750217,-0.015646647,-0.013330645,-0.011192142,-0.009693825,-0.042954945,-0.039578112,-0.03564625,-0.031711842,-0.027062272,0,0,0,0,0,-0.00248878,-0.001582599,-0.000714075,-0.000282379,-3.04E-05,-7.85E-08,-6.96E-08,-5.77E-08,-4.72E-08,-3.96E-08,0.003129194,0.005590802,0.010763901,0.019851401,0.032021862,-0.006250358,-0.005651433,-0.004926206,-0.004232138,-0.003640671,-0.019232126,-0.0119079,-0.006432929,-0.00348313,-0.002256391,0.000299701,0.001468606,0.003545565,0.006375053,0.008917348,0.003118591,0.009232205,0.023881296,0.042594435,0.054884085
1852.5,1852,1853,-0.06373002,-0.058586397,-0.052739964,-0.047138825,-0.040705213,0.005387812,0.015793092,0.033511125,0.05464161,0.069647238,0.012693644,0.018752757,0.031634108,0.059187803,0.083102441,-0.037089411,-0.032059318,-0.019982272,0.003939816,0.026517346,-0.025189384,-0.009027751,0.01800919,0.050081174,0.075443584,-0.005837071,0.045777136,0.117877782,0.188518113,0.239434505,0.010678602,0.015271743,0.026616025,0.054146656,0.077617074,-0.003572622,0.000310411,0.003877893,0.007883967,0.011891508,-0.009024467,-0.005132022,-0.002306844,-0.000911508,-4.64E-05,-0.017208527,-0.015385526,-0.013109033,-0.011006423,-0.009533206,-0.041833778,-0.038544799,-0.034715786,-0.030884527,-0.026356392,0,0,0,0,0,-0.002448113,-0.001556858,-0.000702489,-0.000277835,-2.99E-05,-7.75E-08,-6.87E-08,-5.69E-08,-4.65E-08,-3.91E-08,0.003025577,0.005406877,0.010410999,0.019202342,0.030982176,-0.006152675,-0.005563257,-0.004849801,-0.004166951,-0.003584811,-0.019267904,-0.011931766,-0.006446871,-0.003491451,-0.002262412,0.00023387,0.00123797,0.003057162,0.005593253,0.007928582,0.004773027,0.013942536,0.030034205,0.049735533,0.06345465
1853.5,1853,1854,-0.062105288,-0.057090167,-0.051391236,-0.045933855,-0.039666925,0.004935662,0.01440154,0.030158457,0.049470739,0.063480181,0.012511967,0.018483692,0.031233049,0.058401006,0.082203502,-0.035949581,-0.031007723,-0.019036565,0.004572938,0.02697647,-0.024790685,-0.009795086,0.015353745,0.046056725,0.070925943,-0.048955676,0.011380812,0.080489171,0.142589109,0.194380131,0.010595391,0.015168513,0.0264923,0.053726926,0.077056428,-0.00337893,0.000392413,0.003937782,0.007942409,0.011959966,-0.008886558,-0.005053959,-0.002271831,-0.000897848,-4.57E-05,-0.016870493,-0.015083961,-0.012852478,-0.010791146,-0.009346797,-0.04063349,-0.037438328,-0.033719214,-0.029998555,-0.025600115,0,0,0,0,0,-0.002401232,-0.00152709,-0.000689071,-0.000272546,-2.94E-05,-7.64E-08,-6.77E-08,-5.60E-08,-4.58E-08,-3.84E-08,0.002915844,0.005211835,0.010036703,0.018513868,0.029877595,-0.006032658,-0.005454991,-0.004755969,-0.004086884,-0.00351632,-0.019162135,-0.01186729,-0.006412243,-0.003472949,-0.002250585,8.30E-05,0.000787285,0.002175841,0.004248652,0.006236715,0.004503758,0.013102712,0.027643817,0.045782772,0.058725328
1854.5,1854,1855,-0.060407154,-0.055527368,-0.049983805,-0.044677171,-0.038582787,0.001108137,0.00389114,0.013432785,0.02794254,0.03781346,0.012179055,0.017891854,0.029955929,0.055080626,0.077206427,-0.034949451,-0.030218624,-0.018968275,0.002734478,0.023447434,-0.029647968,-0.020410806,-0.001832134,0.023635707,0.045538777,-0.038116705,0.00338037,0.064955568,0.123784367,0.163804365,0.010275514,0.014680202,0.025385633,0.05056666,0.07236719,-0.003183933,0.000437733,0.003844251,0.007712325,0.011572806,-0.008425378,-0.004791001,-0.002153217,-0.000850378,-4.33E-05,-0.01648147,-0.01473637,-0.012556541,-0.010542728,-0.009131762,-0.03942781,-0.036327723,-0.032720491,-0.029111419,-0.024842539,0,0,0,0,0,-0.002347196,-0.001492741,-0.000673577,-0.000266425,-2.87E-05,-7.51E-08,-6.65E-08,-5.50E-08,-4.49E-08,-3.77E-08,0.002801933,0.005009064,0.009647324,0.017797659,0.028726924,-0.005891503,-0.005327526,-0.004645382,-0.003992487,-0.003435567,-0.018608094,-0.011522925,-0.00622576,-0.003371508,-0.00218446,-0.000835751,-0.000164268,0.000586994,0.001990796,0.003394429,0.001127067,0.003700022,0.012618668,0.026447124,0.035694297
1855.5,1855,1856,-0.05869054,-0.053949477,-0.048565,-0.04341069,-0.037488852,-0.003852499,-0.000498098,0.00850439,0.019943026,0.028256802,0.011867074,0.017305894,0.028666587,0.051641141,0.072032384,-0.033930279,-0.029423335,-0.018895519,0.00080234,0.019814257,-0.031959173,-0.024189281,-0.008049859,0.014418417,0.034170028,-0.012935816,0.020852645,0.06974362,0.127288935,0.190968484,0.009920882,0.014145807,0.024205066,0.04718751,0.067380013,-0.002950317,0.000508881,0.003762709,0.007492801,0.011191969,-0.00791041,-0.004497758,-0.002020974,-0.000797616,-4.06E-05,-0.016046421,-0.014347358,-0.012225163,-0.010264645,-0.008890985,-0.038263694,-0.035256745,-0.031759307,-0.028258162,-0.024113262,0,0,0,0,0,-0.002286654,-0.001454262,-0.000656214,-0.000259558,-2.80E-05,-7.37E-08,-6.53E-08,-5.40E-08,-4.40E-08,-3.69E-08,0.002684684,0.00480028,0.009246191,0.017059603,0.027540888,-0.005733561,-0.005184841,-0.004521403,-0.003886527,-0.003344882,-0.017939522,-0.011107917,-0.006001062,-0.003249516,-0.002105119,-0.004244407,-0.002695319,-0.001151802,-0.000113782,0.000575493,-0.001801457,0.000913477,0.009664072,0.021351426,0.029546554
1856.5,1856,1857,-0.056951113,-0.052352278,-0.047129801,-0.042129595,-0.036381744,0.001216862,0.005369252,0.016284146,0.030196824,0.039849418,0.011573082,0.016847289,0.027857192,0.049887529,0.069549633,-0.032839127,-0.028479093,-0.018290357,0.000552113,0.018805008,-0.026872088,-0.017161988,0.000990762,0.024289514,0.04382457,-0.07616235,-0.029137642,0.025681969,0.082626169,0.118857066,0.009712857,0.01385113,0.023656406,0.045750588,0.065228252,-0.00275452,0.000573855,0.003752615,0.007418335,0.011054816,-0.007643371,-0.004346066,-0.001953175,-0.000771206,-3.93E-05,-0.015576855,-0.013927454,-0.011867431,-0.009964425,-0.008631104,-0.037123911,-0.034209076,-0.030819437,-0.027423698,-0.023399843,0,0,0,0,0,-0.00222129,-0.001412687,-0.000637449,-0.000252138,-2.72E-05,-7.23E-08,-6.40E-08,-5.29E-08,-4.31E-08,-3.61E-08,0.002564753,0.004586618,0.00883566,0.016304152,0.026325626,-0.005561448,-0.005029193,-0.004386064,-0.003770704,-0.003245621,-0.017611702,-0.010905971,-0.005892578,-0.003191148,-0.002067704,-0.008096272,-0.005665299,-0.003103276,-0.001234755,-0.000267663,0.002806545,0.008264927,0.019922059,0.034522524,0.044788286
1857.5,1857,1858,-0.055102439,-0.05065305,-0.045601271,-0.040764845,-0.035202649,-0.019351191,-0.011364836,-0.001664087,0.003578517,0.007986082,0.011287523,0.016337423,0.026815366,0.04730413,0.065717575,-0.03167013,-0.027498649,-0.017848141,-0.000420168,0.016589308,-0.039644274,-0.032031707,-0.020293932,-0.002437721,0.014358577,-0.200382416,-0.153402299,-0.088840041,-0.027123414,0.019501571,0.009431433,0.0134358,0.022782424,0.043334225,0.061656824,-0.002556261,0.000639009,0.003703352,0.007267571,0.010789012,-0.007253208,-0.004124024,-0.001853258,-0.000731568,-3.73E-05,-0.015081856,-0.013484783,-0.011490386,-0.00964798,-0.008357087,-0.035905842,-0.033087948,-0.029811293,-0.026527607,-0.022634889,0,0,0,0,0,-0.002152281,-0.001368814,-0.000617641,-0.000244305,-2.63E-05,-7.07E-08,-6.26E-08,-5.17E-08,-4.21E-08,-3.53E-08,0.00244262,0.004368775,0.008417105,0.015533716,0.025085914,-0.005382323,-0.00486718,-0.004244968,-0.003649765,-0.003141802,-0.017033837,-0.010547758,-0.005698754,-0.003086039,-0.00199945,-0.009521349,-0.006807087,-0.003867516,-0.00165511,-0.000475232,-0.012737451,-0.006747192,0.000440663,0.007812595,0.012789967
1858.5,1858,1859,-0.053091557,-0.048802546,-0.043934754,-0.039276278,-0.033918023,-0.056297036,-0.042795505,-0.026952167,-0.013520112,-0.004766738,0.011134552,0.015888184,0.025646876,0.043829061,0.060335925,-0.030283572,-0.026344592,-0.017436322,-0.002101329,0.013086997,-0.071578637,-0.058456614,-0.042395384,-0.026565985,-0.013265044,-0.104347904,-0.05718637,0.002000722,0.063918249,0.115336726,0.009073966,0.012899559,0.02155814,0.039697619,0.056275645,-0.002280847,0.000743903,0.003649843,0.007086978,0.010446307,-0.006678588,-0.003796506,-0.001705341,-0.000672462,-3.43E-05,-0.014546446,-0.013005678,-0.0110821,-0.009305248,-0.008060391,-0.034562197,-0.031849144,-0.028695145,-0.025535048,-0.021787914,0,0,0,0,0,-0.002077559,-0.001321261,-0.000596168,-0.00023581,-2.54E-05,-6.92E-08,-6.12E-08,-5.06E-08,-4.11E-08,-3.45E-08,0.002318503,0.004147395,0.00799154,0.014750211,0.023824528,-0.005204993,-0.004706714,-0.004105135,-0.00352973,-0.003038608,-0.016030334,-0.009923843,-0.005360302,-0.002902022,-0.001879287,-0.007078012,-0.004961659,-0.002760555,-0.00113521,-0.000265483,-0.051304748,-0.038366694,-0.02374783,-0.011779144,-0.004165047
1859.5,1859,1860,-0.050922792,-0.046805526,-0.042135367,-0.037668424,-0.032530563,-0.033627984,-0.023276268,-0.012750534,-0.00591698,-0.002138395,0.010843812,0.0153246,0.024448493,0.0408198,0.055737817,-0.028880204,-0.025165633,-0.016921915,-0.003190206,0.010436471,-0.049144618,-0.040278342,-0.029805419,-0.017063285,-0.004480857,6.20E-05,0.036074776,0.094024024,0.152039044,0.206804683,0.008727078,0.012384001,0.020462032,0.036759785,0.051920257,-0.002085333,0.000800934,0.003564974,0.006881683,0.010090293,-0.006222783,-0.003537158,-0.001588699,-0.000626314,-3.19E-05,-0.013965853,-0.012485926,-0.01063899,-0.008933127,-0.007738201,-0.033116039,-0.030515163,-0.027492382,-0.024465142,-0.020875279,0,0,0,0,0,-0.001996391,-0.001269577,-0.000572843,-0.00022657,-2.44E-05,-6.76E-08,-5.98E-08,-4.93E-08,-4.01E-08,-3.36E-08,0.002192651,0.003922808,0.007559856,0.013955428,0.022544545,-0.005013346,-0.004533265,-0.003953964,-0.003399936,-0.00292704,-0.015247759,-0.00943869,-0.005097864,-0.002759824,-0.001787138,-0.002298214,-0.001273263,-0.000291556,0.00045708,0.001231075,-0.032615668,-0.022731573,-0.012429016,-0.005689326,-0.002052065
