time,timebound_lower,timebound_upper,natural_p05,natural_p17,natural_p50,natural_p83,natural_p95,ghg_p05,ghg_p17,ghg_p50,ghg_p83,ghg_p95,other_human_forcings_p05,other_human_forcings_p17,other_human_forcings_p50,other_human_forcings_p83,other_human_forcings_p95,anthropogenic_p05,anthropogenic_p17,anthropogenic_p50,anthropogenic_p83,anthropogenic_p95,total_p05,total_p17,total_p50,total_p83,total_p95,residual_p05,residual_p17,residual_p50,residual_p83,residual_p95
1850.5,1850,1851,-0.018257193,-0.009345162,0.011906603,0.025885838,0.033733488,-0.064469666,-0.058373028,-0.052736707,-0.048215363,-0.044570219,0.004826642,0.008316029,0.016059084,0.028063722,0.042075714,-0.045432888,-0.042355154,-0.036571091,-0.027700986,-0.016929091,-0.131612298,-0.101753067,-0.060594685,-0.017633549,0.014286371,-0.129386544,-0.076771432,-0.004604202,0.059102271,0.110492202
1851.5,1851,1852,-0.007978464,-0.000995737,0.018322272,0.033279197,0.041937405,-0.063172103,-0.057200857,-0.05168101,-0.047250316,-0.043678049,0.004710607,0.008142861,0.015765478,0.027560294,0.041288838,-0.044513815,-0.041495119,-0.035817172,-0.027084024,-0.016521657,-0.122263447,-0.0929233,-0.052215016,-0.009428441,0.022493609,0.030828682,0.095620771,0.186381869,0.259285584,0.312161188
1852.5,1852,1853,-0.000799356,0.005140604,0.022796514,0.038338713,0.047430146,-0.061731402,-0.055897199,-0.050503807,-0.046176057,-0.042687532,0.004590109,0.008025749,0.015745373,0.027818837,0.042139484,-0.043410711,-0.040420382,-0.034686277,-0.025596807,-0.014234761,-0.115004415,-0.085934638,-0.045577902,-0.002820411,0.029146117,0.002681319,0.105174737,0.174646772,0.244476828,0.306661966
1853.5,1853,1854,0.004433365,0.010241833,0.026556073,0.042212721,0.051631888,-0.06015157,-0.054467134,-0.049212655,-0.044998161,-0.04160361,0.004469623,0.007882371,0.015586483,0.02772667,0.04228572,-0.042226494,-0.039283916,-0.033575606,-0.024338316,-0.012578245,-0.109085125,-0.080179758,-0.040208511,0.002448327,0.034311981,0.011354571,0.052346379,0.123299606,0.186733966,0.233407618
1854.5,1854,1855,0.008453805,0.014362912,0.029454986,0.044945781,0.054499048,-0.05850111,-0.052972984,-0.047865747,-0.043769341,-0.040471785,0.004349591,0.007634468,0.014967514,0.026354051,0.03973847,-0.041096747,-0.038263463,-0.03284036,-0.024258332,-0.013755789,-0.104647405,-0.075923031,-0.036554279,0.005673695,0.036968217,0.01027068,0.045465458,0.100634176,0.156725638,0.199187891
1855.5,1855,1856,-0.005610519,-0.002127056,0.010444048,0.02081373,0.027672068,-0.056834694,-0.051466067,-0.04650734,-0.04253008,-0.039327189,0.004257775,0.007404557,0.014353465,0.024989825,0.037173329,-0.039951202,-0.037224949,-0.032090832,-0.024167858,-0.014848238,-0.121482289,-0.093371447,-0.056370564,-0.015699344,0.012778573,0.023697011,0.058660267,0.107216161,0.154029732,0.201903649
1856.5,1856,1857,-0.033093479,-0.025565425,-0.012978623,-0.005392597,-0.000218328,-0.055147321,-0.049941456,-0.04513306,-0.04127527,-0.038167164,0.004120081,0.00720164,0.01400095,0.024394063,0.036314709,-0.038744134,-0.036090888,-0.031078899,-0.02330251,-0.01417179,-0.144566162,-0.116139048,-0.08003905,-0.039988771,-0.013754639,0.018300754,0.059902967,0.124733079,0.175435774,0.210196123
1857.5,1857,1858,-0.027268353,-0.019841148,-0.008157407,-0.001726248,0.00124743,-0.053353395,-0.048318548,-0.043669401,-0.039939205,-0.036932547,0.004020862,0.007001696,0.013528794,0.02343627,0.034631361,-0.037459333,-0.034896185,-0.030089491,-0.022710128,-0.014232272,-0.138997108,-0.110684477,-0.075012878,-0.035131525,-0.009273732,-0.134919602,-0.096949927,-0.039150603,0.023889087,0.085792972
1858.5,1858,1859,-0.010716281,-0.00450758,0.006636268,0.013071487,0.017017892,-0.051402998,-0.046551602,-0.042073714,-0.038483776,-0.035589114,0.004031722,0.006879951,0.013015617,0.022199321,0.032152932,-0.036010951,-0.033541836,-0.029011004,-0.02226722,-0.014853594,-0.122663139,-0.094679665,-0.059021747,-0.019134106,0.007441576,-0.057396852,-0.020512871,0.028508563,0.076215456,0.113340307
1859.5,1859,1860,0.003360516,0.00792202,0.018686197,0.027525034,0.032926195,-0.049297443,-0.044643683,-0.040350422,-0.036911878,-0.03413945,0.003939616,0.006665492,0.012451458,0.021038382,0.030055919,-0.034487367,-0.032126788,-0.027859046,-0.021622973,-0.014942629,-0.108174454,-0.080332343,-0.044391917,-0.004379859,0.023068898,0.035223885,0.063803065,0.119526025,0.180944587,0.217787074
