Compound emitted,Total_p5,Total_p50,Total_p95,CO2,CH4,N2O,CFC+HCFC+other,HFC,Ozone,Strat H2O,ARI,ACI,LAPSI,Land use
CO2,0.835,1.097,1.478,1.134,-0.01,-0.001,0,0,-0.025,-0.001,0,0,0,0
CH4,0.39,0.559,0.831,0.042,0.328,-0.005,0,0,0.16,0.035,-0.002,0,0,0
N2O,0.086,0.121,0.179,0.003,-0.016,0.11,0,0,0.027,-0.002,-0.001,0,0,0
CFC+HCFC+HFC,0.099,0.188,0.298,0.007,0.005,0,0.173,0.025,-0.023,0.001,0,0,0,0
NOx,-0.3,-0.185,-0.098,-0.004,-0.124,0.002,0,0,-0.041,-0.016,-0.003,0,0,0
NMVOC+CO,0.07,0.122,0.199,0.044,0.032,-0.001,0,0,0.045,0.004,-0.002,0,0,0
SO2,-1.016,-0.438,-0.161,-0.016,0.006,0,0,0,0.012,0.001,-0.115,-0.325,0,0
Organic carbon,-0.131,-0.068,-0.028,-0.003,0.001,0,0,0,0.003,0,-0.039,-0.03,0,0
Black carbon,0.014,0.085,0.164,-0.006,0.001,0,0,0,0.002,0,0.066,-0.014,0.035,0
Ammonia,-0.028,-0.019,-0.014,0,0,0,0,0,0.001,0,-0.02,0,0,0
