time,timebound_lower,timebound_upper,Multi-method mean
1900.5,1900,1901,0.041023886
1901.5,1901,1902,0.042568902
1902.5,1902,1903,0.039703838
1903.5,1903,1904,0.036072464
1904.5,1904,1905,0.034907057
1905.5,1905,1906,0.034344221
1906.5,1906,1907,0.027443516
1907.5,1907,1908,0.026154352
1908.5,1908,1909,0.025774483
1909.5,1909,1910,0.026094121
1910.5,1910,1911,0.029229858
1911.5,1911,1912,0.027968545
1912.5,1912,1913,0.033150843
1913.5,1913,1914,0.036854984
1914.5,1914,1915,0.036999542
1915.5,1915,1916,0.037042221
1916.5,1916,1917,0.041485406
1917.5,1917,1918,0.053139269
1918.5,1918,1919,0.058650156
1919.5,1919,1920,0.061217977
1920.5,1920,1921,0.067399199
1921.5,1921,1922,0.071573108
1922.5,1922,1923,0.080830086
1923.5,1923,1924,0.087471859
1924.5,1924,1925,0.08997709
1925.5,1925,1926,0.092698799
1926.5,1926,1927,0.095143786
1927.5,1927,1928,0.101180028
1928.5,1928,1929,0.107234063
1929.5,1929,1930,0.11180911
1930.5,1930,1931,0.113106216
1931.5,1931,1932,0.111459992
1932.5,1932,1933,0.116588881
1933.5,1933,1934,0.121534626
1934.5,1934,1935,0.123903175
1935.5,1935,1936,0.124176368
1936.5,1936,1937,0.127842697
1937.5,1937,1938,0.134795454
1938.5,1938,1939,0.139446021
1939.5,1939,1940,0.13706159
1940.5,1940,1941,0.133831357
1941.5,1941,1942,0.130153746
1942.5,1942,1943,0.128602701
1943.5,1943,1944,0.133042273
1944.5,1944,1945,0.139179086
1945.5,1945,1946,0.142321183
1946.5,1946,1947,0.141969278
1947.5,1947,1948,0.145180468
1948.5,1948,1949,0.156739182
1949.5,1949,1950,0.166687615
1950.5,1950,1951,0.171056297
1951.5,1951,1952,0.172808997
1952.5,1952,1953,0.174604792
1953.5,1953,1954,0.173322613
1954.5,1954,1955,0.173588159
1955.5,1955,1956,0.176394991
1956.5,1956,1957,0.176108896
1957.5,1957,1958,0.176247636
1958.5,1958,1959,0.18074438
1959.5,1959,1960,0.18423465
1960.5,1960,1961,0.186378522
1961.5,1961,1962,0.184270329
1962.5,1962,1963,0.18636233
1963.5,1963,1964,0.194619642
1964.5,1964,1965,0.200472648
1965.5,1965,1966,0.202516454
1966.5,1966,1967,0.204077525
1967.5,1967,1968,0.207352939
1968.5,1968,1969,0.211155566
1969.5,1969,1970,0.217167008
1970.5,1970,1971,0.224118393
1971.5,1971,1972,0.232225425
1972.5,1972,1973,0.23873196
1973.5,1973,1974,0.247681955
1974.5,1974,1975,0.259334172
1975.5,1975,1976,0.273563835
1976.5,1976,1977,0.285976593
1977.5,1977,1978,0.300240504
1978.5,1978,1979,0.317386536
1979.5,1979,1980,0.327036814
1980.5,1980,1981,0.338079262
1981.5,1981,1982,0.351651019
1982.5,1982,1983,0.37434589
1983.5,1983,1984,0.395332262
1984.5,1984,1985,0.412270042
1985.5,1985,1986,0.430678417
1986.5,1986,1987,0.448925747
1987.5,1987,1988,0.467181514
1988.5,1988,1989,0.48932372
1989.5,1989,1990,0.512664019
1990.5,1990,1991,0.532695427
1991.5,1991,1992,0.55205244
1992.5,1992,1993,0.575374928
1993.5,1993,1994,0.597436441
1994.5,1994,1995,0.614045771
1995.5,1995,1996,0.630829031
1996.5,1996,1997,0.647430317
1997.5,1997,1998,0.670452884
1998.5,1998,1999,0.691750383
1999.5,1999,2000,0.714261213
2000.5,2000,2001,0.734447954
2001.5,2001,2002,0.754890306
2002.5,2002,2003,0.778287866
2003.5,2003,2004,0.805492039
2004.5,2004,2005,0.82933612
2005.5,2005,2006,0.848823271
2006.5,2006,2007,0.869479729
2007.5,2007,2008,0.89178447
2008.5,2008,2009,0.91560647
2009.5,2009,2010,0.937465865
2010.5,2010,2011,0.954898237
2011.5,2011,2012,0.977872883
2012.5,2012,2013,1.004654004
2013.5,2013,2014,1.029935934
2014.5,2014,2015,1.051185285
2015.5,2015,2016,1.069691162
2016.5,2016,2017,1.090484631
2017.5,2017,2018,1.118625249
2018.5,2018,2019,1.153192476
2019.5,2019,2020,1.181746911
2020.5,2020,2021,1.209924331
2021.5,2021,2022,1.241689184
2022.5,2022,2023,1.271509464
2023.5,2023,2024,1.301707696
2024.5,2024,2025,1.336882751
2025.5,2025,2026,1.36803925
