Compound emitted,Total_p5,Total_p50,Total_p95,CO2,CH4,N2O,CFC+HCFC+other,HFC,Ozone,Strat H2O,ARI,ACI,LAPSI,Land use
CO2,1.913,2.216,2.533,2.295,-0.021,-0.002,0,0,-0.054,-0.003,0,0,0,0
CH4,0.889,1.063,1.233,0.078,0.638,-0.009,0,0,0.301,0.059,-0.004,0,0,0
N2O,0.195,0.242,0.287,0.003,-0.034,0.222,0,0,0.055,-0.004,-0.003,0,0,0
CFC+HCFC+HFC,0.221,0.375,0.532,0.01,0.01,0,0.354,0.052,-0.053,0.001,0,0,0,0
NOx,-0.561,-0.408,-0.257,-0.009,-0.288,0.004,0,0,-0.067,-0.042,-0.006,0,0,0
NMVOC+CO,0.152,0.229,0.31,0.085,0.059,-0.001,0,0,0.081,0.007,-0.002,0,0,0
SO2,-1.629,-0.906,-0.41,-0.046,0.014,0,0,0,0.028,0.002,-0.218,-0.685,0,0
Organic carbon,-0.223,-0.142,-0.067,-0.006,0.003,0,0,0,0.007,0,-0.084,-0.062,0,0
Black carbon,0.028,0.178,0.329,-0.011,0.002,0,0,0,0.005,0,0.133,-0.032,0.081,0
Ammonia,-0.044,-0.039,-0.034,-0.001,0,0,0,0,0.001,0,-0.039,0,0,0
