time,timebound_lower,timebound_upper,solar,volcanic,aerosol-radiation_interactions,aerosol-cloud_interactions,contrails,land_use,BC_on_snow,CO2,CH4,N2O,HFC-134a,HFC-23,HFC-32,HFC-125,HFC-143a,HFC-152a,HFC-227ea,HFC-236fa,HFC-245fa,HFC-365mfc,HFC-43-10mee,NF3,SF6,SO2F2,CF4,C2F6,C3F8,c-C4F8,CFC-12,CFC-11,CFC-113,CFC-114,CFC-115,CFC-13,HCFC-22,HCFC-141b,HCFC-142b,CH3CCl3,CCl4,CH3Cl,CH3Br,CH2Cl2,CHCl3,Halon-1211,Halon-1301,Halon-2402,n-C4F10,n-C5F12,n-C6F14,i-C6F14,C7F16,C8F18,CFC-112,CFC-112a,CFC-113a,CFC-114a,HCFC-133a,HCFC-31,HCFC-124,O3,H2O_stratospheric
1750.5,1750,1751,0.02159121,0.234943996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1751.5,1751,1752,0.000780029,0.243453584,0.00063088,0.003830106,0,-0.000102748,-0.000373548,0.001417292,0.00050833,7.45E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.96E-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000441436,3.45E-05
1752.5,1752,1753,-0.009079541,0.240777285,0.001155533,0.005575433,0,-0.000208278,-0.000498196,0.002834247,0.001016353,0.000148952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000409538,6.90E-05
1753.5,1753,1754,-0.023619287,0.096083654,0.000637431,0.003859007,0,-0.000316458,-0.000373606,0.004250863,0.00152407,0.000223415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.39E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000148817,0.000103439
1754.5,1754,1755,-0.042745605,-0.028037303,-0.000531038,-0.000976127,0,-0.000427292,5.40E-05,0.005667143,0.00203148,0.00029787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.18E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000746417,0.000137919
1755.5,1755,1756,-0.052807983,0.108280664,0.000479028,0.000156222,0,-0.000540779,5.87E-05,0.007083086,0.002538584,0.000372317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.98E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001037109,0.000172398
1756.5,1756,1757,-0.05380642,-0.031328236,0.000482264,0.003795751,0,-0.000656862,-0.000398297,0.008498691,0.003045384,0.000446755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.77E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000207768,0.000206878
1757.5,1757,1758,-0.029968726,0.19376902,2.72E-05,-0.005437454,0,-0.000775529,0.000820756,0.00991396,0.003551878,0.000521185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.57E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00275513,0.000241358
1758.5,1758,1759,-0.009531958,0.23755941,0.000232809,-0.002010205,0,-0.000896742,0.000409323,0.011328892,0.004058068,0.000595607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.37E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002334504,0.000275837
1759.5,1759,1760,-0.001700464,0.240744971,-0.000103893,-0.002647809,0,-0.001020472,0.000365449,0.012743487,0.004563954,0.00067002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.16E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002102206,0.000310317
1760.5,1760,1761,0.004430566,0.086899665,-0.001037109,-0.00558696,0,-0.001152944,0.000534438,0.014157747,0.005069537,0.000744425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.96E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002476285,0.000344797
