time,timebound_lower,timebound_upper,solar,volcanic,aerosol-radiation_interactions,aerosol-cloud_interactions,contrails,land_use,BC_on_snow,CO2,CH4,N2O,HFC-134a,HFC-23,HFC-32,HFC-125,HFC-143a,HFC-152a,HFC-227ea,HFC-236fa,HFC-245fa,HFC-365mfc,HFC-43-10mee,NF3,SF6,SO2F2,CF4,C2F6,C3F8,c-C4F8,CFC-12,CFC-11,CFC-113,CFC-114,CFC-115,CFC-13,HCFC-22,HCFC-141b,HCFC-142b,CH3CCl3,CCl4,CH3Cl,CH3Br,CH2Cl2,CHCl3,Halon-1211,Halon-1301,Halon-2402,n-C4F10,n-C5F12,n-C6F14,i-C6F14,C7F16,C8F18,CFC-112,CFC-112a,CFC-113a,CFC-114a,HCFC-133a,HCFC-31,HCFC-124,O3,H2O_stratospheric
1750.5,1750,1751,0.032366127,0.294038412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1751.5,1751,1752,0.001248488,0.304688379,0.001667931,0.020479888,0,1.79E-05,9.94E-07,0.001586732,0.000609735,8.50E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.22E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000221031,6.88E-05
1752.5,1752,1753,-0.004541358,0.301338922,0.002717046,0.032643241,0,3.16E-05,1.33E-06,0.003173086,0.001219102,0.000169976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.43E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000205059,0.000137502
1753.5,1753,1754,-0.01188356,0.120251148,0.001682224,0.02071459,0,4.11E-05,9.94E-07,0.004759062,0.001828101,0.000254949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.65E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.45E-05,0.000206253
1754.5,1754,1755,-0.021530251,-0.020968785,-0.000139879,-0.000120092,0,4.66E-05,0.000121178,0.006344661,0.002436733,0.000339913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.87E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001119632,0.000275004
1755.5,1755,1756,-0.0265918,0.135516017,0.000759403,0.006399009,0,4.78E-05,0.000131776,0.007929882,0.003044998,0.000424868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.09E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001555672,0.000343755
1756.5,1756,1757,-0.027074148,-0.023430038,0.001504497,0.01935994,0,4.56E-05,1.06E-06,0.009514725,0.003652897,0.000509813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.30E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000311654,0.000412506
1757.5,1757,1758,-0.014978956,0.242506878,0.001648247,-0.000481298,0,3.92E-05,0.001841313,0.011099192,0.00426043,0.000594748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.52E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004132718,0.000481257
1758.5,1758,1759,-0.004359333,0.29731167,0.000964141,-0.000246417,0,2.88E-05,0.000918289,0.012683282,0.004867598,0.000679674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.74E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003501776,0.000550008
1759.5,1759,1760,0.000785298,0.301298481,0.00065453,-0.000197061,0,1.60E-05,0.000819861,0.014266995,0.005474402,0.000764591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.10E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003153327,0.000618759
