time,timebound_lower,timebound_upper,OISST,OSTIA,CRW,ERA5,mean
1940.5,1940,1941,,,,21.16,21.16
1941.5,1941,1942,,,,20.48,20.48
1942.5,1942,1943,,,,12.15,12.15
1943.5,1943,1944,,,,9.05,9.05
1944.5,1944,1945,,,,18.82,18.82
1945.5,1945,1946,,,,19.38,19.38
1946.5,1946,1947,,,,13.6,13.6
1947.5,1947,1948,,,,13.1,13.1
1948.5,1948,1949,,,,11.38,11.38
1949.5,1949,1950,,,,15.43,15.43
1950.5,1950,1951,,,,13.95,13.95
1951.5,1951,1952,,,,16.03,16.03
1952.5,1952,1953,,,,13.86,13.86
1953.5,1953,1954,,,,12.26,12.26
1954.5,1954,1955,,,,8.35,8.35
1955.5,1955,1956,,,,8.18,8.18
1956.5,1956,1957,,,,11.32,11.32
1957.5,1957,1958,,,,11.99,11.99
1958.5,1958,1959,,,,14.18,14.18
1959.5,1959,1960,,,,10.68,10.68
1960.5,1960,1961,,,,13.22,13.22
1961.5,1961,1962,,,,15.03,15.03
1962.5,1962,1963,,,,12.26,12.26
1963.5,1963,1964,,,,19.62,19.62
1964.5,1964,1965,,,,12.57,12.57
1965.5,1965,1966,,,,13.93,13.93
1966.5,1966,1967,,,,14.14,14.14
1967.5,1967,1968,,,,12.37,12.37
1968.5,1968,1969,,,,16.75,16.75
1969.5,1969,1970,,,,24.27,24.27
1970.5,1970,1971,,,,13.15,13.15
1971.5,1971,1972,,,,10.71,10.71
1972.5,1972,1973,,,,22.7,22.7
1973.5,1973,1974,,,,24.01,24.01
1974.5,1974,1975,,,,16.76,16.76
1975.5,1975,1976,,,,11.88,11.88
1976.5,1976,1977,,,,14.85,14.85
1977.5,1977,1978,,,,21.96,21.96
1978.5,1978,1979,,,,18.17,18.17
1979.5,1979,1980,,,,25.23,25.23
1980.5,1980,1981,,,,24.91,24.91
1981.5,1981,1982,,,,22.83,22.83
1982.5,1982,1983,17.9,18.48,,30.47,22.29
1983.5,1983,1984,22.08,31.87,,38.49,30.81
1984.5,1984,1985,18.01,13.07,,28.3,19.79
1985.5,1985,1986,10.64,14.3,18.42,21.29,16.16
1986.5,1986,1987,12.65,15.71,19.79,22.61,17.69
1987.5,1987,1988,20.67,25.36,30.98,36.74,28.44
1988.5,1988,1989,17.32,20.71,23.68,28.69,22.6
1989.5,1989,1990,12.12,16.48,16.52,19.22,16.08
1990.5,1990,1991,14.31,24.01,21.58,24.22,21.03
1991.5,1991,1992,17.49,16.59,23.38,28.55,21.5
1992.5,1992,1993,15.84,17.71,19.5,20.65,18.42
1993.5,1993,1994,15.91,19.67,18.59,21.83,19
1994.5,1994,1995,14.67,20.16,18.84,17.86,17.88
1995.5,1995,1996,17.12,25.17,16.66,24.88,20.96
1996.5,1996,1997,15.86,21.05,17.01,22.74,19.16
1997.5,1997,1998,25.08,36.21,23.82,37.96,30.77
1998.5,1998,1999,31.88,45.79,30.54,51.94,40.04
1999.5,1999,2000,16.51,22.44,14.38,30.95,21.07
2000.5,2000,2001,16.62,19.94,13.14,28.93,19.66
2001.5,2001,2002,21.07,22.61,16.1,36.16,23.98
2002.5,2002,2003,22.5,27.49,18.89,34.04,25.73
2003.5,2003,2004,25,33.08,25.69,37.66,30.36
2004.5,2004,2005,22.02,26.93,21.26,29.64,24.96
2005.5,2005,2006,27.24,29.02,22.71,31.55,27.63
2006.5,2006,2007,23.59,25.48,19.85,29.1,24.5
2007.5,2007,2008,22.57,24.03,19.62,30.37,24.15
2008.5,2008,2009,22.24,23.5,23.02,30.46,24.8
2009.5,2009,2010,30.2,35.03,32.56,43.04,35.21
2010.5,2010,2011,38.09,44.99,42.2,52.06,44.34
2011.5,2011,2012,29.12,33.63,30.98,44.13,34.47
2012.5,2012,2013,25.6,26.52,27.89,38.81,29.71
2013.5,2013,2014,25.06,27.11,24.85,34.57,27.9
2014.5,2014,2015,37.1,36.5,33.68,40.83,37.03
2015.5,2015,2016,51.17,50.12,46.13,47.54,48.74
2016.5,2016,2017,56.06,56.04,55.36,65.9,58.34
2017.5,2017,2018,44.32,47.48,44.95,53.42,47.54
2018.5,2018,2019,40.38,42.67,43.68,53.02,44.94
2019.5,2019,2020,50.35,61.03,55.62,63.39,57.6
2020.5,2020,2021,51.59,58.74,54.68,60.79,56.45
2021.5,2021,2022,43.31,43.3,44.36,53.9,46.22
2022.5,2022,2023,50.28,49.25,50.12,62.87,53.13
2023.5,2023,2024,68.7,68.2,71.17,77.68,71.44
2024.5,2024,2025,78.83,74.67,84.3,87.88,81.42
2025.5,2025,2026,60.37,59.48,64.27,75.5,64.9
