time,timebound_lower,timebound_upper,solar,volcanic,aerosol-radiation_interactions,aerosol-cloud_interactions,contrails,land_use,BC_on_snow,CO2,CH4,N2O,HFC-134a,HFC-23,HFC-32,HFC-125,HFC-143a,HFC-152a,HFC-227ea,HFC-236fa,HFC-245fa,HFC-365mfc,HFC-43-10mee,NF3,SF6,SO2F2,CF4,C2F6,C3F8,c-C4F8,CFC-12,CFC-11,CFC-113,CFC-114,CFC-115,CFC-13,HCFC-22,HCFC-141b,HCFC-142b,CH3CCl3,CCl4,CH3Cl,CH3Br,CH2Cl2,CHCl3,Halon-1211,Halon-1301,Halon-2402,n-C4F10,n-C5F12,n-C6F14,i-C6F14,C7F16,C8F18,CFC-112,CFC-112a,CFC-113a,CFC-114a,HCFC-133a,HCFC-31,HCFC-124,O3,H2O_stratospheric
1750.5,1750,1751,0.09759026199289,0.246412469995941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1751.5,1751,1752,0.07924397293039,0.246419681231149,0.000206048534336,0.003052126651131,0,-7.33629446103519E-06,-0.000366433388989,0.001416791354592,0.000508281967061,7.39763113299658E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.95800959438715E-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000382910301054,4.67194742595279E-05
1752.5,1752,1753,0.04916604324289,0.246422103151364,0.000476099512894,0.004438863172055,0,-1.95634518960938E-05,-0.000492779664441,0.002833245132056,0.001016256735266,0.000147944524257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59160191887743E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00031835818177,9.3410711890648E-05
1753.5,1753,1754,0.012988284453827,0.246422920970861,-0.00010459362824,0.002512996885549,0,-3.66814723051759E-05,-0.000378711663067,0.004249361508732,0.001523924797432,0.000221904643257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.38740287834174E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.93040795174348E-05,0.000140073758191
1754.5,1754,1755,-0.021426608124298,-0.116728683632,-0.001168389594954,-0.002836161249255,0,-5.86903556882815E-05,2.76564030939117E-05,0.005665140660826,0.002031286645054,0.000295856672802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.18320383778046E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00072208932674,0.000186708658338
1755.5,1755,1756,-0.045903927460235,-0.004496550094288,-0.00031303643517,-0.000856536487337,0,-8.55901020454106E-05,2.61150114789801E-05,0.007080582764397,0.002538342768315,0.00036980061735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.97900479721917E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001051829457203,0.000233315457386
1756.5,1756,1757,-0.05348581222586,0.156275042949973,-0.000749168146079,0.001487945559313,0,-0.000117380711377,-0.000420822748174,0.008495687995375,0.003045093656088,0.000443736481354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.77480575665789E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000265119266749,0.000279894200272
1757.5,1757,1758,-0.034343893280548,0.215874996349917,-0.000939867494312,-0.008757377548028,0,-0.000154062183682,0.000748956158545,0.009910456529548,0.003551539795943,0.000517664269258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5706067161222E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002687157086196,0.000326444931811
1758.5,1758,1759,0.017013235625702,0.236149687510722,-0.000563575682005,-0.004459301162185,0,-0.000195634518961,0.000346014794771,0.011324888542568,0.004057681674148,0.000591583985498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.36640767556092E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002316902656386,0.0003729676967
1759.5,1759,1760,0.06751233230539,0.242971750536126,-0.001189249405044,-0.0057433183282,0,-0.000242097717214,0.000297617259374,0.012738984209947,0.004563519775679,0.000665495634501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.16220863499963E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002070586023664,0.000419462539514
