time,timebound_lower,timebound_upper,CO2,CH4,N2O,aerosol-radiation_interactions,aerosol-cloud_interactions,O3,contrails,land_use,BC_on_snow,H2O_stratospheric,solar,volcanic,aerosol,nonco2wmghg,halogen,anthro,total,minor
1750.5,1750,1751,0,0,0,0,0,0,0,0,0,0,0.049239136,0.152329821,0,0,0,0,0.230645322,0
1751.5,1751,1752,0.001246897,0.000406138,6.41E-05,-0.000405385,0.000303412,-0.000662352,0,-0.000271465,-0.00083803,-8.47E-08,0.039966453,0.177492009,0.00055078,0.000480141,3.73E-10,0.001554304,0.251989867,-0.000951493
1752.5,1752,1753,0.002493497,0.000812031,0.000128178,-0.000404579,0.000422575,-0.000614705,0,-0.00054207,-0.001117671,-1.69E-07,0.02478239,0.179545315,0.000986859,0.000960027,7.46E-10,0.00376576,0.235348212,-0.001364251
1753.5,1753,1754,0.0037398,0.001217678,0.000192257,-0.000406105,0.000309057,-0.000223366,0,-0.000811355,-0.000838161,-2.54E-07,0.006500926,0.068180251,0.00056231,0.001439659,1.12E-09,0.005566001,0.090409168,-0.001289858
1754.5,1754,1755,0.004985806,0.001623081,0.000256328,-0.000921021,-0.009262462,0.000373825,0,-0.001080746,-1.44E-07,-3.39E-07,-0.03216778,-0.090076003,-0.009805897,0.001919038,1.49E-09,-0.001447746,-0.10957064,-0.000903594
1755.5,1755,1756,0.006231515,0.00202824,0.000320392,0.000198324,-0.001544599,0.000519248,0,-0.001348503,-1.56E-07,-4.24E-07,-0.068829839,0.064535446,-0.001080823,0.002398163,1.87E-09,0.009183581,0.020694004,-0.001136941
1756.5,1756,1757,0.007476928,0.002433155,0.000384449,-0.000541445,0.000281489,0.000104036,0,-0.001615556,-0.000893553,-5.08E-07,-0.080193065,-0.044474959,0.000381626,0.002877036,2.24E-09,0.011087461,-0.101228932,-0.001967575
1757.5,1757,1758,0.008722045,0.002837826,0.000448499,-0.001589402,-0.026327065,0.001379506,0,-0.001881829,-2.18E-06,-5.93E-07,-0.051593345,0.144228798,-0.026346843,0.003355655,2.61E-09,-0.009532926,0.113292853,-0.001142573
1758.5,1758,1759,0.009966865,0.003242254,0.000512542,-0.000497827,-0.01122052,0.001168851,0,-0.002148947,-1.09E-06,-6.78E-07,0.008319538,0.177751603,-0.011029724,0.003834024,2.99E-09,0.006700828,0.208436335,-0.001562425
1759.5,1759,1760,0.01121139,0.00364644,0.000576577,-0.00085975,-0.012722861,0.001052652,0,-0.00241279,-9.73E-07,-7.62E-07,0.033937695,0.173456902,-0.012864764,0.00431214,3.36E-09,0.006468119,0.247008692,-0.001823318
1760.5,1760,1761,0.012455619,0.004050383,0.000640606,-0.002572114,-0.030423803,0.001240065,0,-0.002690316,-1.42E-06,-8.47E-07,0.04650982,0.03757428,-0.031536305,0.004790004,3.73E-09,-0.009667358,0.103344002,-0.001949246
1761.5,1761,1762,0.013699552,0.004454084,0.000704627,-0.001622582,-0.023905737,0.001582413,0,-0.002977965,-1.85E-06,-9.32E-07,0.04337955,-1.572215912,-0.024136596,0.005267618,4.10E-09,0.000331472,-1.472406074,-0.002097258
1762.5,1762,1763,0.014943189,0.004857543,0.000768641,-0.000686059,-0.007755702,0.001035802,0,-0.003268008,-4.05E-07,-1.02E-06,0.032217673,-0.740740127,-0.008056415,0.005744982,4.48E-09,0.016260286,-0.657705241,-0.002758739
1763.5,1763,1764,0.016186531,0.005260762,0.000832648,-0.000692618,-0.008828627,0.001292224,0,-0.003556108,-6.45E-07,-1.10E-06,0.015162244,-0.038436106,-0.009027367,0.006222085,4.85E-09,0.017593438,0.005795522,-0.002938449
1764.5,1764,1765,0.017429578,0.005663739,0.000896648,0.000129572,0.000335678,0.001005951,0,-0.003845846,-0.000656577,-1.19E-06,-0.010617762,0.12684163,0.001379276,0.006698951,5.22E-09,0.028013342,0.156300479,-0.00376271
1765.5,1765,1766,0.01867233,0.006066476,0.000960641,-0.001661815,-0.021098582,0.001708377,0,-0.004137995,-1.37E-06,-1.27E-06,-0.054082092,0.174221438,-0.021599208,0.007175594,5.60E-09,0.010173919,0.15933283,-0.003231267
1766.5,1766,1767,0.019914787,0.006468974,0.001024626,0.000150659,-0.008496019,0.001681104,0,-0.004429089,-8.55E-07,-1.36E-06,-0.075145706,-0.303210031,-0.007785804,0.007651992,5.97E-09,0.025400231,-0.324809951,-0.003646328
1767.5,1767,1768,0.021156949,0.006871231,0.001088605,-1.57E-05,-0.009546475,0.001779164,0,-0.004719258,-9.61E-07,-1.44E-06,-0.055586502,0.002254401,-0.008975254,0.008128146,6.34E-09,0.026296984,-0.019230433,-0.003870407
1768.5,1768,1769,0.022398817,0.007273249,0.001152576,-0.004031513,-0.054464447,0.002893457,0,-0.005006404,-3.87E-06,-1.52E-06,0.008695138,0.124998184,-0.055422963,0.008604055,6.72E-09,-0.014482008,0.153277547,-0.003421736
1769.5,1769,1770,0.02364039,0.007675028,0.00121654,-0.00205851,-0.027798855,0.002311577,0,-0.005296739,-2.04E-06,-1.61E-06,0.042880404,0.025565496,-0.028288016,0.009079721,7.09E-09,0.012276414,0.10438008,-0.004071571
1770.5,1770,1771,0.024881668,0.008076569,0.001280498,-0.002109828,-0.028815429,0.002461914,0,-0.00562303,-2.13E-06,-1.69E-06,0.058905891,0.134271391,-0.029282143,0.009555144,7.46E-09,0.013379894,0.253985435,-0.004334998
1771.5,1771,1772,0.026122653,0.008477872,0.001344448,0.000157661,-0.005855947,0.001991925,0,-0.005982327,-5.88E-07,-1.78E-06,0.055066601,0.175050628,-0.005235965,0.010030325,7.84E-09,0.03649718,0.307151545,-0.005134672
1772.5,1772,1773,0.027363344,0.008878936,0.001408391,0.000343754,-0.000536513,0.001862895,0,-0.00634051,-5.33E-08,-1.86E-06,0.043367034,0.182254726,0.000286747,0.010505263,8.21E-09,0.041248707,0.304472919,-0.005659896
1773.5,1773,1774,0.02860374,0.009279764,0.001472327,0.000326039,-0.003125545,0.001954801,0,-0.006697621,-3.15E-07,-1.95E-06,0.024908428,0.183416258,-0.002149161,0.01097989,8.58E-09,0.041719883,0.278653086,-0.005886964
1774.5,1774,1775,0.029843843,0.009680354,0.001536255,-0.003058365,-0.040123777,0.002853387,0,-0.007057981,-2.88E-06,-2.03E-06,0.002024527,0.183595194,-0.040902155,0.011454241,8.96E-09,0.010088206,0.22572552,-0.005432031
1775.5,1775,1776,0.031083653,0.010080708,0.001600177,-0.001200482,-0.027034987,0.002894114,0,-0.007419944,-2.67E-06,-2.12E-06,-0.040012463,0.183622042,-0.026562119,0.011928342,9.33E-09,0.026014411,0.200117415,-0.005812131
1776.5,1776,1777,0.032323169,0.010480825,0.001664092,-9.05E-05,-0.011837197,0.002315441,0,-0.007785308,-1.19E-06,-2.20E-06,-0.071189197,0.183626009,-0.011187283,0.01240225,9.70E-09,0.040986535,0.183753063,-0.006577215
1777.5,1777,1778,0.033562392,0.010880707,0.001727999,-0.001728307,-0.036838525,0.003246739,0,-0.008150179,-3.59E-06,-2.29E-06,-0.06563518,0.183626591,-0.036284213,0.012875946,1.01E-08,0.020861595,0.18038345,-0.0062321
1778.5,1778,1779,0.034801322,0.011280353,0.0017919,-0.003119937,-0.053426935,0.003803723,0,-0.00852101,-4.76E-06,-2.37E-06,-0.005664064,0.181402887,-0.05319494,0.013349404,1.04E-08,0.007578569,0.218703461,-0.006292096
