time,timebound_lower,timebound_upper,CO2,CH4,N2O,aerosol-radiation_interactions,aerosol-cloud_interactions,O3,contrails,land_use,BC_on_snow,H2O_stratospheric,solar,volcanic,aerosol,nonco2wmghg,halogen,anthro,total,minor,natural,wmghg,anthro_nonwmghg
1750.5,1750,1751,0,0,0,0,0,0,0,0,0,0,0.032366127,0.294038412,0,0,0,0,0.316673067,0,0.316673067,0,0
1751.5,1751,1752,0.001586732,0.000609735,8.50E-05,0.001667931,0.020479888,-0.000221031,0,1.79E-05,9.94E-07,6.88E-05,0.001248488,0.304688379,0.021138579,0.000684444,1.22E-09,0.022264409,0.314460102,-5.20E-05,0.305474203,0.002197857,0.020254337
1752.5,1752,1753,0.003173086,0.001219102,0.000169976,0.002717046,0.032643241,-0.000205059,0,3.16E-05,1.33E-06,0.000137502,-0.004541358,0.301338922,0.033799481,0.001368508,2.43E-09,0.036764279,0.308499708,-8.57E-05,0.292473707,0.004395004,0.032738234
1753.5,1753,1754,0.004759062,0.001828101,0.000254949,0.001682224,0.02071459,-7.45E-05,0,4.11E-05,9.94E-07,0.000206253,-0.01188356,0.120251148,0.02138192,0.002052193,3.65E-09,0.026672988,0.114076234,-6.28E-05,0.099058625,0.006591442,0.0206329
1754.5,1754,1755,0.006344661,0.002436733,0.000339913,-0.000139879,-0.000120092,0.001119632,0,4.66E-05,0.000121178,0.000275004,-0.021530251,-0.020968785,-0.000499055,0.0027355,4.87E-09,0.008467738,-0.042203739,0.000262741,-0.048454351,0.008787172,0.000222536
1755.5,1755,1756,0.007929882,0.003044998,0.000424868,0.000759403,0.006399009,0.001555672,0,4.78E-05,0.000131776,0.000343755,-0.0265918,0.135516017,0.006878688,0.00341843,6.09E-09,0.01767281,0.105605837,0.000307619,0.093116499,0.010982195,0.007621802
1756.5,1756,1757,0.009514725,0.003652897,0.000509813,0.001504497,0.01935994,0.000311654,0,4.56E-05,1.06E-06,0.000412506,-0.027074148,-0.023430038,0.019900045,0.004100982,7.30E-09,0.031284443,-0.036883729,-1.89E-05,-0.057287413,0.013176554,0.019211959
1757.5,1757,1758,0.011099192,0.00426043,0.000594748,0.001648247,-0.000481298,0.004132718,0,3.92E-05,0.001841313,0.000481257,-0.014978956,0.242506878,0.000162255,0.004783158,8.52E-09,0.017929183,0.224830244,0.001599522,0.214571004,0.015370216,0.003702518
1758.5,1758,1759,0.012683282,0.004867598,0.000679674,0.000964141,-0.000246417,0.003501776,0,2.88E-05,0.000918289,0.000550008,-0.004359333,0.29731167,0.000269022,0.005464977,9.74E-09,0.01947235,0.303124004,0.00087416,0.288077305,0.017563159,0.003049999
1759.5,1759,1760,0.014266995,0.005474402,0.000764591,0.00065453,-0.000197061,0.003153327,0,1.60E-05,0.000819861,0.000618759,0.000785298,0.301298481,-3.66E-06,0.006146431,1.10E-08,0.020850477,0.315562982,0.000825061,0.299728774,0.019755344,0.002355252
1760.5,1760,1761,0.015850332,0.006080842,0.000849498,0.000494002,-0.000423618,0.003714448,0,-2.70E-06,0.001198977,0.00068751,0.007847412,0.108757151,-0.000884226,0.006827516,1.22E-08,0.022219033,0.129364427,0.001087509,0.113479655,0.021946829,0.001795752
1761.5,1761,1762,0.017433292,0.006686919,0.000934396,0.001243298,-0.000483977,0.004740447,0,-2.81E-05,0.001560282,0.000756261,0.036247982,-0.919472877,-0.000153854,0.007508232,1.34E-08,0.025965763,-0.878204535,0.001348854,-0.895054453,0.024137585,0.003488616
1762.5,1762,1763,0.019015877,0.007292633,0.001019284,0.000123577,-0.000132879,0.003102649,0,-5.74E-05,0.000341766,0.000825012,0.011565818,-0.400353642,-0.00026844,0.008188582,1.46E-08,0.026747647,-0.370970746,0.000580582,-0.393451699,0.026327584,0.001879856
1763.5,1763,1764,0.020598085,0.007897985,0.001104162,0.000344163,-0.000221175,0.003870983,0,-8.95E-05,0.000543801,0.000893763,-0.003600216,0.038299772,-0.000223006,0.008868564,1.58E-08,0.029384244,0.056740495,0.000692912,0.030816775,0.028516972,0.00251024
1764.5,1764,1765,0.022179918,0.008502975,0.001189032,0.003287361,0.037034858,0.003014031,0,-0.000124296,7.79E-07,0.000962514,-0.008177633,0.247579763,0.038748016,0.009548179,1.70E-08,0.067220459,0.274703257,0.000148343,0.230701437,0.030705655,0.039173057
1765.5,1765,1766,0.023761375,0.009107605,0.001273891,0.000716372,-0.000390691,0.005117617,0,-0.00016192,0.001154475,0.001031265,-0.018557084,0.296701831,-0.000435547,0.010227429,1.83E-08,0.033925046,0.28793119,0.001053019,0.261741624,0.032893632,0.003099503
1766.5,1766,1767,0.025342457,0.009711874,0.001358742,0.001300738,0.004744312,0.005036279,0,-0.000204203,0.000720699,0.001100016,-0.024698178,-0.184525255,0.005481943,0.010906313,1.95E-08,0.040828914,-0.19504406,0.000787586,-0.229369226,0.035080907,0.008100837
1767.5,1767,1768,0.026923164,0.010315783,0.001443583,0.001198165,0.00135231,0.005330009,0,-0.000247398,0.000809778,0.001168767,-0.008360525,0.005144721,0.002017738,0.011584832,2.07E-08,0.040940588,0.032765788,0.000831516,-0.004175567,0.037267482,0.005721354
1768.5,1768,1769,0.028503496,0.010919334,0.001528414,0.002344258,-0.001054092,0.008667863,0,-0.000293814,0.003261397,0.001237518,0.031012492,0.248437758,-0.000747889,0.012262987,2.19E-08,0.042478067,0.298627769,0.002488353,0.269781491,0.039453358,0.005853197
1769.5,1769,1770,0.030083453,0.011522525,0.001613236,0.001215898,-0.000628301,0.006924693,0,-0.000341269,0.001716269,0.001306269,0.070905657,0.095800398,-0.000484422,0.012940779,2.31E-08,0.043263006,0.189136708,0.001354413,0.154300135,0.041638527,0.004279151
1770.5,1770,1771,0.031663036,0.012125358,0.001698049,0.001295755,-0.000646071,0.007375123,0,-0.000401006,0.001796009,0.00137502,0.071065019,0.242622945,-0.000462641,0.01361819,2.43E-08,0.045611786,0.331117918,0.001383,0.295350465,0.04382299,0.004590464
1771.5,1771,1772,0.033242244,0.012727834,0.001782852,0.001113376,0.006926985,0.005967403,0,-0.00046508,0.000495898,0.001443771,0.057860932,0.296901326,0.007566828,0.01429522,2.56E-08,0.052856959,0.38355926,0.000596138,0.338397157,0.046006776,0.010048455
1772.5,1772,1773,0.034821079,0.013329953,0.001867646,0.002256038,0.023295418,0.005581014,0,-0.000532101,4.50E-05,0.001512522,0.035536868,0.305396773,0.024604332,0.014971884,2.68E-08,0.070328062,0.382716646,0.000342181,0.329682232,0.048189862,0.026102554
1773.5,1773,1774,0.036399539,0.013931715,0.00195243,0.001703628,0.01594945,0.005856173,0,-0.000602924,0.000265231,0.001581273,-0.001635611,0.306661669,0.016962581,0.015648183,2.80E-08,0.065003381,0.349888207,0.000421914,0.298061997,0.050372136,0.018735965
1774.5,1774,1775,0.037977625,0.014533122,0.002037205,0.001645263,-0.000873424,0.008547546,0,-0.000674567,0.002428181,0.001650024,-0.007909942,0.306841549,-0.000756978,0.016324119,2.92E-08,0.054013384,0.329911806,0.001641929,0.288523875,0.052553583,0.00487924
1775.5,1775,1776,0.039555339,0.015134173,0.002121971,0.00235832,-0.000581811,0.008670017,0,-0.000746335,0.00224992,0.001718775,-0.024101479,0.306864062,0.000694884,0.01699969,3.04E-08,0.058026627,0.309896049,0.001477709,0.261923086,0.054734401,0.006650669
