time,timebound_lower,timebound_upper,GPCC,CRU,GPCP,GHCN
1891.5,1891,1892,-14.291494,,,
1892.5,1892,1893,-2.178156,,,
1893.5,1893,1894,-1.5742929,,,
1894.5,1894,1895,-2.787303,,,
1895.5,1895,1896,-6.431243,,,
1896.5,1896,1897,-9.297994,,,
1897.5,1897,1898,-11.653334,,,
1898.5,1898,1899,-8.527218,,,
1899.5,1899,1900,-14.058424,,,
1900.5,1900,1901,-8.908236,,,-52.80317354
1901.5,1901,1902,-13.518136,-25.950388,,-62.10285288
1902.5,1902,1903,-22.933697,-32.12764,,-69.31291669
1903.5,1903,1904,-4.9769793,-15.696053,,-39.02700993
1904.5,1904,1905,-13.610823,-23.922274,,-61.22552066
1905.5,1905,1906,-18.837791,-19.49055,,-54.4548004
1906.5,1906,1907,-1.5166239,-10.024406,,-9.028056962
1907.5,1907,1908,-19.857758,-25.56161,,-32.42635636
1908.5,1908,1909,-10.117337,-17.8647,,-47.08564363
1909.5,1909,1910,-2.300155,-10.452322,,-30.45218439
1910.5,1910,1911,-1.1577573,-16.658731,,-1.520796357
1911.5,1911,1912,-25.77054,-29.320652,,-57.48283905
1912.5,1912,1913,-16.31366,-23.586683,,-45.22263632
1913.5,1913,1914,-19.623203,-27.040066,,-42.34495298
1914.5,1914,1915,-28.332956,-27.922949,,-58.89796871
1915.5,1915,1916,-13.952542,-13.241754,,-45.70101502
1916.5,1916,1917,8.291271,-0.1403632,,8.394457794
1917.5,1917,1918,1.1059879,-11.055068,,-26.78375104
1918.5,1918,1919,-20.749655,-25.33034,,-47.41893459
1919.5,1919,1920,-24.998693,-22.079638,,-75.83653589
1920.5,1920,1921,-18.139875,-22.367895,,-45.04765215
1921.5,1921,1922,-2.0181031,-12.699686,,-26.02937254
1922.5,1922,1923,-9.851919,-16.689556,,-24.76674939
1923.5,1923,1924,-9.102605,-14.325634,,-37.00096898
1924.5,1924,1925,-8.913374,-17.421623,,-17.70038433
1925.5,1925,1926,-16.921373,-19.366014,,-49.88247285
1926.5,1926,1927,-6.999055,-17.931576,,-24.54118319
1927.5,1927,1928,-5.146024,-12.007294,,-21.05377802
1928.5,1928,1929,-14.45593,-21.964552,,-30.58652532
1929.5,1929,1930,-18.754942,-26.582253,,-35.18820159
1930.5,1930,1931,-32.26231,-33.469044,,-53.88467079
1931.5,1931,1932,-8.881438,-19.643183,,-36.36316126
1932.5,1932,1933,-6.673612,-16.565264,,-36.17108978
1933.5,1933,1934,-3.3197002,-15.395724,,-24.51825946
1934.5,1934,1935,-4.3370824,-17.745235,,-13.86782737
1935.5,1935,1936,-9.6256075,-17.471508,,-24.47858582
1936.5,1936,1937,-9.627396,-17.204924,,-23.32464481
1937.5,1937,1938,-12.216111,-16.431025,,-37.99474876
1938.5,1938,1939,-4.996367,-11.8222065,,-16.2444142
1939.5,1939,1940,-5.992132,-8.32196,,-19.78673587
1940.5,1940,1941,-30.246975,-20.484657,,-58.33384623
1941.5,1941,1942,-34.86059,-19.23113,,-44.56070677
1942.5,1942,1943,-15.221941,-14.747648,,-33.42903372
1943.5,1943,1944,-19.373806,-22.183365,,-41.41398374
1944.5,1944,1945,-24.019585,-20.500906,,-35.34197395
1945.5,1945,1946,-18.109009,-8.363862,,-24.35979156
1946.5,1946,1947,-23.774712,-17.6707,,-33.3761958
1947.5,1947,1948,-15.214918,-4.1437664,,-20.96217246
1948.5,1948,1949,-18.616575,-8.493331,,-44.80458548
1949.5,1949,1950,-8.800621,-11.350615,,-33.10399784
1950.5,1950,1951,2.1261759,8.983775,,-0.017952478
1951.5,1951,1952,-27.363863,-12.229031,,-38.99070098
1952.5,1952,1953,-13.89501,-12.087826,,-31.78027557
1953.5,1953,1954,-4.5135875,-0.7780468,,-17.52984889
1954.5,1954,1955,7.569163,8.642575,,6.024559573
1955.5,1955,1956,11.638711,13.556609,,14.59573579
1956.5,1956,1957,13.572456,15.917045,,28.00933801
1957.5,1957,1958,-12.067264,-4.06821,,-15.38774141
1958.5,1958,1959,-14.652328,-11.347143,,-25.85147802
1959.5,1959,1960,0.26883554,1.5244305,,5.937129639
1960.5,1960,1961,-1.9605274,-5.1125865,,-13.53486266
1961.5,1961,1962,4.9899187,4.3716707,,-13.24405216
1962.5,1962,1963,-7.0907183,-6.177201,,-29.43455472
1963.5,1963,1964,-13.166261,-6.7141457,,-12.23978443
1964.5,1964,1965,-7.580921,-1.593963,,-15.42988945
1965.5,1965,1966,-31.7097,-22.24347,,-43.46649851
1966.5,1966,1967,1.1840788,3.3816893,,-12.65158503
1967.5,1967,1968,-5.8053207,-9.499118,,-4.631194974
1968.5,1968,1969,-9.623696,-7.8475146,,-26.64715997
1969.5,1969,1970,-10.140535,-13.232765,,-9.990995864
1970.5,1970,1971,-0.5391804,-4.8444953,,-4.160889437
1971.5,1971,1972,-1.0821234,-4.4995494,,-1.267173902
1972.5,1972,1973,-24.637358,-17.651058,,-36.8309507
1973.5,1973,1974,25.943329,21.093777,,22.23044573
1974.5,1974,1975,11.8180275,12.566029,,40.70905454
1975.5,1975,1976,17.940311,20.74337,,24.15759417
1976.5,1976,1977,-16.399252,-13.853033,,-33.32398383
1977.5,1977,1978,-1.6076672,-0.7643532,,-20.88880098
1978.5,1978,1979,1.309866,3.2187393,,14.41457778
1979.5,1979,1980,-5.6912136,-1.5293453,5.913782316,3.196730619
1980.5,1980,1981,-12.73578,-14.564888,-7.946211496,-20.89062099
1981.5,1981,1982,3.064115,6.797051,8.59730757,-3.490202029
1982.5,1982,1983,-19.414284,-16.011992,6.540111195,-32.08495349
1983.5,1983,1984,-12.0373955,-10.643764,3.193814327,-26.20132114
1984.5,1984,1985,3.6669314,-3.0545733,6.809679864,15.69599659
1985.5,1985,1986,-12.282316,-14.23326,14.5174292,1.744344145
1986.5,1986,1987,-20.123245,-21.498386,-2.197587676,-15.79995152
1987.5,1987,1988,-37.72404,-35.972286,-25.20534185,-41.94105257
1988.5,1988,1989,13.2639885,1.7108842,1.320828391,30.47516271
1989.5,1989,1990,-0.5143893,-3.1558812,11.94187314,7.746691198
1990.5,1990,1991,-1.0873612,-3.989096,5.588554974,16.41456354
1991.5,1991,1992,-19.600199,-22.557888,-8.524691129,-11.50938846
1992.5,1992,1993,-36.244846,-31.161755,-13.17012654,-43.63711523
1993.5,1993,1994,-17.931396,-16.809353,-2.702952561,-27.05747009
1994.5,1994,1995,-16.191423,-16.799177,-15.51976895,-15.53034763
1995.5,1995,1996,-2.1793525,-8.486631,-3.754577265,-3.061431299
1996.5,1996,1997,6.6902986,3.8775358,2.132455881,21.93298559
1997.5,1997,1998,-20.794987,-5.9721584,-2.051748968,-23.17901498
1998.5,1998,1999,15.431394,15.20689,6.158669829,3.955906627
1999.5,1999,2000,24.987473,16.151087,16.76095571,35.62065589
2000.5,2000,2001,22.187992,16.46513,9.708746693,21.85074703
2001.5,2001,2002,-1.1871027,-10.425374,-10.80311169,-17.88996814
2002.5,2002,2003,-19.124996,-11.177393,-20.62646949,-29.13580849
2003.5,2003,2004,-12.396603,-8.7802515,-12.69448703,-27.24988787
2004.5,2004,2005,-1.3452493,-1.652753,-4.231570153,-16.42065116
2005.5,2005,2006,-7.046299,-10.727916,-1.415700311,-10.14029974
2006.5,2006,2007,8.315779,9.048162,7.256762664,-0.695608037
2007.5,2007,2008,10.861488,4.5406904,4.9921766,5.81847809
2008.5,2008,2009,22.924059,20.98088,16.23166776,10.00299338
2009.5,2009,2010,-12.1565275,-2.8953803,-8.979614519,-13.39774899
2010.5,2010,2011,27.685036,26.231836,23.34434377,29.46304403
2011.5,2011,2012,21.876286,15.733064,21.71459457,66.3499656
2012.5,2012,2013,10.633745,-1.6000708,-4.89273497,3.51017125
2013.5,2013,2014,17.468853,13.137874,9.915082372,1.102894584
2014.5,2014,2015,-3.279142,-5.139041,-4.714646263,-20.27688369
2015.5,2015,2016,-24.406578,-16.038683,-13.20845954,-25.59291871
2016.5,2016,2017,6.211619,0.6905668,-6.097540598,50.77777499
2017.5,2017,2018,24.118752,15.950445,20.92248751,15.79086581
2018.5,2018,2019,5.6475134,6.7802424,2.768122485,12.93557487
2019.5,2019,2020,-28.081633,-0.26068285,-8.09526473,-68.95654893
2020.5,2020,2021,-3.0739617,5.6903744,-0.525819823,65.00701811
2021.5,2021,2022,-6.283035,10.132353,-8.481048205,50.67063132
2022.5,2022,2023,1.4388634,11.241638,7.383323696,29.04147242
2023.5,2023,2024,-37.535667,-4.178869,-16.63270125,-37.68285097
2024.5,2024,2025,0.047383748,15.262854,4.300134132,-16.02170286
2025.5,2025,2026,14.537295,,12.81171433,57.51957569
