time,timebound_lower,timebound_upper,GMST
1850.5,1850,1851,-0.046
1851.5,1851,1852,0.041
1852.5,1852,1853,0.099
1853.5,1853,1854,0.054
1854.5,1854,1855,0.049
1855.5,1855,1856,0.076
1856.5,1856,1857,-0.021
1857.5,1857,1858,-0.114
1858.5,1858,1859,-0.049
1859.5,1859,1860,0.051
1860.5,1860,1861,-0.059
1861.5,1861,1862,-0.116
1862.5,1862,1863,-0.184
1863.5,1863,1864,-0.039
1864.5,1864,1865,-0.074
1865.5,1865,1866,0.034
1866.5,1866,1867,0.014
1867.5,1867,1868,-0.011
1868.5,1868,1869,0.059
1869.5,1869,1870,0.066
1870.5,1870,1871,0.026
1871.5,1871,1872,-0.004
1872.5,1872,1873,0.034
1873.5,1873,1874,0.016
1874.5,1874,1875,-0.056
1875.5,1875,1876,-0.006
1876.5,1876,1877,-0.041
1877.5,1877,1878,0.306
1878.5,1878,1879,0.364
1879.5,1879,1880,0.084
1880.5,1880,1881,0.039
1881.5,1881,1882,0.134
1882.5,1882,1883,0.061
1883.5,1883,1884,0.016
1884.5,1884,1885,-0.116
1885.5,1885,1886,-0.109
1886.5,1886,1887,-0.101
1887.5,1887,1888,-0.159
1888.5,1888,1889,0.006
1889.5,1889,1890,0.124
1890.5,1890,1891,-0.154
1891.5,1891,1892,-0.044
1892.5,1892,1893,-0.131
1893.5,1893,1894,-0.134
1894.5,1894,1895,-0.136
1895.5,1895,1896,-0.059
1896.5,1896,1897,0.084
1897.5,1897,1898,0.094
1898.5,1898,1899,-0.106
1899.5,1899,1900,0.029
1900.5,1900,1901,0.121
1901.5,1901,1902,0.071
1902.5,1902,1903,-0.069
1903.5,1903,1904,-0.191
1904.5,1904,1905,-0.251
1905.5,1905,1906,-0.074
1906.5,1906,1907,0.026
1907.5,1907,1908,-0.154
1908.5,1908,1909,-0.191
1909.5,1909,1910,-0.219
1910.5,1910,1911,-0.186
1911.5,1911,1912,-0.206
1912.5,1912,1913,-0.129
1913.5,1913,1914,-0.119
1914.5,1914,1915,0.076
1915.5,1915,1916,0.131
1916.5,1916,1917,-0.089
1917.5,1917,1918,-0.209
1918.5,1918,1919,-0.081
1919.5,1919,1920,-0.001
1920.5,1920,1921,0.036
1921.5,1921,1922,0.076
1922.5,1922,1923,-0.009
1923.5,1923,1924,0.014
1924.5,1924,1925,0.014
1925.5,1925,1926,0.054
1926.5,1926,1927,0.186
1927.5,1927,1928,0.084
1928.5,1928,1929,0.089
1929.5,1929,1930,-0.071
1930.5,1930,1931,0.151
1931.5,1931,1932,0.199
1932.5,1932,1933,0.151
1933.5,1933,1934,-0.001
1934.5,1934,1935,0.146
1935.5,1935,1936,0.111
1936.5,1936,1937,0.151
1937.5,1937,1938,0.301
1938.5,1938,1939,0.291
1939.5,1939,1940,0.284
1940.5,1940,1941,0.391
1941.5,1941,1942,0.351
1942.5,1942,1943,0.299
1943.5,1943,1944,0.336
1944.5,1944,1945,0.464
1945.5,1945,1946,0.346
1946.5,1946,1947,0.191
1947.5,1947,1948,0.241
1948.5,1948,1949,0.179
1949.5,1949,1950,0.161
1950.5,1950,1951,0.086
1951.5,1951,1952,0.231
1952.5,1952,1953,0.319
1953.5,1953,1954,0.386
1954.5,1954,1955,0.181
1955.5,1955,1956,0.124
1956.5,1956,1957,0.066
1957.5,1957,1958,0.294
1958.5,1958,1959,0.309
1959.5,1959,1960,0.289
1960.5,1960,1961,0.226
1961.5,1961,1962,0.311
1962.5,1962,1963,0.266
1963.5,1963,1964,0.299
1964.5,1964,1965,0.039
1965.5,1965,1966,0.141
1966.5,1966,1967,0.194
1967.5,1967,1968,0.224
1968.5,1968,1969,0.169
1969.5,1969,1970,0.309
1970.5,1970,1971,0.264
1971.5,1971,1972,0.149
1972.5,1972,1973,0.261
1973.5,1973,1974,0.399
1974.5,1974,1975,0.169
1975.5,1975,1976,0.229
1976.5,1976,1977,0.141
1977.5,1977,1978,0.449
1978.5,1978,1979,0.336
1979.5,1979,1980,0.421
1980.5,1980,1981,0.536
1981.5,1981,1982,0.584
1982.5,1982,1983,0.381
1983.5,1983,1984,0.564
1984.5,1984,1985,0.394
1985.5,1985,1986,0.381
1986.5,1986,1987,0.444
1987.5,1987,1988,0.569
1988.5,1988,1989,0.619
1989.5,1989,1990,0.501
1990.5,1990,1991,0.689
1991.5,1991,1992,0.666
1992.5,1992,1993,0.466
1993.5,1993,1994,0.509
1994.5,1994,1995,0.569
1995.5,1995,1996,0.721
1996.5,1996,1997,0.604
1997.5,1997,1998,0.749
1998.5,1998,1999,0.894
1999.5,1999,2000,0.651
2000.5,2000,2001,0.654
2001.5,2001,2002,0.804
2002.5,2002,2003,0.879
2003.5,2003,2004,0.871
2004.5,2004,2005,0.799
2005.5,2005,2006,0.946
2006.5,2006,2007,0.901
2007.5,2007,2008,0.911
2008.5,2008,2009,0.786
2009.5,2009,2010,0.919
2010.5,2010,2011,0.989
2011.5,2011,2012,0.866
2012.5,2012,2013,0.899
2013.5,2013,2014,0.929
2014.5,2014,2015,0.994
2015.5,2015,2016,1.144
2016.5,2016,2017,1.261
2017.5,2017,2018,1.166
2018.5,2018,2019,1.094
2019.5,2019,2020,1.214
2020.5,2020,2021,1.249
2021.5,2021,2022,1.096
2022.5,2022,2023,1.139
2023.5,2023,2024,1.439
2024.5,2024,2025,1.511
2025.5,2025,2026,1.391
