time,timebound_lower,timebound_upper,GMST
1855,1850,1860,0.014
1856,1851,1861,0.013
1857,1852,1862,-0.003
1858,1853,1863,-0.031
1859,1854,1864,-0.041
1860,1855,1865,-0.053
1861,1856,1866,-0.057
1862,1857,1867,-0.054
1863,1858,1868,-0.043
1864,1859,1869,-0.033
1865,1860,1870,-0.031
1866,1861,1871,-0.023
1867,1862,1872,-0.011
1868,1863,1873,0.010
1869,1864,1874,0.016
1870,1865,1875,0.018
1871,1866,1876,0.014
1872,1867,1877,0.008
1873,1868,1878,0.040
1874,1869,1879,0.070
1875,1870,1880,0.072
1876,1871,1881,0.073
1877,1872,1882,0.087
1878,1873,1883,0.090
1879,1874,1884,0.090
1880,1875,1885,0.084
1881,1876,1886,0.074
1882,1877,1887,0.068
1883,1878,1888,0.021
1884,1879,1889,-0.015
1885,1880,1890,-0.026
1886,1881,1891,-0.030
1887,1882,1892,-0.048
1888,1883,1893,-0.067
1889,1884,1894,-0.082
1890,1885,1895,-0.084
1891,1886,1896,-0.079
1892,1887,1897,-0.060
1893,1888,1898,-0.035
1894,1889,1899,-0.046
1895,1890,1900,-0.056
1896,1891,1901,-0.028
1897,1892,1902,-0.017
1898,1893,1903,-0.011
1899,1894,1904,-0.016
1900,1895,1905,-0.028
1901,1896,1906,-0.029
1902,1897,1907,-0.035
1903,1898,1908,-0.060
1904,1899,1909,-0.068
1905,1900,1910,-0.093
1906,1901,1911,-0.124
1907,1902,1912,-0.152
1908,1903,1913,-0.158
1909,1904,1914,-0.150
1910,1905,1915,-0.118
1911,1906,1916,-0.097
1912,1907,1917,-0.109
1913,1908,1918,-0.114
1914,1909,1919,-0.103
1915,1910,1920,-0.081
1916,1911,1921,-0.059
1917,1912,1922,-0.031
1918,1913,1923,-0.019
1919,1914,1924,-0.006
1920,1915,1925,-0.012
1921,1916,1926,-0.020
1922,1917,1927,0.008
1923,1918,1928,0.037
1924,1919,1929,0.054
1925,1920,1930,0.047
1926,1921,1931,0.059
1927,1922,1932,0.071
1928,1923,1933,0.087
1929,1924,1934,0.085
1930,1925,1935,0.099
1931,1926,1936,0.104
1932,1927,1937,0.101
1933,1928,1938,0.123
1934,1929,1939,0.143
1935,1930,1940,0.178
1936,1931,1941,0.202
1937,1932,1942,0.218
1938,1933,1943,0.232
1939,1934,1944,0.266
1940,1935,1945,0.298
1941,1936,1946,0.321
1942,1937,1947,0.325
1943,1938,1948,0.319
1944,1939,1949,0.308
1945,1940,1950,0.296
1946,1941,1951,0.265
1947,1942,1952,0.253
1948,1943,1953,0.255
1949,1944,1954,0.260
1950,1945,1955,0.232
1951,1946,1956,0.210
1952,1947,1957,0.197
1953,1948,1958,0.203
1954,1949,1959,0.216
1955,1950,1960,0.228
1956,1951,1961,0.242
1957,1952,1962,0.250
1958,1953,1963,0.245
1959,1954,1964,0.236
1960,1955,1965,0.222
1961,1956,1966,0.224
1962,1957,1967,0.237
1963,1958,1968,0.230
1964,1959,1969,0.216
1965,1960,1970,0.218
1966,1961,1971,0.221
1967,1962,1972,0.205
1968,1963,1973,0.205
1969,1964,1974,0.215
1970,1965,1975,0.228
1971,1966,1976,0.236
1972,1967,1977,0.231
1973,1968,1978,0.254
1974,1969,1979,0.270
1975,1970,1980,0.282
1976,1971,1981,0.309
1977,1972,1982,0.352
1978,1973,1983,0.364
1979,1974,1984,0.381
1980,1975,1985,0.403
1981,1976,1986,0.419
1982,1977,1987,0.449
1983,1978,1988,0.461
1984,1979,1989,0.489
1985,1980,1990,0.497
1986,1981,1991,0.512
1987,1982,1992,0.521
1988,1983,1993,0.529
1989,1984,1994,0.524
1990,1985,1995,0.541
1991,1986,1996,0.575
1992,1987,1997,0.591
1993,1988,1998,0.609
1994,1989,1999,0.637
1995,1990,2000,0.652
1996,1991,2001,0.648
1997,1992,2002,0.662
1998,1993,2003,0.703
1999,1994,2004,0.739
2000,1995,2005,0.762
2001,1996,2006,0.785
2002,1997,2007,0.815
2003,1998,2008,0.831
2004,1999,2009,0.820
2005,2000,2010,0.847
2006,2001,2011,0.880
2007,2002,2012,0.887
2008,2003,2013,0.889
2009,2004,2014,0.894
2010,2005,2015,0.914
2011,2006,2016,0.934
2012,2007,2017,0.970
2013,2008,2018,0.995
2014,2009,2019,1.026
2015,2010,2020,1.055
2016,2011,2021,1.081
2017,2012,2022,1.104
2018,2013,2023,1.128
2019,2014,2024,1.179
2020,2015,2025,1.231
2021,2016,2026,1.256
