time,timebound_lower,timebound_upper,GMST
1860,1850,1870,-0.009
1861,1851,1871,-0.005
1862,1852,1872,-0.007
1863,1853,1873,-0.011
1864,1854,1874,-0.012
1865,1855,1875,-0.018
1866,1856,1876,-0.022
1867,1857,1877,-0.023
1868,1858,1878,-0.002
1869,1859,1879,0.019
1870,1860,1880,0.020
1871,1861,1881,0.025
1872,1862,1882,0.038
1873,1863,1883,0.050
1874,1864,1884,0.053
1875,1865,1885,0.051
1876,1866,1886,0.044
1877,1867,1887,0.038
1878,1868,1888,0.030
1879,1869,1889,0.028
1880,1870,1890,0.031
1881,1871,1891,0.022
1882,1872,1892,0.020
1883,1873,1893,0.011
1884,1874,1894,0.004
1885,1875,1895,0.000
1886,1876,1896,-0.003
1887,1877,1897,0.004
1888,1878,1898,-0.007
1889,1879,1899,-0.031
1890,1880,1900,-0.033
1891,1881,1901,-0.029
1892,1882,1902,-0.032
1893,1883,1903,-0.039
1894,1884,1904,-0.049
1895,1885,1905,-0.056
1896,1886,1906,-0.054
1897,1887,1907,-0.048
1898,1888,1908,-0.048
1899,1889,1909,-0.057
1900,1890,1910,-0.075
1901,1891,1911,-0.076
1902,1892,1912,-0.084
1903,1893,1913,-0.084
1904,1894,1914,-0.083
1905,1895,1915,-0.073
1906,1896,1916,-0.063
1907,1897,1917,-0.072
1908,1898,1918,-0.087
1909,1899,1919,-0.086
1910,1900,1920,-0.087
1911,1901,1921,-0.092
1912,1902,1922,-0.091
1913,1903,1923,-0.088
1914,1904,1924,-0.078
1915,1905,1925,-0.065
1916,1906,1926,-0.058
1917,1907,1927,-0.050
1918,1908,1928,-0.039
1919,1909,1929,-0.025
1920,1910,1930,-0.017
1921,1911,1931,0.000
1922,1912,1932,0.020
1923,1913,1933,0.034
1924,1914,1934,0.040
1925,1915,1935,0.043
1926,1916,1936,0.042
1927,1917,1937,0.054
1928,1918,1938,0.080
1929,1919,1939,0.098
1930,1920,1940,0.113
1931,1921,1941,0.130
1932,1922,1942,0.144
1933,1923,1943,0.160
1934,1924,1944,0.176
1935,1925,1945,0.198
1936,1926,1946,0.213
1937,1927,1947,0.213
1938,1928,1948,0.221
1939,1929,1949,0.225
1940,1930,1950,0.237
1941,1931,1951,0.234
1942,1932,1952,0.235
1943,1933,1953,0.244
1944,1934,1954,0.263
1945,1935,1955,0.265
1946,1936,1956,0.266
1947,1937,1957,0.261
1948,1938,1958,0.261
1949,1939,1959,0.262
1950,1940,1960,0.262
1951,1941,1961,0.254
1952,1942,1962,0.252
1953,1943,1963,0.250
1954,1944,1964,0.248
1955,1945,1965,0.227
1956,1946,1966,0.217
1957,1947,1967,0.217
1958,1948,1968,0.216
1959,1949,1969,0.216
1960,1950,1970,0.223
1961,1951,1971,0.232
1962,1952,1972,0.228
1963,1953,1973,0.225
1964,1954,1974,0.225
1965,1955,1975,0.225
1966,1956,1976,0.230
1967,1957,1977,0.234
1968,1958,1978,0.242
1969,1959,1979,0.243
1970,1960,1980,0.250
1971,1961,1981,0.265
1972,1962,1982,0.279
1973,1963,1983,0.284
1974,1964,1984,0.298
1975,1965,1985,0.315
1976,1966,1986,0.327
1977,1967,1987,0.340
1978,1968,1988,0.357
1979,1969,1989,0.380
1980,1970,1990,0.389
1981,1971,1991,0.411
1982,1972,1992,0.436
1983,1973,1993,0.447
1984,1974,1994,0.452
1985,1975,1995,0.472
1986,1976,1996,0.497
1987,1977,1997,0.520
1988,1978,1998,0.535
1989,1979,1999,0.563
1990,1980,2000,0.574
1991,1981,2001,0.580
1992,1982,2002,0.591
1993,1983,2003,0.616
1994,1984,2004,0.631
1995,1985,2005,0.652
1996,1986,2006,0.680
1997,1987,2007,0.703
1998,1988,2008,0.720
1999,1989,2009,0.728
2000,1990,2010,0.749
2001,1991,2011,0.764
2002,1992,2012,0.774
2003,1993,2013,0.796
2004,1994,2014,0.817
2005,1995,2015,0.838
2006,1996,2016,0.859
2007,1997,2017,0.892
2008,1998,2018,0.913
2009,1999,2019,0.923
2010,2000,2020,0.951
2011,2001,2021,0.981
2012,2002,2022,0.995
2013,2003,2023,1.008
2014,2004,2024,1.037
2015,2005,2025,1.072
2016,2006,2026,1.095
,,,
,,,
,,,
,,,
,,,
