time,timebound_lower,timebound_upper,CO2,CH4,N2O,HFC-134a,HFC-23,HFC-32,HFC-125,HFC-143a,HFC-152a,HFC-227ea,HFC-236fa,HFC-245fa,HFC-365mfc,HFC-43-10mee,NF3,SF6,SO2F2,CF4,C2F6,C3F8,c-C4F8,CFC-12,CFC-11,CFC-113,CFC-114,CFC-115,CFC-13,HCFC-22,HCFC-141b,HCFC-142b,CH3CCl3,CCl4,CH3Cl,CH3Br,CH2Cl2,CHCl3,Halon-1211,Halon-1301,Halon-2402,n-C4F10,n-C5F12,n-C6F14,i-C6F14,C7F16,C8F18,CFC-112,CFC-112a,CFC-113a,CFC-114a,HCFC-133a,HCFC-31,HCFC-124
1750.5,1750,1751,278.377857,729.2,270.1,0,0,0.000218389,0,0,0,3.95E-06,0,0,0,0,0,0,2.10E-05,34.05,1.29E-06,0,0,0,0,0,0,0,0,0,0,0,0,0.025000429,457,5.299997818,6.91,4.8,0.004446573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1850.5,1850,1851,285.583545,807.6,272.1,0,0,0.000218389,0,0,0,3.95E-06,0,0,0,0,0,0,2.10E-05,34.05,1.29E-06,0,0,0,0,0,0,0,0,0,0,0,0,0.025000429,457,5.299997818,6.91276128,4.8,0.004446573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1851.5,1851,1852,285.7055532,807.7689743,272.1811321,0,0,0.000220928,0,0,0,4.00E-06,0,0,0,0,0,0,2.12E-05,34.05,1.03E-05,0,0,0,0,0,0,0,0,0,0,0,0,0.025000429,457,5.299997818,6.91276128,4.8,0.004446573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1852.5,1852,1853,285.8435884,808.5228485,272.2622141,0,0,0.000223468,0,0,0,4.04E-06,0,0,0,0,0,0,2.15E-05,34.05,2.07E-05,0,0,0,0,0,0,0,0,0,0,0,0,0.025000429,457,5.299997818,6.91276128,4.8,0.004446573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1853.5,1853,1854,285.9676049,809.768605,272.3652689,0,0,0.000226007,0,0,0,4.09E-06,0,0,0,0,0,0,2.17E-05,34.05,3.11E-05,0,0,0,0,0,0,0,0,0,0,0,0,0.025000429,457,5.299997818,6.91276128,4.8,0.004446573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1854.5,1854,1855,286.0736325,811.1015197,272.4713448,0,0,0.000228547,0,0,0,4.14E-06,0,0,0,0,0,0,2.20E-05,34.05,4.15E-05,0,0,0,0,0,0,0,0,0,0,0,0,0.025000429,457,5.299997818,6.91276128,4.8,0.004446573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1855.5,1855,1856,286.1596246,812.706285,272.5854469,0,0,0.000231086,0,0,0,4.18E-06,0,0,0,0,0,0,2.22E-05,34.05,5.20E-05,0,0,0,0,0,0,0,0,0,0,0,0,0.025000429,457,5.299997818,6.91276128,4.8,0.004446573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1856.5,1856,1857,286.2586276,814.1752471,272.700495,0,0,0.000233625,0,0,0,4.23E-06,0,0,0,0,0,0,2.25E-05,34.05,6.25E-05,0,0,0,0,0,0,0,0,0,0,0,0,0.025000429,457,5.299997818,6.91276128,4.8,0.004446573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1857.5,1857,1858,286.4046647,815.8361037,272.8045873,0,0,0.000236165,0,0,0,4.27E-06,0,0,0,0,0,0,2.27E-05,34.05,7.32E-05,0,0,0,0,0,0,0,0,0,0,0,0,0.025000429,457,5.299997818,6.91276128,4.8,0.004446573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1858.5,1858,1859,286.560689,817.7439085,272.8926579,0,0,0.000238704,0,0,0,4.32E-06,0,0,0,0,0,0,2.30E-05,34.05,8.38E-05,0,0,0,0,0,0,0,0,0,0,0,0,0.025000429,457,5.299997818,6.91276128,4.8,0.004446573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
