time,timebound_lower,timebound_upper,gas,source,units,value
1959.5,1959,1960,CO2-FFI,GCB v2022*,GtCO2,8.862666747
1960.5,1960,1961,CO2-FFI,GCB v2022*,GtCO2,9.394501174
1961.5,1961,1962,CO2-FFI,GCB v2022*,GtCO2,9.425314593
1962.5,1962,1963,CO2-FFI,GCB v2022*,GtCO2,9.75815598
1963.5,1963,1964,CO2-FFI,GCB v2022*,GtCO2,10.27913054
1964.5,1964,1965,CO2-FFI,GCB v2022*,GtCO2,10.83749386
1965.5,1965,1966,CO2-FFI,GCB v2022*,GtCO2,11.32583306
1966.5,1966,1967,CO2-FFI,GCB v2022*,GtCO2,11.87557075
1967.5,1967,1968,CO2-FFI,GCB v2022*,GtCO2,12.25294021
1968.5,1968,1969,CO2-FFI,GCB v2022*,GtCO2,12.9202885
1969.5,1969,1970,CO2-FFI,GCB v2022*,GtCO2,13.77741881
1970.5,1970,1971,CO2-FFI,GCB v2022*,GtCO2,14.90955872
1971.5,1971,1972,CO2-FFI,GCB v2022*,GtCO2,15.51678074
1972.5,1972,1973,CO2-FFI,GCB v2022*,GtCO2,16.2405405
1973.5,1973,1974,CO2-FFI,GCB v2022*,GtCO2,17.09862782
1974.5,1974,1975,CO2-FFI,GCB v2022*,GtCO2,17.02986151
1975.5,1975,1976,CO2-FFI,GCB v2022*,GtCO2,17.0670402
1976.5,1976,1977,CO2-FFI,GCB v2022*,GtCO2,18.00498115
1977.5,1977,1978,CO2-FFI,GCB v2022*,GtCO2,18.51631165
1978.5,1978,1979,CO2-FFI,GCB v2022*,GtCO2,19.09107684
1979.5,1979,1980,CO2-FFI,GCB v2022*,GtCO2,19.63274028
1980.5,1980,1981,CO2-FFI,GCB v2022*,GtCO2,19.5154564
1981.5,1981,1982,CO2-FFI,GCB v2022*,GtCO2,19.04997263
1982.5,1982,1983,CO2-FFI,GCB v2022*,GtCO2,18.89823118
1983.5,1983,1984,CO2-FFI,GCB v2022*,GtCO2,19.02037262
1984.5,1984,1985,CO2-FFI,GCB v2022*,GtCO2,19.67906586
1985.5,1985,1986,CO2-FFI,GCB v2022*,GtCO2,20.34027973
1986.5,1986,1987,CO2-FFI,GCB v2022*,GtCO2,20.64237112
1987.5,1987,1988,CO2-FFI,GCB v2022*,GtCO2,21.28938737
1988.5,1988,1989,CO2-FFI,GCB v2022*,GtCO2,22.12388508
1989.5,1989,1990,CO2-FFI,GCB v2022*,GtCO2,22.42671186
1990.5,1990,1991,CO2-FFI,GCB v2022*,GtCO2,22.77404344
1991.5,1991,1992,CO2-FFI,GCB v2022*,GtCO2,23.26172336
1992.5,1992,1993,CO2-FFI,GCB v2022*,GtCO2,22.59645719
1993.5,1993,1994,CO2-FFI,GCB v2022*,GtCO2,22.8295031
1994.5,1994,1995,CO2-FFI,GCB v2022*,GtCO2,22.9862156
1995.5,1995,1996,CO2-FFI,GCB v2022*,GtCO2,23.47578636
1996.5,1996,1997,CO2-FFI,GCB v2022*,GtCO2,24.17696552
1997.5,1997,1998,CO2-FFI,GCB v2022*,GtCO2,24.3202705
1998.5,1998,1999,CO2-FFI,GCB v2022*,GtCO2,24.23088297
1999.5,1999,2000,CO2-FFI,GCB v2022*,GtCO2,24.75038865
2000.5,2000,2001,CO2-FFI,GCB v2022*,GtCO2,25.47214734
2001.5,2001,2002,CO2-FFI,GCB v2022*,GtCO2,25.68672958
2002.5,2002,2003,CO2-FFI,GCB v2022*,GtCO2,26.30016486
2003.5,2003,2004,CO2-FFI,GCB v2022*,GtCO2,27.67172134
2004.5,2004,2005,CO2-FFI,GCB v2022*,GtCO2,28.65753688
2005.5,2005,2006,CO2-FFI,GCB v2022*,GtCO2,29.63615582
2006.5,2006,2007,CO2-FFI,GCB v2022*,GtCO2,30.61538252
2007.5,2007,2008,CO2-FFI,GCB v2022*,GtCO2,31.52971991
2008.5,2008,2009,CO2-FFI,GCB v2022*,GtCO2,32.10918846
2009.5,2009,2010,CO2-FFI,GCB v2022*,GtCO2,31.58700306
2010.5,2010,2011,CO2-FFI,GCB v2022*,GtCO2,33.38862914
2011.5,2011,2012,CO2-FFI,GCB v2022*,GtCO2,34.51211134
2012.5,2012,2013,CO2-FFI,GCB v2022*,GtCO2,35.03174521
2013.5,2013,2014,CO2-FFI,GCB v2022*,GtCO2,35.34490701
2014.5,2014,2015,CO2-FFI,GCB v2022*,GtCO2,35.60342818
2015.5,2015,2016,CO2-FFI,GCB v2022*,GtCO2,35.58444533
