time,timebound_lower,timebound_upper,F-gases,N2O,CH4,CO2-LUC,CO2-FFI
1750.5,1750,1751,0.032112612,0.121,26.9,,
1751.5,1751,1752,0.032112622,0.123,27,,
1752.5,1752,1753,0.032112632,0.125,27.1,,
1753.5,1753,1754,0.032112641,0.127,27.1,,
1754.5,1754,1755,0.032112651,0.129,27.2,,
1755.5,1755,1756,0.03211266,0.131,27.3,,
1756.5,1756,1757,0.03211267,0.133,27.4,,
1757.5,1757,1758,0.032112679,0.135,27.4,,
1758.5,1758,1759,0.032112688,0.137,27.5,,
1759.5,1759,1760,0.032112698,0.138,27.6,,
1760.5,1760,1761,0.032112707,0.14,27.7,,
1761.5,1761,1762,0.032112717,0.142,27.7,,
1762.5,1762,1763,0.032112726,0.144,27.8,,
1763.5,1763,1764,0.032112736,0.146,27.9,,
1764.5,1764,1765,0.032112745,0.148,27.9,,
1765.5,1765,1766,0.032112755,0.15,28,,
1766.5,1766,1767,0.032112764,0.152,28.1,,
1767.5,1767,1768,0.032112773,0.154,28.2,,
1768.5,1768,1769,0.032112783,0.156,28.2,,
1769.5,1769,1770,0.032112792,0.158,28.3,,
1770.5,1770,1771,0.032112802,0.16,28.4,,
1771.5,1771,1772,0.032112811,0.162,28.6,,
1772.5,1772,1773,0.032112821,0.164,28.8,,
1773.5,1773,1774,0.03211283,0.166,29,,
1774.5,1774,1775,0.03211284,0.168,29.3,,
1775.5,1775,1776,0.032112849,0.171,29.5,,
1776.5,1776,1777,0.032112858,0.173,29.7,,
1777.5,1777,1778,0.032112868,0.175,29.9,,
1778.5,1778,1779,0.032112877,0.177,30.2,,
1779.5,1779,1780,0.032112887,0.179,30.4,,
1780.5,1780,1781,0.032112896,0.181,30.6,,
1781.5,1781,1782,0.032112906,0.183,30.7,,
1782.5,1782,1783,0.032112915,0.186,30.9,,
1783.5,1783,1784,0.032112925,0.188,31,,
1784.5,1784,1785,0.032112934,0.19,31.1,,
1785.5,1785,1786,0.032112943,0.192,31.2,,
1786.5,1786,1787,0.032112953,0.194,31.3,,
1787.5,1787,1788,0.032112962,0.196,31.5,,
1788.5,1788,1789,0.032112972,0.199,31.6,,
1789.5,1789,1790,0.032112981,0.201,31.7,,
1790.5,1790,1791,0.032112991,0.203,31.8,,
1791.5,1791,1792,0.032113,0.205,31.9,,
1792.5,1792,1793,0.03211301,0.208,31.9,,
1793.5,1793,1794,0.032113019,0.21,31.9,,
1794.5,1794,1795,0.032113028,0.213,32,,
1795.5,1795,1796,0.032113038,0.215,32,,
1796.5,1796,1797,0.032113047,0.218,32.1,,
1797.5,1797,1798,0.032113057,0.22,32.1,,
1798.5,1798,1799,0.032113066,0.222,32.2,,
1799.5,1799,1800,0.032113076,0.225,32.2,,
1800.5,1800,1801,0.032113085,0.228,32.3,,
1801.5,1801,1802,0.032113095,0.231,32.5,,
