time,timebound_lower,timebound_upper,F-gases,N2O,CH4,CO2-LULUCF,CO2-FFI
1750.5,1750,1751,7.8699254692245E-05,0.241332,1.0662543,NA,NA
1751.5,1751,1752,7.8699254692245E-05,0.238602,1.0630737,NA,NA
1752.5,1752,1753,7.8699254692245E-05,0.237783,1.0628226,NA,NA
1753.5,1753,1754,7.8699254692245E-05,0.238329,1.0654173,NA,NA
1754.5,1754,1755,7.8699254692245E-05,0.243516,1.0758519,NA,NA
1755.5,1755,1756,7.8699254692245E-05,0.242424,1.0752102,NA,NA
1756.5,1756,1757,7.8699254692245E-05,0.238875,1.074429,NA,NA
1757.5,1757,1758,7.8699254692245E-05,0.247884,1.0860354,NA,NA
1758.5,1758,1759,7.8699254692245E-05,0.246246,1.0829664,NA,NA
1759.5,1759,1760,7.8699254692245E-05,0.244881,1.0881558,NA,NA
1760.5,1760,1761,7.8699254692245E-05,0.247884,1.0959957,NA,NA
1761.5,1761,1762,7.8699254692245E-05,0.247884,1.0927872,NA,NA
1762.5,1762,1763,7.8699254692245E-05,0.243516,1.0919223,NA,NA
1763.5,1763,1764,7.8699254692245E-05,0.245154,1.0937358,NA,NA
1764.5,1764,1765,7.8699254692245E-05,0.239967,1.0829106,NA,NA
1765.5,1765,1766,7.8699254692245E-05,0.247611,1.0996227,NA,NA
1766.5,1766,1767,7.8699254692245E-05,0.245427,1.0968327,NA,NA
1767.5,1767,1768,7.8699254692245E-05,0.245427,1.0998738,NA,NA
1768.5,1768,1769,7.8699254692245E-05,0.256074,1.1152746,NA,NA
1769.5,1769,1770,7.8699254692245E-05,0.250341,1.1088018,NA,NA
1770.5,1770,1771,7.8699254692245E-05,0.25116,1.1114802,NA,NA
1771.5,1771,1772,7.8699254692245E-05,0.245427,1.1072952,NA,NA
1772.5,1772,1773,7.8699254692245E-05,0.243516,1.1086065,NA,NA
1773.5,1773,1774,7.8699254692245E-05,0.243516,1.114884,NA,NA
1774.5,1774,1775,7.8699254692245E-05,0.253344,1.1376225,NA,NA
1775.5,1775,1776,7.8699254692245E-05,0.250887,1.1373156,NA,NA
1776.5,1776,1777,7.8699254692245E-05,0.245973,1.1376783,NA,NA
