time,timebound_lower,timebound_upper,CW2011,HA2015,DA2017,DA2019,FR2020,CW2011_std,HA2015_std,DA2017_std,DA2019_std,FR2020_std
1880.5,1880,1881,-198.8777778,,,,,24.2,,,,
1881.5,1881,1882,-193.2777778,,,,,24.2,,,,
1882.5,1882,1883,-210.0777778,,,,,23,,,,
1883.5,1883,1884,-204.7777778,,,,,22.8,,,,
1884.5,1884,1885,-183.8777778,,,,,22.2,,,,
1885.5,1885,1886,-185.3777778,,,,,21.9,,,,
1886.5,1886,1887,-187.7777778,,,,,20.8,,,,
1887.5,1887,1888,-193.3777778,,,,,20.8,,,,
1888.5,1888,1889,-191.2777778,,,,,20.8,,,,
1889.5,1889,1890,-189.6777778,,,,,20.8,,,,
1890.5,1890,1891,-187.6777778,,,,,20.7,,,,
1891.5,1891,1892,-189.3777778,,,,,20.7,,,,
1892.5,1892,1893,-186.1777778,,,,,20.7,,,,
1893.5,1893,1894,-181.4777778,,,,,20.3,,,,
1894.5,1894,1895,-191.1777778,,,,,21.6,,,,
1895.5,1895,1896,-179.3777778,,,,,21.6,,,,
1896.5,1896,1897,-186.9777778,,,,,21.2,,,,
1897.5,1897,1898,-181.7777778,,,,,20.8,,,,
1898.5,1898,1899,-172.3777778,,,,,19.7,,,,
1899.5,1899,1900,-164.8777778,,,,,19.4,,,,
1900.5,1900,1901,-170.2777778,-145.285,,-148.9316667,-154.8437351,18.3,25.32,,21.55833333,19.6101125
1901.5,1901,1902,-170.6777778,-144.635,,-147.8483333,-150.3839683,17.6,25.17,,21.40833333,20.00247181
1902.5,1902,1903,-166.0777778,-143.905,-129.13125,-145.565,-161.97226,17.3,25.01,24.8,21.31666667,19.55996532
1903.5,1903,1904,-158.0777778,-142.985,-105.13125,-145.215,-151.8501253,17,24.86,24.8,21.14166667,19.05003893
1904.5,1904,1905,-168.3777778,-142.235,-138.53125,-143.1816667,-150.3023639,16.9,24.7,25.1,21.01666667,19.00908723
1905.5,1905,1906,-173.8777778,-141.695,-130.83125,-141.0733333,-142.5637217,15.4,24.55,22.1,20.875,18.62004738
1906.5,1906,1907,-167.0777778,-140.605,-144.93125,-140.89,-157.1875593,14.7,24.4,22,20.75,18.91543502
1907.5,1907,1908,-168.4777778,-139.225,-134.43125,-138.6983333,-150.8515155,14.9,24.25,22,20.65833333,17.81635974
1908.5,1908,1909,-170.9777778,-138.125,-132.93125,-137.04,-165.6948018,14.5,24.1,21.9,20.50833333,19.15783409
1909.5,1909,1910,-166.4777778,-136.745,-137.53125,-137.4233333,-160.3082444,14.6,23.95,21.6,20.38333333,19.59093693
1910.5,1910,1911,-166.5777778,-134.495,-142.13125,-136.4983333,-158.7037663,14.6,23.8,21.5,20.28333333,19.2048234
1911.5,1911,1912,-158.2777778,-131.795,-129.33125,-133.5316667,-143.3008606,14.2,23.65,22,20.15833333,18.44712085
1912.5,1912,1913,-161.3777778,-129.005,-124.13125,-132.6733333,-135.6478338,14.2,23.51,21.5,20.04166667,18.23107309
1913.5,1913,1914,-159.5777778,-126.305,-128.13125,-131.6233333,-128.0301931,14.1,23.36,21.5,19.925,17.89032481
1914.5,1914,1915,-153.2777778,-123.955,-106.73125,-130.3816667,-126.039236,13.8,23.21,21.5,19.76666667,17.67907201
1915.5,1915,1916,-145.3777778,-122.275,-111.23125,-128.565,-122.5296255,13.6,23.07,21.5,19.65,18.00682754
1916.5,1916,1917,-147.2777778,-121.705,-150.73125,-129.3316667,-148.8402502,13,22.92,21.9,19.53333333,17.64532464
1917.5,1917,1918,-151.7777778,-121.545,-158.63125,-128.5816667,-138.9814399,12.8,22.77,21.9,19.39166667,17.75568199
1918.5,1918,1919,-153.3777778,-121.275,-127.03125,-125.8233333,-134.9468316,12.7,22.62,20.6,19.26666667,17.14950924
1919.5,1919,1920,-151.7777778,-120.535,-116.93125,-124.765,-128.5058303,12.7,22.48,20.5,19.15833333,16.95525705
1920.5,1920,1921,-150.4777778,-119.565,-119.03125,-124.9733333,-119.8786165,13,22.33,21,19.03333333,16.92671422
1921.5,1921,1922,-148.3777778,-119.665,-119.33125,-124.9816667,-120.2069296,13.1,22.18,20.6,18.91666667,16.19757159
1922.5,1922,1923,-149.2777778,-120.495,-113.43125,-122.8233333,-121.7521122,13.2,22.04,21,18.78333333,16.71836172
1923.5,1923,1924,-148.0777778,-121.245,-133.33125,-121.965,-136.5553536,13,21.89,21.5,18.66666667,17.43843553
1924.5,1924,1925,-155.3777778,-121.625,-118.73125,-121.665,-131.2978013,13.1,21.74,20.5,18.54166667,15.91154744
1925.5,1925,1926,-153.3777778,-121.865,-124.63125,-120.2983333,-135.947458,13.6,21.59,20.5,18.425,16.18434304
1926.5,1926,1927,-146.8777778,-121.635,-130.53125,-120.14,-136.6144965,13.7,21.44,20.9,18.325,15.49321498
1927.5,1927,1928,-147.9777778,-121.185,-132.53125,-119.4483333,-129.742347,12.9,21.29,20.9,18.16666667,14.97514457
1928.5,1928,1929,-151.8777778,-120.625,-131.53125,-117.565,-132.21978,12.3,21.14,20.9,18.04166667,15.41997055
1929.5,1929,1930,-150.4777778,-118.905,-135.33125,-115.1733333,-132.9116886,12.1,20.99,20.9,17.925,14.40464654
1930.5,1930,1931,-146.4777778,-116.865,-122.63125,-113.7733333,-128.0132561,12,20.83,20.9,17.775,14.77407706
1931.5,1931,1932,-146.8777778,-114.415,-124.83125,-113.99,-127.6923787,12.2,20.68,20.9,17.65,14.89627196
1932.5,1932,1933,-141.1777778,-111.945,-110.73125,-112.565,-113.3752465,11.9,20.53,20.9,17.53333333,14.58534776
1933.5,1933,1934,-136.8777778,-110.155,-117.73125,-111.2483333,-119.5124176,11.8,20.38,20.9,17.40833333,14.61219801
1934.5,1934,1935,-142.2777778,-108.695,-112.33125,-109.1316667,-132.7123939,11.9,20.22,20.9,17.275,14.42832047
1935.5,1935,1936,-136.6777778,-106.325,-107.93125,-105.765,-120.357918,11.9,20.07,20.6,17.15,13.71523696
1936.5,1936,1937,-140.5777778,-103.335,-109.53125,-104.1483333,-126.1773526,11.8,19.92,20.1,17.03333333,13.67386514
1937.5,1937,1938,-134.8777778,-99.815,-107.03125,-102.5066667,-116.9477798,11.8,19.76,20.3,16.89166667,13.27289478
1938.5,1938,1939,-132.2777778,-96.105,-96.03125,-100.4733333,-107.4503521,11.8,19.61,19.8,16.76666667,13.49635118
1939.5,1939,1940,-127.0777778,-93.785,-102.73125,-97.44833333,-103.2710988,12.2,19.45,20.1,16.64166667,13.21279391
1940.5,1940,1941,-132.3777778,-92.515,-86.23125,-95.45666667,-113.9407153,11.1,19.29,20.3,16.50833333,12.65749998
1941.5,1941,1942,-120.1777778,-91.005,-84.43125,-93.09833333,-98.59678687,10.8,19.14,20.2,16.375,12.69836078
1942.5,1942,1943,-120.1777778,-89.415,-93.03125,-91.465,-98.44391993,10.8,18.98,20.2,16.275,12.51291683
1943.5,1943,1944,-120.1777778,-87.665,-97.53125,-90.54,-91.92050889,10.8,18.82,20.6,16.125,12.14689303
1944.5,1944,1945,-126.5777778,-85.925,-111.83125,-88.22333333,-100.4543736,10.7,18.66,20.1,15.96666667,11.73111285
1945.5,1945,1946,-123.7777778,-83.165,-106.73125,-86.365,-100.7542857,10.7,18.51,20,15.85,12.07720417
1946.5,1946,1947,-116.2777778,-79.515,-83.13125,-82.72333333,-86.05280068,10.6,18.35,19.3,15.71666667,11.92368746
1947.5,1947,1948,-113.1777778,-77.285,-87.33125,-81.19833333,-94.12419993,9.6,18.19,18.7,15.56666667,11.21814215
1948.5,1948,1949,-108.3777778,-76.185,-80.33125,-80.17333333,-86.18976671,9.3,18.03,18.5,15.44166667,11.35974775
1949.5,1949,1950,-109.6777778,-75.235,-69.13125,-78.27333333,-73.90304371,8.4,17.87,18.5,15.31666667,11.06736304
1950.5,1950,1951,-107.4777778,-73.645,-67.43125,-77.29833333,-77.76902263,7.9,17.71,18.6,15.15833333,10.95023028
1951.5,1951,1952,-97.97777778,-71.515,-69.03125,-76.07333333,-67.19843178,7.8,17.55,18.2,15.025,11.59559916
1952.5,1952,1953,-100.5777778,-69.585,-70.33125,-73.50666667,-67.16038374,7.7,17.4,18.3,14.90833333,11.0949828
1953.5,1953,1954,-96.17777778,-68.285,-70.33125,-73.39,-61.35344248,7.5,17.24,18.3,14.775,11.00609067
1954.5,1954,1955,-99.07777778,-67.695,-65.03125,-72.52333333,-71.52038273,7.3,17.09,18.2,14.63333333,10.29602358
1955.5,1955,1956,-98.17777778,-67.445,-83.33125,-72.565,-68.20866212,7.1,16.93,18.3,14.49166667,10.2820775
1956.5,1956,1957,-103.2777778,-66.975,-84.13125,-70.99833333,-81.62252914,7,16.77,18.3,14.35833333,9.859455814
1957.5,1957,1958,-89.87777778,-66.565,-71.53125,-68.28166667,-65.52536803,6.9,16.61,17.1,14.23333333,10.39524777
1958.5,1958,1959,-88.47777778,-66.285,-66.83125,-68.45666667,-67.31007835,6.6,16.45,15.5,14.09166667,8.56292899
1959.5,1959,1960,-88.17777778,-66.005,-66.63125,-68.08166667,-64.31355919,6.5,16.28,14.8,13.95,8.568680565
1960.5,1960,1961,-84.47777778,-65.705,-73.03125,-68.165,-58.45061595,6.6,16.12,14.8,13.825,8.293851545
1961.5,1961,1962,-78.27777778,-65.545,-66.33125,-68.865,-58.79702997,6.6,15.96,14.7,13.675,8.233093974
1962.5,1962,1963,-83.47777778,-65.595,-64.83125,-68.73166667,-60.6941726,6.6,15.8,14.6,13.55,7.785643712
1963.5,1963,1964,-85.07777778,-65.835,-61.53125,-68.27333333,-60.27363446,6.6,15.63,17.4,13.40833333,8.080824219
