time,timebound_lower,timebound_upper,mean,std
1901.5,1901,1902,-155.5997812,38.40168698
1902.5,1902,1903,-157.1681007,47.7343869
1903.5,1903,1904,-151.0107225,49.35704427
1904.5,1904,1905,-153.2503576,47.09305675
1905.5,1905,1906,-151.8013657,47.85150891
1906.5,1906,1907,-154.3482005,46.66993467
1907.5,1907,1908,-151.972297,47.0638542
1908.5,1908,1909,-157.2006147,48.08063686
1909.5,1909,1910,-154.0328733,47.07878167
1910.5,1910,1911,-153.2230473,46.93391046
1911.5,1911,1912,-144.3331898,46.33612854
1912.5,1912,1913,-142.5294031,46.86248017
1913.5,1913,1914,-139.0401895,46.66555632
1914.5,1914,1915,-135.8626483,47.29512324
1915.5,1915,1916,-131.4538892,46.17506864
1916.5,1916,1917,-141.1129863,46.24712343
1917.5,1917,1918,-139.0767162,46.74100563
1918.5,1918,1919,-137.3457357,45.98722369
1919.5,1919,1920,-134.3126242,46.15903415
1920.5,1920,1921,-131.0729973,46.02427477
1921.5,1921,1922,-130.4852128,45.72059156
1922.5,1922,1923,-130.5808292,45.95549775
1923.5,1923,1924,-134.8291319,45.31318162
1924.5,1924,1925,-135.4099478,46.14880201
1925.5,1925,1926,-135.8376112,45.75503178
1926.5,1926,1927,-133.8405129,45.08032217
1927.5,1927,1928,-131.6859075,45.07400087
1928.5,1928,1929,-133.1839407,45.46088058
1929.5,1929,1930,-132.150688,45.54986276
1930.5,1930,1931,-128.7178772,45.21985296
1931.5,1931,1932,-128.8164736,45.33232731
1932.5,1932,1933,-121.6690962,45.24405829
1933.5,1933,1934,-121.8425977,44.75992032
1934.5,1934,1935,-127.3370342,45.85811818
1935.5,1935,1936,-120.2299867,45.17420286
1936.5,1936,1937,-122.9309093,45.69684954
1937.5,1937,1938,-117.4071629,45.26539379
1938.5,1938,1939,-112.6969092,45.2835754
1939.5,1939,1940,-108.5621581,44.88155978
1940.5,1940,1941,-113.2214747,46.60167761
1941.5,1941,1942,-103.2540541,45.08098712
1942.5,1942,1943,-102.658654,44.82301299
1943.5,1943,1944,-100.1758503,45.13492563
1944.5,1944,1945,-104.381583,45.91948491
1945.5,1945,1946,-102.9287759,45.72507799
1946.5,1946,1947,-94.31439205,45.05775578
1947.5,1947,1948,-95.4631918,44.54309468
1948.5,1948,1949,-90.87671406,44.15337289
1949.5,1949,1950,-86.58113972,45.03047596
1950.5,1950,1951,-86.81146603,44.86934135
1951.5,1951,1952,-79.71293575,43.95037483
1952.5,1952,1953,-79.71136418,44.29297424
1953.5,1953,1954,-76.27016153,44.15005623
1954.5,1954,1955,-80.3369194,44.22719543
1955.5,1955,1956,-78.94690141,44.09141747
1956.5,1956,1957,-84.5959682,44.3854019
1957.5,1957,1958,-73.85802561,42.9883336
1958.5,1958,1959,-74.04459571,42.63921235
1959.5,1959,1960,-72.82075599,42.63879846
1960.5,1960,1961,-69.66088602,42.53636341
1961.5,1961,1962,-67.94302403,42.06183364
1962.5,1962,1963,-70.2642938,42.25808152
1963.5,1963,1964,-70.50466997,43.09293511
1964.5,1964,1965,-74.6276735,43.42708747
1965.5,1965,1966,-67.68436526,42.98147603
1966.5,1966,1967,-71.45751397,42.22845186
1967.5,1967,1968,-71.66598298,42.09499069
1968.5,1968,1969,-71.39222843,41.91943183
1969.5,1969,1970,-68.13421169,41.63207738
1970.5,1970,1971,-69.28401371,41.62593826
1971.5,1971,1972,-63.37246613,41.57144299
1972.5,1972,1973,-61.59522757,41.15444734
1973.5,1973,1974,-65.11990094,41.21856201
1974.5,1974,1975,-58.88663541,41.29689811
1975.5,1975,1976,-56.23671523,41.14824767
1976.5,1976,1977,-59.07838798,41.05817952
1977.5,1977,1978,-57.56125056,41.32536165
