time,timebound_lower,timebound_upper,mean,std
1993.5,1993,1994,-34.71932025,1.303673471
1994.5,1994,1995,-31.32099486,2.233957053
1995.5,1995,1996,-27.27935812,2.923621504
1996.5,1996,1997,-24.66407872,2.222548843
1997.5,1997,1998,-20.38733179,2.170451858
1998.5,1998,1999,-20.02796638,0.477537399
1999.5,1999,2000,-19.00131127,0.969015979
2000.5,2000,2001,-14.65427016,1.081512137
2001.5,2001,2002,-9.24918835,1.489327415
2002.5,2002,2003,-7.341431796,1.426823456
2003.5,2003,2004,-4.546061346,0.980295882
2004.5,2004,2005,-2.533102108,1.258996125
2005.5,2005,2006,1.652581897,1.92037872
2006.5,2006,2007,3.717180476,1.680671048
2007.5,2007,2008,4.324483742,2.217935005
2008.5,2008,2009,7.529591561,1.859465355
2009.5,2009,2010,11.9052336,2.259366238
2010.5,2010,2011,13.38479969,2.389312771
2011.5,2011,2012,12.38250216,2.84130801
2012.5,2012,2013,22.97580124,2.904655822
2013.5,2013,2014,25.4290689,3.03160312
2014.5,2014,2015,28.57342446,3.094886461
2015.5,2015,2016,38.17775996,3.712034522
2016.5,2016,2017,41.10707098,3.629221988
2017.5,2017,2018,41.97554192,3.813011092
2018.5,2018,2019,45.32968545,4.24233936
2019.5,2019,2020,52.19814771,4.431164585
2020.5,2020,2021,54.2095469,4.391978982
2021.5,2021,2022,58.68204556,4.681300468
2022.5,2022,2023,61.30407303,4.764680423
2023.5,2023,2024,67.82944491,4.841157996
2024.5,2024,2025,71.5763305,4.843549522
