time,timebound_lower,timebound_upper,AVISO,NASA,COLORADO
1993.5,1993,1994,-34.94343115,-34.81165465,-35.61351092
1994.5,1994,1995,-33.94076319,-30.05826015,-30.80465798
1995.5,1995,1996,-31.3338876,-24.88969774,-25.56282496
1996.5,1996,1997,-27.73666125,-23.52838672,-22.20724621
1997.5,1997,1998,-23.44286783,-20.50400384,-17.51332643
1998.5,1998,1999,-20.01724762,-20.80172242,-18.52956885
1999.5,1999,2000,-17.98286519,-17.70735042,-19.35259916
2000.5,2000,2001,-14.36802951,-12.60286469,-14.7982168
2001.5,2001,2002,-9.762383835,-7.237798074,-8.772349156
2002.5,2002,2003,-7.137060606,-6.94342147,-7.976182489
2003.5,2003,2004,-3.871887618,-4.59981787,-5.337734291
2004.5,2004,2005,-1.653593835,-2.888373482,-2.459626183
2005.5,2005,2006,3.011799409,1.269480672,2.58288733
2006.5,2006,2007,5.389519116,2.900405013,3.869511955
2007.5,2007,2008,6.647759949,4.118411149,3.83734679
2008.5,2008,2009,9.912082806,8.482548436,7.287511955
2009.5,2009,2010,14.40734617,12.98425239,11.32759003
2010.5,2010,2011,16.17452671,15.24955324,12.70718463
2011.5,2011,2012,15.55868103,14.59890139,11.95699544
2012.5,2012,2013,25.91427373,24.84845701,22.51777922
2013.5,2013,2014,28.65231833,27.56158377,24.94280625
2014.5,2014,2015,31.37829578,30.07241713,28.97765084
2015.5,2015,2016,40.75922319,39.04243355,38.69264409
2016.5,2016,2017,44.6690786,41.92903918,41.54129274
2017.5,2017,2018,46.33218157,42.289308,42.24296841
2018.5,2018,2019,50.11904427,44.93529038,45.51696841
2019.5,2019,2020,56.75717238,51.67327452,52.52402247
2020.5,2020,2021,59.63379828,54.41065865,54.3755437
2021.5,2021,2022,64.69520914,58.78828574,59.22199544
2022.5,2022,2023,67.49799698,61.56642408,61.81931751
2023.5,2023,2024,73.53953481,67.13193646,68.64050895
2024.5,2024,2025,76.79760779,71.04116139,72.24734679
2025.5,2025,2026,77.506724,71.5411527,72.24737382
